sample	reporterline	condition	group
Elav_neg_R1	Elav	negative	Elavnegative
Elav_neg_R2	Elav	negative	Elavnegative
Elav_neg_R3	Elav	negative	Elavnegative
Elav_neg_R4	Elav	negative	Elavnegative
Elav_pos_R1	Elav	positive	Elavpositive
Elav_pos_R2	Elav	positive	Elavpositive
Elav_pos_R3	Elav	positive	Elavpositive
Elav_pos_R4	Elav	positive	Elavpositive
Fox_neg_R1	Fox	negative	Foxnegative
Fox_neg_R2	Fox	negative	Foxnegative
Fox_neg_R3	Fox	negative	Foxnegative
Fox_pos_R1	Fox	positive	Foxpositive
Fox_pos_R2	Fox	positive	Foxpositive
Fox_pos_R3	Fox	positive	Foxpositive
Ncol_neg_R1	Ncol	negative	Ncolnegative
Ncol_neg_R2	Ncol	negative	Ncolnegative
Ncol_neg_R3	Ncol	negative	Ncolnegative
Ncol_neg_R4	Ncol	negative	Ncolnegative
Ncol_pos_R1	Ncol	positive	Ncolpositive
Ncol_pos_R2	Ncol	positive	Ncolpositive
Ncol_pos_R3	Ncol	positive	Ncolpositive
Ncol_pos_R4	Ncol	positive	Ncolpositive
