gene	clusters	group
Nvec_vc1.1_XM_048724864.1	8	1
Nvec_NVE1566	8	1
Nvec_vc1.1_XM_032385229.2	8	1
Nvec_vc1.1_XM_032387184.2	8	1
Nvec_vc1.1_XM_032379729.2	8	1
Nvec_vc1.1_XM_032381143.1	8	1
Nvec_vc1.1_XM_032367307.2	8	1
Nvec_vc1.1_XM_032364076.2	8	1
Nvec_vc1.1_XM_001637467.3	8	1
Nvec_NVE21642	8	1
Nvec_vc1.1_XM_032383357.2	8	1
Nvec_vc1.1_XM_032378271.2	8	1
Nvec_vc1.1_XM_048724566.1	8	1
Nvec_vc1.1_XM_032372007.2	8	1
Nvec_vc1.1_XM_032381353.2	8	1
Nvec_vc1.1_XM_001627155.3	8	1
Nvec_vc1.1_XM_001629537.3	8	1
Nvec_vc1.1_XM_048724601.1	8	1
Nvec_vc1.1_XM_001631274.3	8	1
Nvec_vc1.1_XM_032376715.2	8	1
Nvec_vc1.1_XM_001634346.3	8	1
Nvec_vc1.1_XM_001630797.3	8	1
Nvec_vc1.1_XM_048724673.1	8	1
Nvec_vc1.1_XM_001627745.3	8	1
Nvec_vc1.1_XM_032367284.2	8	1
Nvec_vc1.1_XM_032369284.2	8	1
Nvec_vc1.1_XM_048729154.1	8	1
Nvec_vc1.1_XM_032375456.2	8	1
Nvec_vc1.1_XM_048721915.1	8	1
Nvec_vc1.1_XM_032368532.2	8	1
Nvec_NVE2830	8	1
Nvec_vc1.1_XM_048732663.1	8	1
Nvec_vc1.1_XM_048725248.1	8	1
Nvec_vc1.1_XM_001624950.3	8	1
Nvec_vc1.1_XM_001640135.3	8	1
Nvec_vc1.1_XM_032379652.2	8	1
Nvec_vc1.1_XM_032363877.2	8	1
Nvec_NVE17328	8	1
Nvec_vc1.1_XM_032367151.2	8	1
Nvec_vc1.1_XM_032381931.2	8	1
Nvec_NVE82	8	1
Nvec_vc1.1_XM_048720368.1	8	1
Nvec_vc1.1_XM_001627100.3	8	1
Nvec_vc1.1_XM_048727919.1	8	1
Nvec_vc1.1_XM_032376390.2	8	1
Nvec_vc1.1_XM_001637442.3	8	1
Nvec_vc1.1_XM_032361866.2	8	1
Nvec_vc1.1_XM_001623752.3	8	1
Nvec_vc1.1_XM_032377758.1	8	1
Nvec_NVE11975	8	1
Nvec_vc1.1_XM_001635133.3	8	1
Nvec_vc1.1_XM_001641212.3	8	1
Nvec_vc1.1_XM_032364250.2	8	1
Nvec_vc1.1_XM_001638888.3	8	1
Nvec_vc1.1_XM_032366232.2	8	1
Nvec_vc1.1_XM_048722045.1	8	1
Nvec_vc1.1_XM_048728584.1	15	1
Nvec_vc1.1_XM_032375342.2	15	1
Nvec_vc1.1_XM_032367288.2	15	1
Nvec_vc1.1_XM_048721709.1	15	1
Nvec_vc1.1_XM_032374872.2	15	1
Nvec_vc1.1_XM_032374876.2	15	1
Nvec_vc1.1_XM_032384014.2	15	1
Nvec_vc1.1_XM_032372500.2	15	1
Nvec_vc1.1_XM_048728432.1	15	1
Nvec_v1g116478	15	1
Nvec_vc1.1_XM_001622225.3	15	1
Nvec_vc1.1_XM_048720281.1	15	1
Nvec_vc1.1_XM_001637125.3	15	1
Nvec_vc1.1_XM_032385745.2	15	1
Nvec_vc1.1_XM_001634938.2	15	1
Nvec_vc1.1_XM_001628087.3	15	1
Nvec_vc1.1_XM_032362713.2	15	1
Nvec_vc1.1_XM_032373618.2	15	1
Nvec_vc1.1_XM_048732681.1	15	1
Nvec_vc1.1_XM_001640453.3	15	1
Nvec_vc1.1_XM_032363883.2	15	1
Nvec_v1g105214	15	1
Nvec_vc1.1_XM_048729576.1	15	1
Nvec_vc1.1_XM_001629110.3	15	1
Nvec_vc1.1_XM_048729169.1	15	1
Nvec_vc1.1_XM_032372197.2	15	1
Nvec_vc1.1_XM_048724482.1	15	1
Nvec_vc1.1_XM_048724149.1	15	1
Nvec_NVE26159	15	1
Nvec_vc1.1_XM_001627484.3	15	1
Nvec_vc1.1_XM_001631238.3	15	1
Nvec_vc1.1_XM_001641703.3	15	1
Nvec_vc1.1_XM_032370849.2	15	1
Nvec_v1g201822	15	1
Nvec_vc1.1_XM_032373451.2	15	1
Nvec_vc1.1_XM_032376504.2	15	1
Nvec_vc1.1_XM_032377423.2	15	1
Nvec_vc1.1_XM_001647471.3	15	1
Nvec_vc1.1_XM_001633398.3	15	1
Nvec_vc1.1_XM_032363607.2	15	1
Nvec_vc1.1_XM_048724347.1	15	1
Nvec_vc1.1_XM_001630858.3	4	2
Nvec_vc1.1_XM_032376054.2	4	2
Nvec_vc1.1_XM_032376093.2	4	2
Nvec_vc1.1_XM_032363918.2	4	2
Nvec_vc1.1_XM_001629104.1	4	2
Nvec_vc1.1_XM_032377312.2	4	2
Nvec_vc1.1_XM_048724875.1	4	2
Nvec_vc1.1_XM_032381082.2	4	2
Nvec_vc1.1_XM_032375228.2	4	2
Nvec_vc1.1_XM_032376853.2	4	2
Nvec_vc1.1_XM_048722869.1	4	2
Nvec_vc1.1_XM_048733315.1	4	2
Nvec_NVE4602	4	2
Nvec_vc1.1_XM_001632083.3	4	2
Nvec_vc1.1_XM_032376774.2	4	2
Nvec_NVE16439	4	2
Nvec_vc1.1_XM_032378460.2	4	2
Nvec_vc1.1_XM_048729132.1	4	2
Nvec_vc1.1_XM_032381190.2	4	2
Nvec_vc1.1_XM_048729187.1	4	2
Nvec_vc1.1_XM_048734254.1	4	2
Nvec_vc1.1_XM_048720488.1	4	2
Nvec_vc1.1_XM_001637628.3	4	2
Nvec_vc1.1_XM_032374273.2	4	2
Nvec_vc1.1_XM_048721204.1	4	2
Nvec_vc1.1_XM_048734251.1	4	2
Nvec_vc1.1_XM_048721163.1	4	2
Nvec_vc1.1_XM_048732006.1	4	2
Nvec_vc1.1_XM_001641356.3	4	2
Nvec_vc1.1_XM_032364543.2	4	2
Nvec_vc1.1_XM_001630250.3	4	2
Nvec_vc1.1_XM_001633142.2	4	2
Nvec_vc1.1_XM_032376738.2	4	2
