G1	G2	G3	G4	G5	G6	G7	G8	G9
ARCH1000_Homeodomains_npax_1	1	1	1	1	1	1	1	1	1
ARCH1001_zf_C2H2_ZNF32	1	1	1	1	0.95069561618214	1	1	1	1
ARCH1002_zf_C2H2_ZFP90	0.382917413301249	1	0.3927181614311	1	1	0.886979611431806	1	1	1
ARCH1003_Homeodomains_SIX1_Six1	0.789095001702389	1	1	1	0.705141949485785	1	1	1	1
ARCH1004_Homeodomains_SIX2	1	0.896968402423282	1	1	1	0.927243238073205	1	1	1
ARCH1005_zf_C2H2_ZBTB12	1	1	1	1	1	1	1	1	1
ARCH1006_Homeodomains_SIX1_SIX2_Six2	1	1	1	1	0.827996226145832	1	1	1	1
ARCH1007_SMAD_MH1_Med	0.942544090010571	1	1	1	0.825894118635793	0.737241772075468	0.00239043774160991	1	1
ARCH1008_ZEB1	1	1	1	1	0.840288557763242	1	0.00039634617143486	1	1
ARCH1009_ZEB1	1	1	1	1	0.558400433855054	0.896427191971809	0.00434490243001275	1	1
ARCH100_Pit1	0.26752537972576	0.795005913663596	0.94359968835698	1	1	0.101322724242921	0.210804975766055	1	1
ARCH1010_ZEB1	0.789095001702389	1	0.923071443599864	0.536189966228287	1	0.867874159396595	1	1	1
ARCH1011_zf_C4_Nuclear_receptors_daf_12	1	1	1	1	1	0.406323579550856	1	1	1
ARCH1012_Pipsqueak_BtbVII	0.916358038593739	1	0.992950013099846	1	0.210284514817084	1	1	1	1
ARCH1013_Hoxb4	1	0.490475019746468	2.81322357541944e-21	0.401557471003992	1	0.797158120860402	0.716561166758452	1	1
ARCH1014_tll	1	1	1	0.0436852954525868	1	0.93503162018094	0.11849623007502	1	1
ARCH1015_Homeodomains_egl_5	0.475799219598817	0.896968402423282	0.021603107455642	0.0100082859394578	1	0.928792899240797	0.0776587525050145	1	1
ARCH1016_ems	0.40769751560901	1	1	0.0169202594259163	0.978188923041373	1	1	1	1
ARCH1017_TRA2	1	1	0.523276778584204	1	1	1	1	1	1
ARCH1018_IRF_IRF2	1	0.874956309551228	1	1	1	1	1	1	1
ARCH1019_IRF_IRF5_IRF4_IRF8	1	1	0.609875142217938	1	1	1	0.575237645592808	1	1
ARCH101_HuR	0.88052283339636	1	1	0.967262199841981	0.660256699310231	0.000460134000826056	0.38957712489623	1	1
ARCH1020_IRF_IRF7	1	1	1	0.891905572981201	0.827996226145832	1	1	0.944764046287971	1
