motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
ARCH1_srp	1.85377363948995	0.118210862619808	0.0637676899172721	37	3037	0.000260985836118952	0.0093724209594108	G1
ARCH1_srp	1.22612984469008	0.0785714285714286	0.0640808385112659	11	3063	0.287005123434967	1	G2
ARCH1_srp	1.06176549358086	0.0680412371134021	0.0640831120664222	33	3041	0.387631922280551	0.975725008823141	G3
ARCH1_srp	0.703614964712812	0.0451612903225806	0.0641846643227859	7	3067	0.874692005882021	1	G4
ARCH1_srp	0.733535159992336	0.0470588235294118	0.0641534667948343	4	3070	0.802217637672067	1	G5
ARCH1_srp	0.842357053330274	0.0540540540540541	0.0641700023052581	12	3062	0.768498165371707	1	G6
ARCH1_srp	0.948542519056755	0.0609137055837564	0.0642182130584192	84	2990	0.704949235602609	1	G7
ARCH1_srp	0.899613005034692	0.0576923076923077	0.0641301397038862	3	3071	0.656340360270786	1	G8
ARCH1_srp	1.19967959147914	0.0769230769230769	0.0641196845136252	1	3073	0.577531146107187	1	G9
ARCH10_GATA2_GATA3_GATA3	2.62218803193971	0.115015974440895	0.0438625960609751	36	2089	2.06893766026005e-07	3.51202167829143e-05	G1
ARCH10_GATA2_GATA3_GATA3	1.2902085160942	0.0571428571428571	0.0442896294901567	8	2117	0.282019846741191	1	G2
ARCH10_GATA2_GATA3_GATA3	1.02356280424136	0.045360824742268	0.0443166013402453	22	2103	0.486645443218645	1	G3
ARCH10_GATA2_GATA3_GATA3	1.31122629428624	0.0580645161290323	0.0442826050560857	9	2116	0.250637893236375	0.891252922401122	G4
ARCH10_GATA2_GATA3_GATA3	0.265060374432259	0.0117647058823529	0.0443850043883479	1	2124	0.978875639718812	1	G5
ARCH10_GATA2_GATA3_GATA3	1.32302970584221	0.0585585585585586	0.0442609552151225	13	2112	0.188575214241527	0.751335740755699	G6
ARCH10_GATA2_GATA3_GATA3	0.747054090056266	0.0333575054387237	0.0446520618556701	46	2079	0.984092339317788	1	G7
ARCH10_GATA2_GATA3_GATA3	0.867549548896699	0.0384615384615385	0.044333535197444	2	2123	0.677251219743804	1	G8
ARCH10_GATA2_GATA3_GATA3	0	0	0.0443391895839419	0	2125	1	1	G9
ARCH100_Pit1	1.63028297581013	0.0575079872204473	0.0352748498719187	18	1680	0.0312244276042216	0.26752537972576	G1
ARCH100_Pit1	1.61619611158073	0.0571428571428571	0.0353563882089583	8	1690	0.124988043127524	0.795005913663596	G2
ARCH100_Pit1	1.10722017892339	0.0391752577319588	0.0353816327390736	19	1679	0.359582355467406	0.94359968835698	G3
ARCH100_Pit1	0.910466246213059	0.032258064516129	0.0354302695462916	5	1693	0.645516142157444	1	G4
ARCH100_Pit1	0	0	0.0354829272370126	0	1698	1	1	G5
ARCH100_Pit1	2.04462726698161	0.0720720720720721	0.0352494917953769	16	1682	0.00596893809973023	0.101322724242921	G6
ARCH100_Pit1	1.25814258116445	0.0442349528643945	0.0351589347079038	61	1637	0.0459486545115997	0.210804975766055	G7
ARCH100_Pit1	0	0	0.0354584751602731	0	1698	1	1	G8
ARCH100_Pit1	0	0	0.0354296206651922	0	1698	1	1	G9
ARCH1000_Homeodomains_npax_1	0.453869483695588	0.0383386581469649	0.0844706672825767	12	4023	0.999595464358212	1	G1
ARCH1000_Homeodomains_npax_1	1.10355011721247	0.0928571428571429	0.0841440197493671	13	4022	0.398079135796326	1	G2
ARCH1000_Homeodomains_npax_1	0.905503267097466	0.0762886597938144	0.0842500105365196	37	3998	0.757845419436781	1	G3
ARCH1000_Homeodomains_npax_1	0.765922660789421	0.0645161290322581	0.0842332161392935	10	4025	0.849097177879208	1	G4
ARCH1000_Homeodomains_npax_1	0.978380746538933	0.0823529411764706	0.084172691937978	7	4028	0.580609478199648	1	G5
ARCH1000_Homeodomains_npax_1	1.01690422992714	0.0855855855855856	0.084162876962089	19	4016	0.504577063287865	1	G6
