JGA1_FoxPos	JGA3_FoxPos	JGA5_FoxPos	JGA7_FoxPos	JGC1_NcolPos	JGC3_NcolPos	JGC5_NcolPos	JGC7_NcolPos	JGD1_ElavPos	JGD3_ElavPos	JGD5_ElavPos	JGD7_ElavPos
ARCH1000_Homeodomains_npax_1	0.98342093390441	1	1	1	0.43089650809274	0.421872277760912	0.710554523335603	0.170479109752855	1	1	1	1
ARCH1001_zf_C2H2_ZNF32	1	0.00493224222721522	0.899573019305294	1	0.977451061940125	0.963758553263679	1	0.485837686728044	0.0848760177371568	1	1	1
ARCH1002_zf_C2H2_ZFP90	0.127710125154163	0.424231965195573	0.7259176498088	0.75596235884673	0.981769332603741	1	0.981571375366114	0.810116688561581	0.0259519207092387	0.320888953238627	0.192214710589062	0.364586252744996
ARCH1003_Homeodomains_SIX1_Six1	0.983371359218134	0.273255817169529	0.904659425255881	1	0.914760338945586	0.881536851562549	1	0.854588171695135	0.00113783955540382	0.295833025356053	0.718063982966676	0.205037330561537
ARCH1004_Homeodomains_SIX2	0.877709877976002	0.0171271386290501	0.637909771174028	1	0.897220759790591	0.735230630510306	0.864864216474957	0.843564454219903	0.011126895287597	0.117605840817636	0.10343883478644	0.038305896993854
ARCH1005_zf_C2H2_ZBTB12	0.993000580820214	0.811987596915655	0.589735556676677	0.932294199139925	0.780864265624214	0.310772958413743	0.747499121043045	0.124956596400812	0.75322161600007	0.790504417792109	1	0.97809346309114
ARCH1006_Homeodomains_SIX1_SIX2_Six2	1	0.101424839926317	0.589217096125993	1	0.415131888889425	0.477009186300253	0.489595479077039	0.265634806061339	0.00049919738593165	0.367553255214458	0.503884849948364	0.143975661756139
ARCH1007_SMAD_MH1_Med	0.741122363560694	1	1	0.94676313201249	0.277568670314691	0.0164005032373128	0.106702117552166	0.424957387334	0.823794641853935	0.18308843367001	0.262161081796576	0.326728496289623
ARCH1008_ZEB1	1	1	0.937746020967047	1	0.000117860966887662	0.00919643518103021	0.0859539291045672	0.142799737776676	1	1	1	1
ARCH1009_ZEB1	0.823103370325492	0.774701696321639	1	0.749544286035691	0.0147106516163991	0.0320344611856468	0.0913259710467416	0.189145311714794	0.678067193672469	0.673230015043756	0.974120567637959	0.498815233201358
ARCH100_Pit1	0.69638462826091	0.184837745327813	0.0269064036957721	0.184383807040235	0.959388243964146	0.339852382236585	0.756674734045062	0.99128728839084	1	0.235434600640882	0.170604198841288	0.248257756160934
ARCH1010_ZEB1	0.415731773804929	0.887602488201888	0.966272347914666	1	0.85071760344838	0.709610068059985	0.772625322453666	0.87637653453232	0.4327774508683	1	1	0.923171446171577
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.897142691921095	0.713524205589539	0.372413308313788	0.758408153264097	0.894665605855396	1	0.932721273186298	0.832464880488683	1	0.98914707591941	0.646505568767628	0.384703576583708
