G1	G2	G3	G4	G5	G6	G7	G8	G9
ARCH1	0.409562810623045	1	0.0234997655951771	1	0.372687069652362	0.724882690171847	3.68271582853873e-09	1	1
ARCH10	1	0.994393158559005	0.652230604949899	0.454902546135966	1	1	0.0844111087334789	1	1
ARCH100	0.923995915183226	0.781599237587903	1	1	1	1	0.261584108827477	1	1
ARCH1000	1	1	1	0.834650589103204	1	1	1	1	1
ARCH1001	1	1	1	1	1	1	0.939760146540446	1	1
ARCH1002	1	1	0.589600767098702	1	1	0.711008045492988	0.125705802989258	1	1
ARCH1003	0.0173738786239952	0.59112466557056	1	0.395473042163358	0.000115408905031878	5.98812115958637e-12	2.13664703944924e-54	1	1
ARCH1004	0.338583005830775	1	1	1	0.966780369845148	0.713077453583239	0.0494530571455115	1	1
ARCH1005	1	1	0.96539430835877	0.864448901033178	0.946421358966752	1	1	1	1
ARCH1006	1	1	0.96539430835877	0.852396918342393	1	1	1	1	1
ARCH1007	0.950585025167971	1	0.0178778758164288	0.898357460934656	1	0.70536794762819	1	1	1
ARCH1008	0.700775926661371	1	0.977048700126028	0.942571168725328	0.226696177207044	0.562386517459329	0.00233525489269642	1	1
ARCH1009	0.736255075385195	1	1	0.857104855402159	0.740286502731108	1	1	1	1
ARCH101	0.983239848122867	0.958410773259349	0.571503398321849	0.815013264491393	1	1	1	1	1
ARCH1010	1	1	0.842497710968745	0.880474719763852	0.916228672918105	0.973174073369966	1	1	1
ARCH1011	1	1	1	1	1	1	1	1	1
ARCH1012	1	1	0.96539430835877	0.790533907103819	1	0.819517807275087	0.64710594287576	1	1
ARCH1013	0.145532520304662	0.83730946695389	0.931202615850359	1	1	1	0.625906606942658	1	1
ARCH1014	1	0.919203235180663	0.239696173614213	0.200099069247298	0.992266139037144	1	0.559728263612259	1	1
ARCH1015	0.553424153879508	1	1	1	0.992266139037144	7.50231361962982e-05	0.0541343299054347	1	1
ARCH1016	0.132066894544364	1	1	1	1	2.12954025541075e-05	0.00955206828248183	1	1
ARCH1017	0.00292526171606208	1	1	1	1	0.408707979000065	0.0313517063576345	1	1
ARCH1018	0.0961248658055922	1	1	1	1	0.00195289363598212	1	1	1
ARCH1019	0.861007812315094	1	1	0.880474719763852	1	1	0.874507375848133	1	1
ARCH102	0.824312180901382	1	1	0.898357460934656	1	0.241422954515306	0.64710594287576	1	1
ARCH1020	0.575492636975056	1	1	1	0.3822428666238	0.299078845982281	1	1	1
ARCH1021	1	1	1	1	0.620541985769646	1	1	1	1
ARCH1022	1	1	1	1	1	1	1	1	1
ARCH1023	1	1	1	1	1	0.891960435708718	0.160383828677669	1	1
ARCH1024	1	1	0.869611808332115	1	0.95311644839927	1	0.421852439707443	1	1
ARCH1025	1	1	0.773458769976128	0.99306360011429	1	1	0.952255178935478	1	1
ARCH1026	0.403815545643064	1	0.776248049384468	1	0.795631197905249	1	0.400792069317398	1	1
ARCH1027	1	1	1	0.898357460934656	0.633435709001886	1	1	1	1
ARCH1028	0.355540353842561	1	1	1	1	0.608918729624276	1	1	1
ARCH1029	1	1	0.901150089274879	1	0.966780369845148	1	1	1	1
ARCH103	1	1	0.96539430835877	0.852396918342393	1	1	1	1	1
ARCH1030	1	1	1	1	1	0.724882690171847	1	1	1
ARCH1031	1	1	1	0.122737757871011	1	1	0.745409898477028	1	1
ARCH1032	1	1	1	0.852396918342393	1	0.941555178580163	1	1	1
ARCH1033	1	1	0.295025913706739	1	0.372697640588445	0.315481476191358	0.0220927586539707	1	1
ARCH1034	1	1	0.876936609980774	0.640591024584037	1	0.470920339498787	1	1	1
ARCH1035	0.968687467174848	1	0.515424742638006	0.898357460934656	0.756216404242067	1	1	1	1
ARCH1036	0.695439141820007	1	0.167742708993089	0.99306360011429	1	0.594672942796321	1	1	1
ARCH1037	0.339332417910805	1	1	1	0.966844971996688	1	0.757755135198127	1	1
ARCH1039	1	1	1	0.898357460934656	0.645054497927155	1	1	1	1
ARCH104	0.287543773311071	0.918050612249151	1	0.991083154512063	1	0.782633991101841	0.0772563750038859	1	1
ARCH1041	0.445178105965399	1	1	0.556695753414459	1	0.724882690171847	0.939760146540446	1	1
ARCH1042	0.0286691755132586	1	0.813291640068714	1	1	1	1	1	1
ARCH1043	1	1	1	1	0.624745184107825	1	1	1	1
ARCH1044	1	1	1	1	1	1	1	1	0.403809298527
ARCH1046	0.967733282971117	1	0.860243962407235	1	1	1	0.891706018556237	1	1
ARCH1048	0.736255075385195	1	0.96539430835877	0.725104475115409	0.728842085581372	0.891960435708718	1	1	1
ARCH1049	0.695439141820007	1	1	1	1	0.456268858968847	1	1	1
ARCH105	1	1	1	1	1	0.973098149212439	0.160383828677669	1	1
ARCH1050	1	1	1	0.735901869956325	1	0.724882690171847	1	1	1
ARCH1051	1	1	0.931310304155908	1	1	1	0.655286892182493	1	1
ARCH1053	1	1	0.589600767098702	1	1	1	1	1	1
ARCH1054	1	0.958410773259349	1	0.913365847744029	0.632244684752502	1	1	1	1
ARCH1056	0.278915649156962	0.992981680956153	0.931310304155908	1	1	1	0.0941251703867209	1	1
ARCH1057	1	1	0.175221602743826	1	1	1	1	1	1
ARCH1058	1	1	1	0.968821565928924	1	1	1	1	1
ARCH1059	1	1	1	0.730281072237347	1	1	1	1	1
ARCH106	1	1	0.298139486859136	1	1	1	1	1	1
ARCH1060	1	1	1	1	1	0.471892635474163	0.38880337538512	1	1
ARCH1061	1	1	0.694722953768572	1	1	1	1	1	1
ARCH1062	0.80929913762783	1	1	1	1	1	1	1	1
ARCH1063	1	0.958410773259349	1	0.401995894483025	1	0.856198597807316	0.000233144673798183	1	1
ARCH1065	1	1	1	1	1	1	1	0.221649072469107	1
ARCH1066	0.485012815020481	1	0.451923135790644	1	1	1	1	1	1
ARCH1067	0.965791901252758	1	0.96539430835877	0.641120038015018	1	0.891960435708718	1	1	1
ARCH1068	1	1	0.199611088955468	1	1	1	0.847861277798257	1	1
ARCH107	1	1	1	1	1	1	1	1	1
ARCH1070	1	0.714708449553522	0.000265012033361059	0.68989516407042	1	0.958517694488832	0.347589785949345	1	1
ARCH1072	1	0.623316958674094	0.406438620498918	0.6894378496335	0.149433606173094	0.00412801331984364	1	1	1
ARCH1073	1	1	1	1	1	1	0.745409898477028	1	1
ARCH1074	1	1	1	1	1	1	1	0.221649072469107	1
ARCH1075	1	1	0.96539430835877	1	0.694609036056338	0.62418079282995	0.37056280217005	1	1
ARCH1076	1	1	1	1	0.663004432551889	1	0.874507375848133	1	1
ARCH1077	1	1	0.229679398273946	1	1	1	0.182282327745334	1	1
ARCH1078	1	1	0.901150089274879	0.815013264491393	1	1	1	1	1
ARCH1079	1	0.69251909175888	0.787100884640079	0.974211670263108	0.270565950773137	0.943266164603389	2.43820632966616e-05	1	1
ARCH108	0.840816673145821	1	1	0.243746249738188	1	0.754395647530728	0.432140777293885	1	1
ARCH1080	1	1	1	1	0.358354085759766	0.819517807275087	0.0141207664975859	1	1
ARCH1081	1	0.635061466354073	0.987855809632222	1	0.530977854282413	1	0.00374859834028069	1	1
ARCH1082	1	1	0.334128778334254	0.243746249738188	1	0.470920339498787	0.0406161782498982	1	1
ARCH1083	1	1	0.96539430835877	1	0.694609036056338	0.891960435708718	1	1	1
ARCH1086	1	1	1	1	1	1	0.755941827522703	1	1
ARCH1087	1	1	0.96507762049709	1	0.731476102816785	1	1	1	1
ARCH1088	1	1	1	0.968821565928924	0.741927613657711	1	1	1	1
ARCH109	0.779583142431266	0.589127790661202	0.761853996753238	0.898357460934656	0.402215942368326	0.252726718328822	0.025109275832888	1	1
ARCH1090	1	1	1	0.902827740999599	0.568876996410359	0.819517807275087	1	1	1
ARCH1091	0.953878858505188	1	1	1	1	1	0.755660373219205	1	1
ARCH1092	1	1	1	1	1	0.471892635474163	0.43511224029833	1	1
ARCH1093	0.652456855318258	1	1	0.790533907103819	0.992266139037144	1	1	1	1
ARCH1094	0.824312180901382	1	1	0.790533907103819	0.992266139037144	1	1	1	1
ARCH1095	1	1	1	1	1	0.374674424574523	1	1	1
ARCH1096	1	1	0.96539430835877	1	0.508847093304708	0.90669981400766	1	1	1
ARCH1097	1	1	1	1	1	1	1	1	1
ARCH1098	1	1	1	0.787862059215866	0.986876754875011	1	1	1	1
ARCH1099	0.185889086798373	0.918050612249151	1	1	1	0.85844687940411	1	1	1
ARCH11	1	1	0.738280900256471	0.99306360011429	0.530977854282413	0.799910557899078	0.545265224769348	1	1
ARCH110	0.691090670461743	1	0.629146509602781	0.898357460934656	0.537710098423521	1	0.632373400485145	1	1
ARCH1100	1	1	1	1	1	1	1	1	1
ARCH1101	1	1	1	1	1	1	1	1	1
ARCH1102	1	1	1	1	1	1	1	1	0.366518313318606
ARCH1103	1	1	1	1	1	1	1	1	0.403809298527
ARCH1104	0.796934429975455	1	1	1	1	1	1	1	1
ARCH1105	1	1	1	1	1	1	1	1	0.371244180896478
ARCH1106	1	1	1	1	1	1	1	1	1
ARCH1107	1	0.698084694306253	0.274771282689766	1	1	1	1	1	1
ARCH1108	1	1	0.91351723281736	1	0.763737739013321	1	0.429241131402873	1	1
ARCH1109	1	1	0.416462067650403	1	1	0.0734434619312755	1	1	0.18116000006144
ARCH111	1	1	0.931804374501419	0.915016308033201	0.333305095986969	0.555288036146096	0.000119101788879498	1	1
ARCH1110	1	1	1	1	1	0.941681016236205	0.90478993246613	1	1
ARCH1111	1	1	1	0.753726555800857	0.95311644839927	1	1	1	1
ARCH1112	1	1	1	1	1	1	1	1	1
ARCH1113	1	1	1	1	1	0.858396518065169	1	1	1
ARCH1114	1	1	1	1	0.250964725856425	0.702922410336587	0.22733892198832	1	1
ARCH1115	0.953878858505188	0.714708449553522	1	1	0.333305095986969	0.914828431095344	1	1	1
ARCH1116	1	1	0.32926987249874	0.967516020628006	0.887057504074519	1	1	1	1
ARCH1117	1	1	0.373907110618165	1	1	1	1	1	1
ARCH1118	1	1	1	0.610574468559312	0.609124237966241	1	1	1	1
ARCH1119	1	1	1	1	1	1	1	1	1
ARCH112	1	1	0.0891106797445177	0.847057907476908	0.889383814743821	1	1	1	1
ARCH1120	0.911693874484459	1	1	0.898357460934656	1	1	1	1	1
ARCH1121	1	1	0.940090849077207	0.99306360011429	1	1	1	1	1
ARCH1122	0.796934429975455	1	0.931310304155908	1	1	0.607705059318925	1	1	1
ARCH1123	1	1	1	0.712374583865054	1	0.997675997679608	0.875249535788699	0.815089353757792	1
ARCH1124	1	1	1	1	0.240457550672229	1	0.970652117307403	1	1
ARCH1125	1	1	1	1	0.442928964801803	1	1	1	1
ARCH1126	1	1	0.237485691527445	0.154332156636407	1	0.810240312036161	0.691129809439958	1	1
ARCH1127	1	1	1	1	1	1	1	1	1
ARCH1128	0.552926948192303	1	1	1	1	1	0.891706018556237	1	1
ARCH1129	0.878360510132258	1	1	0.984286445818477	0.996676139269378	0.819517807275087	0.0840865710285659	1	1
ARCH113	0.753335883066983	1	0.317638963546907	1	1	0.227605861100875	0.196783321933353	1	1
ARCH1130	1	1	0.825027405752344	1	1	0.9388111537836	1	1	1
ARCH1131	1	1	0.233045673323545	0.401495518489244	1	1	1	1	1
ARCH1132	1	1	1	1	1	1	0.203135353132376	1	1
ARCH1133	1	1	1	1	0.919259521989756	1	1	1	1
ARCH1134	1	1	1	1	1	1	1	1	1
ARCH1135	1	0.636023254980577	1	1	1	1	1	1	1
ARCH1136	0.00525904285833914	1	0.850335196662371	1	1	0.891960435708718	0.0127288767293128	1	1
ARCH1137	1	1	1	0.948210301981427	0.393797930025498	1	0.561996129214125	1	1
ARCH1138	1	1	1	0.573672666178536	0.731476102816785	1	0.908146772917284	0.249021840409894	1
ARCH114	0.758694861409845	0.635677515053417	0.308931665646183	0.898357460934656	1	0.765423870799836	0.397757240787458	1	1
ARCH1142	0.387672739876804	1	1	0.880474719763852	0.603267409045389	0.754395647530728	1	1	1
ARCH1143	1	1	1	1	1	1	1	1	0.371244180896478
ARCH1144	1	1	1	1	1	1	1	1	0.366518313318606
ARCH1145	1	1	1	1	1	1	1	1	0.221274891606795
ARCH1146	1	1	1	0.809502342624764	1	1	0.000365008212320019	1	0.403809298527
ARCH1147	0.96421960773844	1	0.886335895696476	0.665650680793648	1	1	1	1	0.872278352399198
ARCH1148	1	1	1	1	0.955297259315156	1	1	1	1
ARCH1149	1	1	1	1	1	1	1	1	1
ARCH115	0.13725794499128	0.897648634387458	1	0.488606613304354	0.366656127836324	0.227605861100875	0.000585319094234138	1	1
ARCH1151	1	1	1	0.00170234313747188	0.0641509983524608	5.37142343942656e-16	2.26118090587502e-67	1	1
