motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	group	name	minuslog10qval	label
ARCH1153_islike_RFX6_RFX5_RFX7_RFX3_RFX2_RFX4_Rfx2_Rfx3_Rfx_RFX1_RFX5	5.24046408586801	0.169072164948454	0.032262822944325	82	1531	1.22808939565351e-33	8.33872699648732e-31	G3	RFX4/6/8	20	RFX4/6/8
ARCH1154_RFX_RFX2	4.54330409806637	0.17319587628866	0.0381211278290555	84	1809	2.73213676673441e-30	1.23674724307511e-27	G3	RFX4/6/8	20	RFX4/6/8
ARCH1157_Homeodomains_Hoxa2_Hoxb4	4.01484661423245	0.222680412371134	0.0554642390525562	108	2632	1.03158616566488e-34	9.33929341981934e-32	G3	HoxF/Anthox1	20	HoxF/Anthox1
ARCH1678_POU3F2_POU3F1_POU3F4_POU3F3	2.42799806175685	0.1464829586657	0.0603307560137457	202	2809	1.40121665783608e-29	1.46373247795492e-27	G7	""	20	
ARCH1710_RUNX1_RUNX2_RUNX3_Runt_Runx_Runx2_RUNX2_run_Bgb	2.04034980718344	0.158810732414793	0.0778350515463918	219	3624	9.77734966028672e-23	7.37646713259409e-21	G7	""	20	
ARCH1711_RUNX1_RUNX2_RUNX3_RUNX3_lz	2.47827868925174	0.152284263959391	0.0614475945017182	210	2861	6.44895547881583e-32	7.29806795019324e-30	G7	""	20	
ARCH2465_POU1F1_POU4F3_POU4F2	3.72231612034887	0.184916606236403	0.0496778350515464	255	2313	1.63193854276748e-69	2.21617254107824e-66	G7	Pou4	20	Pou4
ARCH982_islike_RFX6_RFX3	3.39258524980174	0.245360824742268	0.0723226703755216	119	3432	7.97833519529973e-32	4.33383167808681e-29	G3	RFX4/6/8	20	RFX4/6/8
ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	2.30164156368938	0.0899202320522118	0.0390678694158076	124	1819	1.38878001983579e-16	6.18348612110491e-15	G7	""	14.2087666096528	
ARCH1610_HLH_Tcf4	2.10832882142417	0.100797679477883	0.0478092783505155	139	2226	1.41678637320552e-15	5.83029059034272e-14	G7	""	13.2343097988195	
