transcript	JGC6_NcolNeg	JGC7_NcolPos	JGC8_NcolNeg	JGD1_ElavPos	JGD2_ElavNeg	JGD3_ElavPos	JGD4_ElavNeg	JGD5_ElavPos	JGD6_ElavNeg	JGD7_ElavPos	JGD8_ElavNeg	JGC1_NcolPos	JGC2_NcolNeg	JGC3_NcolPos	JGC4_NcolNeg	JGC5_NcolPos	JGA1_FoxPos	JGA2_FoxNeg	JGA3_FoxPos	JGA4_FoxNeg	JGA5_FoxPos	JGA6_FoxNeg	JGA7_FoxPos	JGA8_FoxNeg
Nvec_vc1.1_XM_032374162.2	3462	1327	2429	690	1300	2840	2033	2824	1597	2018	1068	1689	3562	2202	3398	1817	1109	2192	1726	1798	2467	2827	2261	1436
Nvec_vc1.1_XM_001626535.3	476	397	474	235	578	627	399	608	569	704	1212	735	429	648	357	444	84	606	391	609	92	254	360	679
Nvec_vc1.1_XM_001626549.3	3008	2665	3378	855	3801	3082	3518	2981	2775	2898	3349	3880	2773	3371	2573	3268	1131	3651	3626	3540	1995	3875	4346	3183
Nvec_vc1.1_XM_032374171.2	787	496	767	227	1017	1002	780	720	682	1133	1671	642	1003	547	589	289	290	1165	1237	868	443	892	870	1250
Nvec_vc1.1_XM_001626548.3	30061	20926	28953	10178	40296	21950	37190	22543	36423	20704	35945	25495	33592	31439	27271	44582	17079	42962	35089	38757	34833	33313	38163	35861
Nvec_vc1.1_XM_032374170.2	1333	802	880	131	553	299	717	303	747	302	1031	1236	1145	1053	714	1099	618	1169	595	1032	596	1284	1022	1077
Nvec_vc1.1_XM_048724591.1	1573	665	1282	368	1020	1453	1168	1732	1326	1447	1061	783	1374	872	1117	976	870	1512	2041	1285	882	1656	2534	978
Nvec_vc1.1_XM_001626546.3	908	903	772	1060	692	1053	954	1690	1014	1478	766	1397	942	1364	724	1579	675	1451	1720	1118	912	1454	723	1181
Nvec_vc1.1_XM_032374190.2	2012	700	1226	841	1153	2239	1318	1714	1327	2149	1540	1306	1368	864	1048	870	821	1958	1657	2222	437	1798	1976	1446
Nvec_vc1.1_XM_032374192.2	3803	2626	2653	927	3518	3360	3044	2785	2494	3791	4430	3714	4861	3742	2419	3079	1181	3678	5432	4230	1692	3758	6517	3054
