gene	clusters	group
Nvec_vc1.1_XM_032373176.2	9	1
Nvec_vc1.1_XM_032371791.2	9	1
Nvec_vc1.1_XM_032362171.2	9	1
Nvec_vc1.1_XM_001630797.3	9	1
Nvec_vc1.1_XM_001627745.3	9	1
Nvec_NVE7175	9	1
Nvec_vc1.1_XM_032386716.2	9	1
Nvec_vc1.1_XM_001635133.3	9	1
Nvec_vc1.1_XM_032375430.2	9	1
Nvec_vc1.1_XM_032377758.1	9	1
Nvec_vc1.1_XM_032374991.2	9	1
Nvec_vc1.1_XM_048722808.1	9	1
Nvec_vc1.1_XM_048721184.1	9	1
Nvec_NVE11329	9	1
Nvec_vc1.1_XM_032372316.2	9	1
Nvec_vc1.1_XM_032363027.2	9	1
Nvec_vc1.1_XM_048734665.1	9	1
Nvec_vc1.1_XM_001637467.3	9	1
Nvec_vc1.1_XM_001641521.3	9	1
Nvec_v1g244717	9	1
Nvec_vc1.1_XM_032361866.2	9	1
Nvec_vc1.1_XM_048723820.1	9	1
Nvec_vc1.1_XM_001631945.2	9	1
Nvec_vc1.1_XM_001638511.3	9	1
Nvec_NVE10634	9	1
Nvec_NVE22133	9	1
Nvec_NVE24305	9	1
Nvec_vc1.1_XM_001639076.3	9	1
Nvec_v1g219629	9	1
Nvec_v1g241276	9	1
Nvec_NVE3857	9	1
Nvec_vc1.1_XM_001632977.3	9	1
Nvec_NVE10740	9	1
Nvec_v1g240024	9	1
Nvec_NVE9956	9	1
Nvec_vc1.1_XM_032381866.2	9	1
Nvec_NVE10739	9	1
Nvec_vc1.1_XM_048721145.1	9	1
Nvec_vc1.1_XM_001634372.3	9	1
Nvec_vc1.1_XM_032383641.2	9	1
Nvec_vc1.1_XM_001627155.3	9	1
Nvec_vc1.1_XM_032370884.2	9	1
Nvec_vc1.1_XM_032385679.2	9	1
Nvec_vc1.1_XM_001634346.3	9	1
Nvec_vc1.1_XM_032372197.2	9	1
Nvec_vc1.1_XM_032386335.2	9	1
Nvec_NVE17328	9	1
Nvec_vc1.1_XM_048726803.1	9	1
Nvec_NVE8023	9	1
Nvec_vc1.1_XM_032379457.2	9	1
Nvec_vc1.1_XM_032384559.2	9	1
Nvec_vc1.1_XM_032372717.2	9	1
Nvec_NVE10633	9	1
Nvec_vc1.1_XM_032367382.2	9	1
Nvec_NVE6406	9	1
Nvec_vc1.1_XM_001637641.3	9	1
Nvec_vc1.1_XM_032376390.2	9	1
Nvec_vc1.1_XM_048728088.1	9	1
Nvec_vc1.1_XM_032384971.2	9	1
Nvec_vc1.1_XM_032373451.2	9	1
Nvec_vc1.1_XM_032383357.2	9	1
Nvec_vc1.1_XM_048729154.1	9	1
Nvec_vc1.1_XM_032379729.2	9	1
Nvec_vc1.1_XM_032377318.2	9	1
Nvec_vc1.1_XM_032381369.2	9	1
Nvec_vc1.1_XM_032385321.2	9	1
Nvec_vc1.1_XM_032364214.2	9	1
Nvec_vc1.1_XM_048727855.1	9	1
Nvec_vc1.1_XM_032365458.2	9	1
Nvec_vc1.1_XM_048720368.1	9	1
Nvec_vc1.1_XM_032382375.2	9	1
Nvec_vc1.1_XM_032369987.2	14	1
Nvec_vc1.1_XM_001622614.3	14	1
Nvec_vc1.1_XM_048730892.1	14	1
Nvec_vc1.1_XM_048722320.1	14	1
Nvec_vc1.1_XM_048725587.1	14	1
Nvec_v1g93841	14	1
Nvec_vc1.1_XM_032365166.2	14	1
Nvec_vc1.1_XM_048727253.1	14	1
Nvec_vc1.1_XM_032378893.2	14	1
Nvec_vc1.1_XM_032383835.2	14	1
Nvec_vc1.1_XM_032382196.2	14	1
Nvec_vc1.1_XM_048725163.1	14	1
Nvec_vc1.1_XM_032362974.2	14	1
Nvec_vc1.1_XM_032364770.2	14	1
Nvec_vc1.1_XM_032370984.2	14	1
Nvec_v1g91303	14	1
Nvec_vc1.1_XM_001630845.3	14	1
Nvec_vc1.1_XM_048725804.1	14	1
Nvec_vc1.1_XM_001629561.3	14	1
Nvec_vc1.1_XM_032375984.2	14	1
Nvec_vc1.1_XM_032366708.2	14	1
Nvec_vc1.1_XM_048721937.1	14	1
Nvec_vc1.1_XM_032377274.2	14	1
Nvec_vc1.1_XM_032384853.2	14	1
Nvec_vc1.1_XM_032377304.2	14	1
Nvec_vc1.1_XM_032376563.2	14	1
Nvec_vc1.1_XM_048728093.1	14	1
Nvec_vc1.1_XM_048721621.1	14	1
Nvec_vc1.1_XM_001629162.3	14	1
Nvec_vc1.1_XM_032369287.2	14	1
Nvec_NVE4373	14	1
Nvec_vc1.1_XM_032380140.2	14	1
Nvec_vc1.1_XM_001632491.3	14	1
Nvec_vc1.1_XM_032387174.2	14	1
Nvec_vc1.1_XM_032374746.2	14	1
Nvec_vc1.1_XM_048725200.1	14	1
Nvec_vc1.1_XM_032365912.2	14	1
Nvec_vc1.1_XM_001624115.3	14	1
Nvec_vc1.1_XM_001631238.3	14	1
Nvec_vc1.1_XM_001632595.3	14	1
