gene	group_rf	group_gbm	group_xgb
Nvec_NVE10034	G7	G7	G7
Nvec_NVE10188	G8	G1	G8
Nvec_NVE10222	G8	G2	G1
Nvec_NVE10223	G2	G2	G2
Nvec_NVE10291	G8	G7	G7
Nvec_NVE10326	G1	G7	G6
Nvec_NVE10366	G3	G7	G7
Nvec_NVE10373	G9	G1	G1
Nvec_NVE10379	G9	G7	G9
Nvec_NVE10399	G8	G1	G1
Nvec_NVE10420	G8	G7	G7
Nvec_NVE10462	G9	G7	G9
Nvec_NVE10467	G1	G2	G2
Nvec_NVE10576	G8	G7	G7
Nvec_NVE10628	G7	G3	G3
Nvec_NVE10719	G9	G7	G2
Nvec_NVE10724	G1	G1	G1
Nvec_NVE10736	G3	G3	G3
Nvec_NVE1076	G8	G7	G9
Nvec_NVE10769	G8	G7	G8
Nvec_NVE10774	G7	G7	G7
Nvec_NVE10834	G1	G7	G2
Nvec_NVE10943	G9	G9	G9
Nvec_NVE1099	G1	G1	G1
Nvec_NVE11012	G9	G7	G9
Nvec_NVE11067	G2	G2	G2
Nvec_NVE11081	G3	G3	G3
Nvec_NVE11103	G3	G2	G9
Nvec_NVE11202	G8	G9	G8
Nvec_NVE11226	G9	G1	G9
Nvec_NVE11336	G1	G1	G1
Nvec_NVE11348	G9	G9	G9
Nvec_NVE1143	G1	G1	G1
Nvec_NVE11446	G8	G8	G8
Nvec_NVE1145	G9	G9	G9
Nvec_NVE11496	G1	G2	G2
Nvec_NVE11610	G2	G2	G2
Nvec_NVE11643	G9	G9	G9
Nvec_NVE11739	G1	G6	G6
Nvec_NVE11782	G6	G6	G6
Nvec_NVE11800	G1	G8	G8
Nvec_NVE11901	G7	G7	G7
Nvec_NVE12022	G8	G7	G7
Nvec_NVE12029	G8	G7	G7
Nvec_NVE12031	G3	G1	G8
Nvec_NVE12033	G7	G7	G7
Nvec_NVE12059	G7	G7	G7
Nvec_NVE12068	G8	G7	G6
Nvec_NVE12069	G8	G7	G7
Nvec_NVE12107	G7	G7	G7
Nvec_NVE12148	G3	G7	G7
Nvec_NVE12161	G8	G2	G2
