Elav_vs_neg	Elav_vs_Fox	Elav_vs_Ncol	Fox_vs_neg	Fox_vs_Elav	Fox_vs_Ncol	Ncol_vs_neg	Ncol_vs_Fox	Ncol_vs_Elav
Nvec_vc1.1_XM_032374162.2	0.653942216905585	0.368374683021855	0.198819314379704	0.0706865482161482	-0.368374683021855	-0.169555368642152	-0.807386203526253	0.169555368642152	-0.198819314379704
Nvec_vc1.1_XM_001626535.3	-0.0989329687247414	1.5903833434495	-0.0426151774345459	-1.11741884660148	-1.5903833434495	-1.63299852088404	0.396671220367001	1.63299852088404	0.0426151774345458
Nvec_vc1.1_XM_001626549.3	-0.248158903761414	0.126557629490694	-0.471292095643677	-0.237595035001087	-0.126557629490694	-0.59784972513437	0.211858573355839	0.59784972513437	0.471292095643676
Nvec_vc1.1_XM_032374171.2	-0.217933463826251	0.422120699295079	0.558934362465791	-0.451195293209976	-0.422120699295079	0.136813663170713	-0.585163544559174	-0.136813663170713	-0.558934362465791
Nvec_vc1.1_XM_001626548.3	-0.747243379185427	-0.434774653148728	-0.690060513584931	-0.0879542059046474	0.434774653148728	-0.255285860436203	0.0744518558594741	0.255285860436203	0.690060513584931
Nvec_vc1.1_XM_032374170.2	-1.31937166527556	-1.21706071659909	-2.01874395976232	-0.461496664943223	1.21706071659909	-0.801683243163225	0.117839984382702	0.801683243163225	2.01874395976232
Nvec_vc1.1_XM_048724591.1	0.308300820624116	-0.0644252999872152	0.544042732921978	0.369498825566606	0.0644252999872153	0.608468032909193	-0.629922268344683	-0.608468032909193	-0.544042732921978
Nvec_vc1.1_XM_001626546.3	0.921220754076206	0.754446775966334	0.0922622714297853	-0.192416960897364	-0.754446775966334	-0.662184504536549	0.696671366285621	0.662184504536549	-0.0922622714297852
Nvec_vc1.1_XM_032374190.2	0.604963561344004	0.803141954270798	0.886518049205866	-0.435440197785773	-0.803141954270798	0.0833760949350682	-0.525410608719402	-0.0833760949350681	-0.886518049205866
Nvec_vc1.1_XM_032374192.2	-0.0976943907361161	-0.110017122379459	-0.323847409250493	0.101907236112767	0.110017122379459	-0.213830286871035	0.0222623317893161	0.213830286871035	0.323847409250493
Nvec_vc1.1_XM_001626530.3	-0.0201724808755829	0.721654370388227	0.271096566677376	-0.696207603866437	-0.721654370388227	-0.450557803710852	-0.616008023598633	0.450557803710852	-0.271096566677376
Nvec_vc1.1_XM_032374174.2	-0.236430256925746	0.113789296704736	0.612795480346738	-0.105758492417115	-0.113789296704736	0.499006183642002	-0.820526372369435	-0.499006183642002	-0.612795480346738
Nvec_vc1.1_XM_032374172.2	0.376140063069255	0.83009564030805	1.0227007508334	-0.286568633512055	-0.83009564030805	0.19260511052535	-0.632929628293707	-0.19260511052535	-1.0227007508334
Nvec_v1g125757	0.752365073205827	1.14383227483858	1.09621461052501	-0.456067434862163	-1.14383227483858	-0.0476176643135771	-0.493813477877915	0.0476176643135771	-1.09621461052501
Nvec_vc1.1_XM_032374182.2	-2.60580264756011	-1.08842722472364	0.161292276395677	-1.70521958470528	1.08842722472364	1.24971950111932	-2.79615808230329	-1.24971950111932	-0.161292276395677
Nvec_vc1.1_XM_032374183.2	-2.25812894390749	-0.382473439308217	-0.400629331619472	-0.949137673881005	0.382473439308217	-0.0181558923112545	-1.59895639882064	0.0181558923112546	0.400629331619471
Nvec_vc1.1_XM_001626528.3	-0.338516472813595	1.1744067010665	0.565504176347436	-1.4130842424553	-1.1744067010665	-0.608902524719066	-0.592919709897814	0.608902524719066	-0.565504176347436
Nvec_vc1.1_XM_001626541.3	0.223373725247189	1.6282977801099	-3.37108541967217	-2.74324077079556	-1.6282977801099	-4.99938319978207	-0.961806161030292	4.99938319978207	3.37108541967217
Nvec_vc1.1_XM_032374187.2	-1.7829971528617	-0.499328918278857	-0.929851938887478	-1.50834065188313	0.499328918278857	-0.430523020608621	-1.08312577208043	0.430523020608621	0.929851938887478
Nvec_vc1.1_XM_032374184.2	-0.0614381292154134	0.0590379079325356	-0.002837547774927	-0.333304493457523	-0.0590379079325357	-0.0618754557074626	-0.574283680708518	0.0618754557074626	0.00283754777492699
Nvec_vc1.1_XM_032374180.2	-0.358232313567875	0.183753894705835	0.189975834456692	-0.632670119876464	-0.183753894705835	0.00622193975085648	-0.183274350625707	-0.0062219397508566	-0.189975834456692
Nvec_vc1.1_XM_032374179.2	-0.00743768264845552	0.695277709674458	0.358634771070355	-0.414266867474752	-0.695277709674458	-0.336642938604102	-0.295562454366145	0.336642938604102	-0.358634771070355
Nvec_vc1.1_XM_048725220.1	-0.11950750200951	0.17049818376678	0.119542060639448	-0.478787682140585	-0.17049818376678	-0.0509561231273313	-0.973281654089838	0.0509561231273312	-0.119542060639448
Nvec_vc1.1_XM_048725245.1	-0.28463029402046	0.0789319361849524	-0.643749336782438	-0.648960653036201	-0.0789319361849526	-0.722681272967391	-0.168687578709407	0.722681272967391	0.643749336782438
Nvec_NVE16061	0.070213424119411	1.34749018312873	0.301444310835001	-1.09387527573265	-1.34749018312873	-1.04604587229373	0.196907648781847	1.04604587229373	-0.301444310835001
Nvec_vc1.1_XM_032386191.2	0.783313023082989	0.282109377030312	-0.0547982476875377	0.114107786579239	-0.282109377030312	-0.336907624717849	-0.178421657389871	0.336907624717849	0.0547982476875378
Nvec_vc1.1_XM_032386195.2	2.27575674371634	0.316326873431788	0.388160330771083	0.738030887323389	-0.316326873431788	0.0718334573392956	0.0869251532555391	-0.0718334573392956	-0.388160330771084
Nvec_vc1.1_XM_032386116.2	0.764344491611234	4.58517621479935	12.1648605452004	-3.7344639114551	-4.58517621479935	7.57968433040108	-12.1871101285291	-7.57968433040108	-12.1648605452004
Nvec_vc1.1_XM_032386206.2	-1.76929892548793	-0.23812560910451	0.607703999748838	-1.90116148936554	0.23812560910451	0.845829608853348	-3.78020305590401	-0.845829608853348	-0.607703999748838
Nvec_vc1.1_XM_001636328.3	2.50686075936208	3.59717087117034	4.0951678158611	-1.73211936625958	-3.59717087117034	0.497996944690763	-2.60390027487981	-0.497996944690763	-4.0951678158611
Nvec_vc1.1_XM_001636367.3	-1.5953757363604	-0.741403473548845	-0.814056033548547	-0.682850033877533	0.741403473548845	-0.0726525599997027	-0.400024928939768	0.0726525599997028	0.814056033548547
Nvec_vc1.1_XM_048727259.1	0.47507567775383	0.270048633973776	0.416115848632906	-0.107359704003801	-0.270048633973776	0.14606721465913	0.131488415966793	-0.14606721465913	-0.416115848632906
Nvec_vc1.1_XM_048727258.1	-0.90689647752556	1.08043521691539	0.0129301022850842	-2.53068282703675	-1.08043521691539	-1.06750511463031	-1.89687911198183	1.06750511463031	-0.0129301022850843
Nvec_vc1.1_XM_048728918.1	0.386164134241876	0.397737667611779	-0.435192930713586	-0.579174781301217	-0.397737667611778	-0.832930598325364	0.00211946353664518	0.832930598325364	0.435192930713585
Nvec_vc1.1_XM_048728963.1	0.851553719573622	0.273294662040265	1.29779737347832	-0.772904235248042	-0.273294662040265	1.02450271143806	-2.82599736365509	-1.02450271143806	-1.29779737347832
Nvec_vc1.1_XM_032386215.2	-0.640788160184209	0.802237023097781	1.00041255424401	-1.58941676013831	-0.802237023097781	0.19817553114623	-1.40902317570027	-0.19817553114623	-1.00041255424401
Nvec_NVE16072	-1.90631999226056	-0.221184471379994	-6.13298347328058	-2.28030685484411	0.221184471379994	-5.91179900190059	4.34466157902917	5.91179900190059	6.13298347328058
Nvec_vc1.1_XM_048728955.1	-0.756216365162146	0.776861345347776	-3.81089792447372	-1.48764516905733	-0.776861345347777	-4.5877592698215	3.48937860732462	4.5877592698215	3.81089792447372
Nvec_vc1.1_XM_048728924.1	0.115492094974686	0.850705957196516	-0.0963942240127251	-1.46345326958011	-0.850705957196516	-0.947100181209241	-0.635880175536579	0.947100181209241	0.0963942240127251
Nvec_vc1.1_XM_001636334.3	-0.643885510605899	-0.163312425403246	-0.487398344219999	-0.521246987099587	0.163312425403246	-0.324085918816753	-0.222990040184518	0.324085918816753	0.487398344219999
Nvec_vc1.1_XM_001636372.3	-0.717920560762309	0.170074203911814	-1.37621347802911	-0.407837531405274	-0.170074203911814	-1.54628768194092	1.02808388624096	1.54628768194092	1.37621347802911
Nvec_vc1.1_XM_032386135.2	-0.182903030070253	0.327791254894543	0.685434409118372	-0.426018558755139	-0.327791254894543	0.357643154223829	-0.863568894493456	-0.357643154223829	-0.685434409118372
Nvec_vc1.1_XM_048728947.1	2.13394308672594	-0.569579709304334	2.72523699438813	1.4161388619801	0.569579709304334	3.29481670369247	-1.97530191996446	-3.29481670369247	-2.72523699438813
Nvec_vc1.1_XM_048729864.1	0.390428191553858	0.152732808335661	-0.285495574706927	0.0937340286935821	-0.152732808335661	-0.438228383042588	0.389746574608484	0.438228383042588	0.285495574706927
Nvec_vc1.1_XM_032386169.2	-0.0420272368567951	0.724419340093565	-0.309114685126296	-0.829203110804257	-0.724419340093565	-1.03353402521986	0.425276059331672	1.03353402521986	0.309114685126296
Nvec_vc1.1_XM_048728415.1	0.331725623351943	0.415451719336764	0.580456409802109	-0.242183758871234	-0.415451719336765	0.165004690465345	-0.254495324303189	-0.165004690465345	-0.580456409802109
Nvec_vc1.1_XM_032386115.2	0.849786057109916	-0.39208512556641	-1.82823462687868	2.00493502061574	0.392085125566411	-1.43614950131227	1.15640310106772	1.43614950131227	1.82823462687868
Nvec_vc1.1_XM_048728255.1	0.252462508805556	-0.15444327623169	-0.164737634558362	0.349814786294128	0.15444327623169	-0.0102943583266726	0.454830250883597	0.0102943583266727	0.164737634558363
Nvec_vc1.1_XM_032386189.2	0.467031874982828	-0.491610128235018	1.48067096239699	1.77393636249382	0.491610128235018	1.97228109063201	-0.305535555245627	-1.97228109063201	-1.48067096239699
Nvec_vc1.1_XM_032386201.2	0.572794938661185	0.969969343199429	0.619753571709926	1.54942138464024	-0.969969343199429	-0.350215771489503	-0.457658460977463	0.350215771489503	-0.619753571709926
Nvec_vc1.1_XM_032386204.2	-1.6887464287912	-1.23964531718274	-1.08476465896095	0.301991305381311	1.23964531718274	0.154880658221792	-0.284187388058347	-0.154880658221792	1.08476465896095
Nvec_vc1.1_XM_001636339.3	-0.088805269333141	-0.879321898670076	0.17898632494277	0.697330953281015	0.879321898670076	1.05830822361285	-0.0778586655596291	-1.05830822361285	-0.17898632494277
Nvec_vc1.1_XM_048725946.1	0.478682447919717	-1.27095724755489	-0.0257713332885399	1.80976201897068	1.27095724755489	1.24518591426635	-0.374582830873601	-1.24518591426635	0.0257713332885398
Nvec_vc1.1_XM_032386121.2	-0.150394289748685	1.19977755428645	-0.494337622620366	-1.00401092180899	-1.19977755428645	-1.69411517690682	0.756286534055293	1.69411517690682	0.494337622620366
Nvec_vc1.1_XM_048728405.1	-2.69433083424054	-0.554596321189255	-1.32839137620481	-1.88718937362486	0.554596321189255	-0.773795055015551	-1.37429449248609	0.773795055015551	1.32839137620481
Nvec_vc1.1_XM_032381166.2	-2.93855288487278	-2.23290920399997	-1.48439421983392	-1.42728002763062	2.23290920399997	0.748514984166056	-2.15389383796296	-0.748514984166056	1.48439421983392
Nvec_vc1.1_XM_032386209.2	-2.11921391952788	-0.339506798918529	-0.555294527899634	-1.79241911941435	0.339506798918529	-0.215787728981105	-1.02080579024608	0.215787728981105	0.555294527899634
Nvec_vc1.1_XM_001621847.3	-2.82530861233036	0.546012765510395	-0.172469304323859	-3.18153907720074	-0.546012765510395	-0.718482069834254	-2.02706226157903	0.718482069834254	0.172469304323859
Nvec_vc1.1_XM_048730812.1	-2.20972362897544	0.727942435716395	-0.738619836372554	-1.37424154312922	-0.727942435716395	-1.46656227208895	-0.447723207333965	1.46656227208895	0.738619836372554
Nvec_vc1.1_XM_032386211.2	0.261103812939688	-0.571201629955643	-1.61631679580042	-0.416258716745577	0.571201629955643	-1.04511516584478	0.507067986380053	1.04511516584478	1.61631679580042
Nvec_vc1.1_XM_048728718.1	-1.52127970843157	-1.55835989930726	-0.21443332796966	-0.147755506871304	1.55835989930726	1.3439265713376	-2.09926269703346	-1.3439265713376	0.21443332796966
Nvec_vc1.1_XM_048728974.1	-3.30096289897078	-4.36911713611742	-2.38187041316882	2.1501440838304	4.36911713611742	1.9872467229486	-1.27704536192376	-1.9872467229486	2.38187041316882
Nvec_vc1.1_XM_001636343.3	0.943007866013568	2.04706989950941	1.77139581631075	-0.646633347064224	-2.04706989950941	-0.275674083198658	-0.818087399060926	0.275674083198658	-1.77139581631075
Nvec_vc1.1_XM_032386160.2	-0.456545499047869	0.795576729204736	1.59522821981547	-1.62267869712724	-0.795576729204737	0.799651490610732	-2.89739621920285	-0.799651490610732	-1.59522821981547
Nvec_vc1.1_XM_032386113.2	-0.623730502384134	-0.325342112364438	-1.73335756806105	-0.964177525255808	0.325342112364438	-1.40801545569661	0.17994477034494	1.40801545569661	1.73335756806105
Nvec_vc1.1_XM_032386114.2	-0.718397779749467	2.11006575966116	-0.337762015841952	-1.91772894277834	-2.11006575966116	-2.44782777550312	-3.43024608918889	2.44782777550312	0.337762015841952
Nvec_vc1.1_XM_001636383.3	-0.880975739875067	0.182534585552022	-0.148442340189897	-0.770339893862279	-0.182534585552022	-0.330976925741919	-0.599712014303232	0.330976925741919	0.148442340189897
Nvec_vc1.1_XM_001636346.3	0.0720140691362548	0.406790971170252	-0.406672628637982	0.0418890658460045	-0.406790971170252	-0.813463599808234	0.617045879419898	0.813463599808234	0.406672628637982
Nvec_vc1.1_XM_032386172.2	0.0163395599662347	0.955203387976502	0.728561463477882	-0.535522570861736	-0.955203387976502	-0.22664192449862	-0.593867395334306	0.22664192449862	-0.728561463477882
Nvec_vc1.1_XM_048727015.1	0.430067754591185	-0.417269356443603	-0.478218377431373	0.404662456496486	0.417269356443603	-0.0609490209877707	0.404098127113325	0.0609490209877708	0.478218377431373
Nvec_vc1.1_XM_001636347.3	-0.257375100966135	1.62388090840222	0.756497157711744	-1.62356716980338	-1.62388090840222	-0.867383750690474	-0.452369959931615	0.867383750690474	-0.756497157711744
Nvec_vc1.1_XM_032386178.2	4.63324310267368	1.93774586006802	2.42110626503519	0.959526056527568	-1.93774586006802	0.483360404967173	0.0738022440285343	-0.483360404967173	-2.42110626503519
Nvec_vc1.1_XM_032386181.2	0.784203007541427	-0.619864611025764	-2.42232487606921	0.925376104203766	0.619864611025764	-1.80246026504344	2.0027054154721	1.80246026504344	2.42232487606921
Nvec_vc1.1_XM_048732530.1	-0.422737949323172	0.450019645275656	-0.287645600483923	-1.06513205845509	-0.450019645275656	-0.737665245759579	-0.425497672187009	0.737665245759578	0.287645600483923
Nvec_vc1.1_XM_032386176.2	-0.398183425227636	0.498298873073675	-1.13519283284874	-0.81062565912091	-0.498298873073675	-1.63349170592242	0.238678002775205	1.63349170592242	1.13519283284874
Nvec_vc1.1_XM_048732565.1	0.0199331009324418	0.4540814717406	0.641836142570321	-0.548852812809746	-0.4540814717406	0.187754670829721	-0.20633454666141	-0.187754670829721	-0.641836142570321
Nvec_vc1.1_XM_032386184.2	-2.09738370251783	0.282111385657357	-0.546121578734587	-2.42396455075622	-0.282111385657357	-0.828232964391945	-1.36378063320572	0.828232964391945	0.546121578734587
Nvec_vc1.1_XM_001636391.3	-0.617057595583589	0.0547135020743559	0.0386085573070986	-0.707670199037558	-0.0547135020743559	-0.0161049447672574	-0.493227765643877	0.0161049447672574	-0.0386085573070985
Nvec_vc1.1_XM_001636349.3	0.323503101547342	0.26289072571474	0.800360184652508	-0.169529626839666	-0.26289072571474	0.537469458937768	-0.623373132818032	-0.537469458937768	-0.800360184652508
Nvec_vc1.1_XM_001636392.3	-0.501796515907462	0.520676133969057	0.37125463043842	-0.645606424259714	-0.520676133969057	-0.149421503530637	-0.177369733911232	0.149421503530637	-0.37125463043842
Nvec_vc1.1_XM_048726530.1	1.67753157445126	3.13878663240799	-1.75645406503089	-0.495065438965945	-3.13878663240799	-4.89524069743888	2.25257834113265	4.89524069743888	1.75645406503089
Nvec_vc1.1_XM_032386159.2	-1.43891186427545	0.293387509511805	-0.423666682910868	-0.733790524885332	-0.293387509511805	-0.717054192422673	1.07861917270918	0.717054192422673	0.423666682910868
Nvec_vc1.1_XM_048732386.1	-2.72493516206201	-0.0614997527357103	-2.83080722445967	-3.02151376797691	0.0614997527357104	-2.76930747172396	-0.464906627668091	2.76930747172396	2.83080722445967
Nvec_vc1.1_XM_048732441.1	0.0814972115330393	0.929529308042683	-0.181545849920897	-1.13245319668382	-0.929529308042683	-1.11107515796358	-0.187563398580173	1.11107515796358	0.181545849920897
Nvec_vc1.1_XM_048732410.1	-1.7994490380739	5.29092373258725	1.78218232227544	-6.00498191634138	-5.29092373258725	-3.5087414103118	-3.46378108916208	3.5087414103118	-1.78218232227545
Nvec_vc1.1_XM_048726920.1	-2.05074484306306	-0.0820328719001119	-0.714622432793009	-2.26810879084258	0.0820328719001119	-0.632589560892898	-1.45892329956085	0.632589560892898	0.71462243279301
Nvec_vc1.1_XM_048732444.1	-2.3652627227979	-0.64856349931254	3.45703436637991	-2.05023627772741	0.64856349931254	4.10559786569245	-5.73081948543735	-4.10559786569245	-3.45703436637991
Nvec_vc1.1_XM_048732420.1	-2.17755155199779	1.04060064048402	-0.182609152888521	-2.90583413373935	-1.04060064048402	-1.22320979337254	-1.7895918414016	1.22320979337254	0.182609152888521
Nvec_vc1.1_XM_048726955.1	-4.40293043416333	-1.0856939280772	-1.72156951901849	-3.38984685829279	1.0856939280772	-0.635875590941289	-3.31051479928484	0.635875590941289	1.72156951901849
Nvec_vc1.1_XM_048732426.1	-1.62769621058583	-1.09549537826178	1.14448956988973	-1.65845429890789	1.09549537826178	2.23998494815151	-4.54766037261403	-2.23998494815151	-1.14448956988973
Nvec_vc1.1_XM_001636352.3	-0.322031202563553	-1.54470754194211	1.42537157654535	1.8721608861691	1.54470754194211	2.97007911848747	-1.31159650682074	-2.97007911848747	-1.42537157654535
Nvec_vc1.1_XM_001636353.3	-0.253802217540093	0.257839214633609	2.76138100851712	-0.70935843567396	-0.257839214633609	2.50354179388351	-3.19446908266801	-2.50354179388351	-2.76138100851712
Nvec_vc1.1_XM_032386130.2	-0.186085007316122	-0.944351804594536	0.359017200733291	0.478397098506386	0.944351804594536	1.30336900532783	-0.713143766749626	-1.30336900532783	-0.359017200733291
Nvec_vc1.1_XM_032386132.2	-0.188946552410363	0.178185553195672	1.26744814776402	-0.366283783754188	-0.178185553195672	1.08926259456835	-1.17702421283048	-1.08926259456835	-1.26744814776402
Nvec_vc1.1_XM_032386131.2	-0.725980370155426	-0.00683297107095536	-0.291755934395171	-1.39754925091523	0.00683297107095544	-0.284922963324216	-1.60731775652836	0.284922963324216	0.291755934395171
Nvec_vc1.1_XM_001636355.3	-4.45917668170225	-1.37373528901315	-2.94398249331459	-2.701051748927	1.37373528901315	-1.57024720430143	-0.838467332202883	1.57024720430143	2.94398249331459
Nvec_vc1.1_XM_048727251.1	4.85922124184791	4.85922124184791	4.85922124184791	0	-4.85922124184791	0	-2.98161654802962	0	-4.85922124184791
Nvec_vc1.1_XM_032386153.2	4.28653901170316	1.69368036815433	5.60306931376494	2.74815178700771	-1.69368036815433	3.90938894561062	-1.77805023020057	-3.90938894561062	-5.60306931376494
Nvec_NVE16126	2.39174766415416	2.28662824440609	2.99258330297031	-1.31355009880143	-2.28662824440609	0.705955058564217	-1.83183688998967	-0.705955058564217	-2.99258330297031
Nvec_vc1.1_XM_032386154.2	-2.21415195829108	-0.574894539888244	-7.25728169983572	-2.53273855185599	0.574894539888244	-6.68238715994747	8.67143301639924	6.68238715994747	7.25728169983572
Nvec_vc1.1_XM_032386151.2	-1.79902808743298	0.162855570761244	-5.73060235331557	-2.44877071448066	-0.162855570761245	-5.89345792407681	5.07476090002551	5.89345792407681	5.73060235331557
Nvec_vc1.1_XM_001636356.3	0.0631036686964262	2.61023044071028	-4.84368572102552	-4.24913041008151	-2.61023044071028	-7.4539161617358	5.19518704062867	7.4539161617358	4.84368572102552
Nvec_vc1.1_XM_048727253.1	4.60657212760158	4.81118394242782	1.04922295480108	-3.18492824816509	-4.81118394242782	-3.76196098762673	0.574566788297546	3.76196098762673	-1.04922295480109
Nvec_vc1.1_XM_032386100.2	2.1093017108263	3.1196242370605	2.70229912461101	-1.79078239973275	-3.1196242370605	-0.417325112449498	-1.93711195139258	0.417325112449498	-2.70229912461101
Nvec_vc1.1_XM_048729129.1	-0.146437581443348	1.43905934353764	1.1266656832848	-0.823103987796295	-1.43905934353764	-0.312393660252838	-0.236539003640175	0.312393660252838	-1.1266656832848
Nvec_vc1.1_XM_032386102.2	2.31332094706692	4.92832779764497	6.33497888326962	-2.55910218582054	-4.92832779764497	1.40665108562465	-4.65445539208424	-1.40665108562465	-6.33497888326962
Nvec_vc1.1_XM_001636399.3	0.505967763450007	0.716392575150888	0.2479020627665	-0.383736523774914	-0.716392575150889	-0.468490512384388	0.219081306119301	0.468490512384388	-0.2479020627665
Nvec_vc1.1_XM_001636360.3	0.506803748554982	1.21525979595137	2.17709454859425	0.188091948021845	-1.21525979595137	0.961834752642885	-1.14378090784535	-0.961834752642885	-2.17709454859425
Nvec_vc1.1_XM_032386096.2	0.451420309972716	0.234902746766057	0.998216040222549	0.214916876066329	-0.234902746766057	0.763313293456492	-0.827233447250248	-0.763313293456492	-0.998216040222549
Nvec_vc1.1_XM_001636361.3	-0.187689764379041	-0.377983808941674	0.267480249261264	0.141272923603309	0.377983808941673	0.645464058202938	-0.750420725347607	-0.645464058202937	-0.267480249261264
Nvec_vc1.1_XM_001636362.3	-1.40470712250872	1.50437307516985	0.819198805442195	-2.94246128029511	-1.50437307516985	-0.685174269727655	-2.46190888361382	0.685174269727655	-0.819198805442194
