Elav_vs_neg	Elav_vs_Fox	Elav_vs_Ncol	Fox_vs_neg	Fox_vs_Elav	Fox_vs_Ncol	Ncol_vs_neg	Ncol_vs_Fox	Ncol_vs_Elav
Nvec_vc1.1_XM_032373176.2	4.95571958477243	10.1116205800947	10.5627663664335	-7.23574455096937	-10.1116205800947	0.451145786338746	-7.9257149236142	-0.451145786338746	-10.5627663664335
Nvec_vc1.1_XM_032371791.2	4.65020550725404	14.6669780791204	10.0830614201749	-11.4769679507385	-14.6669780791204	-4.58391665894549	-7.27536460218853	4.58391665894549	-10.0830614201749
Nvec_vc1.1_XM_032362171.2	4.39648529077362	7.05357757906034	10.3223284031523	-3.0553100954481	-7.05357757906034	3.26875082409199	-6.65260698758268	-3.26875082409199	-10.3223284031523
Nvec_vc1.1_XM_001630797.3	4.3770842910214	7.98758050657935	7.16889100691671	-4.77255938195912	-7.98758050657935	-0.818689499662642	-3.4325590220741	0.818689499662642	-7.16889100691671
Nvec_vc1.1_XM_001627745.3	4.54366383386817	7.52234616346152	7.29376172620049	-4.73524933941353	-7.52234616346152	-0.228584437261025	-4.54593641808341	0.228584437261025	-7.29376172620049
Nvec_NVE7175	4.8752966417303	12.8240293922528	8.91725161259887	-9.58638851961774	-12.8240293922528	-3.90677777965391	-6.00494573432963	3.90677777965391	-8.91725161259887
Nvec_vc1.1_XM_032386716.2	5.38278144040245	7.13054945267438	7.46173425429562	-3.6124644720563	-7.13054945267438	0.331184801621238	-4.04311812496556	-0.331184801621239	-7.46173425429562
Nvec_vc1.1_XM_001635133.3	3.67541281717949	7.07215494962493	5.94943471069774	-4.10719664180256	-7.07215494962493	-1.12272023892719	-3.26192507170598	1.12272023892719	-5.94943471069774
Nvec_vc1.1_XM_032375430.2	4.19551607699932	7.64286748888086	6.7323321513785	-4.86786454653557	-7.64286748888086	-0.910535337502364	-4.05943617297995	0.910535337502364	-6.7323321513785
Nvec_vc1.1_XM_032377758.1	5.47335941812536	8.546111060507	7.28195932142251	-4.6510152867966	-8.546111060507	-1.26415173908449	-3.29415130152441	1.26415173908449	-7.28195932142251
Nvec_vc1.1_XM_032374991.2	6.2142221902733	9.04646596180901	8.46772075365424	-4.84255829645616	-9.04646596180901	-0.578745208154768	-4.17358791496458	0.578745208154768	-8.46772075365424
Nvec_vc1.1_XM_048722808.1	5.52956196055514	7.7318735085891	5.65009535121711	-3.61073455310535	-7.7318735085891	-2.08177815737199	-1.29270992325506	2.08177815737199	-5.65009535121711
