sample	target_gene	regulation	fold_change
Ncol_pos	Nvec_vc1.1_XM_001639702.3	down	-5.84275910164082
Elav_pos	Nvec_vc1.1_XM_032370370.2	down	-5.61507431295928
Ncol_pos	Nvec_NVE4959	down	-5.46363140635954
Elav_pos	Nvec_NVE4767	up	5.34899025343205
Ncol_pos	Nvec_vc1.1_XM_048720298.1	down	-5.33336180838459
Ncol_pos	Nvec_vc1.1_XM_032382729.1	down	-4.90645581851077
Ncol_pos	Nvec_vc1.1_XM_032373797.2	down	-4.53621684467668
Ncol_pos	Nvec_vc1.1_XM_032379655.2	down	-4.50857703946684
Ncol_pos	Nvec_vc1.1_XM_001640577.3	down	-4.36247501062407
Ncol_pos	Nvec_NVE8846	down	-4.30341990935072
Ncol_pos	Nvec_vc1.1_XM_032379655.2	down	-4.0717898983435
Ncol_pos	Nvec_vc1.1_XM_048726022.1	down	-3.87915334505702
Ncol_pos	Nvec_vc1.1_XM_048726022.1	down	-3.87915334505702
Ncol_pos	Nvec_vc1.1_XM_048728300.1	down	-3.81059013034139
Ncol_pos	Nvec_vc1.1_XM_032366344.2	down	-3.78562469587443
Ncol_pos	Nvec_vc1.1_XM_032370694.2	down	-3.76382817117002
Ncol_pos	Nvec_vc1.1_XM_001639232.3	down	-3.74349776172729
Ncol_pos	Nvec_vc1.1_XM_048731101.1	down	-3.74349776172729
Ncol_pos	Nvec_NVE16072	down	-3.68884486447939
Ncol_pos	Nvec_vc1.1_XM_048728008.1	down	-3.5571619100221
Ncol_pos	Nvec_vc1.1_XM_048728008.1	down	-3.5571619100221
Ncol_pos	Nvec_vc1.1_XM_048733486.1	down	-3.50947405726531
Ncol_pos	Nvec_vc1.1_XM_048722779.1	down	-3.48648731584097
Ncol_pos	Nvec_vc1.1_XM_048734475.1	down	-3.27639917215696
Ncol_pos	Nvec_vc1.1_XM_032362622.2	down	-3.20739223738456
Ncol_pos	Nvec_vc1.1_XM_048722867.1	down	-3.17934520294409
Ncol_pos	Nvec_vc1.1_XM_048722321.1	up	3.05195998303061
Ncol_pos	Nvec_vc1.1_XM_048724369.1	down	-3.02362596535811
Ncol_pos	Nvec_vc1.1_XM_001639229.3	down	-3.00503530857029
Ncol_pos	Nvec_vc1.1_XM_032369519.2	down	-2.94027454680212
Elav_pos	Nvec_vc1.1_XM_001632634.3	down	-2.93018360295277
Ncol_pos	Nvec_vc1.1_XM_048724369.1	down	-2.90291191539594
Ncol_pos	Nvec_vc1.1_XM_001638869.3	down	-2.89533602418497
Ncol_pos	Nvec_NVE16074	down	-2.89404961165649
Ncol_pos	Nvec_vc1.1_XM_048732113.1	down	-2.87871338762438
Elav_pos	Nvec_vc1.1_XM_032378150.2	down	-2.86667386671252
Ncol_pos	Nvec_vc1.1_XM_032369609.2	down	-2.82707132564989
Ncol_pos	Nvec_vc1.1_XM_032373652.2	up	2.77746934318743
Elav_pos	Nvec_vc1.1_XM_001628622.3	down	-2.77274008808044
Ncol_pos	Nvec_vc1.1_XM_048728731.1	up	2.76722374338532
Ncol_pos	Nvec_vc1.1_XM_032374107.2	up	2.72943426005437
Ncol_pos	Nvec_vc1.1_XM_048728327.1	up	2.72759453587146
Elav_pos	Nvec_vc1.1_XM_032365970.2	down	-2.65699030853584
Ncol_pos	Nvec_vc1.1_XM_032365970.2	down	-2.65699030853584
Ncol_pos	Nvec_vc1.1_XM_001641857.3	down	-2.64196223830538
Ncol_pos	Nvec_vc1.1_XM_032384018.2	up	2.62997136224254
Ncol_pos	Nvec_vc1.1_XM_048731820.1	down	-2.60911101242304
Ncol_pos	Nvec_vc1.1_XM_001637979.3	down	-2.56473784997577
Ncol_pos	Nvec_v1g199202	down	-2.49170851452196
Ncol_pos	Nvec_vc1.1_XM_048727904.1	up	2.48228886086674
Ncol_pos	Nvec_vc1.1_XM_032380469.2	down	-2.4801861955521
Ncol_pos	Nvec_vc1.1_XM_032377935.2	up	2.46806184802732
Elav_pos	Nvec_vc1.1_XM_032378793.2	down	-2.45286003707991
Ncol_pos	Nvec_vc1.1_XM_048730179.1	up	2.40022202060628
Ncol_pos	Nvec_NVE6935	down	-2.3662051085426
Ncol_pos	Nvec_vc1.1_XM_001637223.3	up	2.3469717661307
Ncol_pos	Nvec_vc1.1_XM_048729593.1	up	2.32221984102623
Ncol_pos	Nvec_vc1.1_XM_001640126.3	up	2.30087944225652
Ncol_pos	Nvec_vc1.1_XM_048728327.1	up	2.27240616268421
Elav_pos	Nvec_vc1.1_XM_048732436.1	down	-2.259758841635
Elav_pos	Nvec_vc1.1_XM_048723619.1	down	-2.24168888384057
Ncol_pos	Nvec_vc1.1_XM_048734278.1	up	2.2410871971248
Ncol_pos	Nvec_vc1.1_XM_032379638.2	down	-2.2344493845601
Elav_pos	Nvec_NVE20918	down	-2.1830105453906
Ncol_pos	Nvec_vc1.1_XM_001641325.3	up	2.17566268032684
Ncol_pos	Nvec_vc1.1_XM_001641325.3	up	2.17566268032684
Ncol_pos	Nvec_vc1.1_XM_001639954.3	down	-2.16197889144746
Ncol_pos	Nvec_vc1.1_XM_048721412.1	down	-2.15407802225748
Ncol_pos	Nvec_vc1.1_XM_032383093.2	down	-2.15040746581053
Elav_pos	Nvec_vc1.1_XM_032384704.2	down	-2.12889043531925
Ncol_pos	Nvec_vc1.1_XM_032366532.2	down	-2.10159465062637
Ncol_pos	Nvec_vc1.1_XM_048726524.1	up	2.10070838098916
Ncol_pos	Nvec_vc1.1_XM_001636548.3	down	-2.09783508786558
Ncol_pos	Nvec_vc1.1_XM_032380863.2	up	2.09536686416083
Elav_pos	Nvec_vc1.1_XM_001640145.3	down	-2.0847098060701
Ncol_pos	Nvec_NVE8182	down	-2.07439525349566
Elav_pos	Nvec_vc1.1_XM_048733790.1	down	-2.05630076245751
Ncol_pos	Nvec_vc1.1_XM_001629567.3	up	2.05320637681817
Ncol_pos	Nvec_vc1.1_XM_032373763.2	up	2.04714578272126
Elav_pos	Nvec_vc1.1_XM_001633398.3	down	-2.03989013146622
Elav_pos	Nvec_vc1.1_XM_048732803.1	down	-2.02399165340345
Ncol_pos	Nvec_vc1.1_XM_048732803.1	down	-2.02399165340345
Ncol_pos	Nvec_vc1.1_XM_032366283.2	up	2.01683626480764
Ncol_pos	Nvec_NVE12662	down	-2.01528955958217
Ncol_pos	Nvec_vc1.1_XM_032381891.2	up	1.98754237156794
Ncol_pos	Nvec_vc1.1_XM_048721878.1	up	1.98602466569219
Ncol_pos	Nvec_vc1.1_XM_048721878.1	up	1.98602466569219
Ncol_pos	Nvec_vc1.1_XM_001629671.3	down	-1.97571405054525
