GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0045844	positive regulation of striated muscle t...	12	4	0.27	9.8e-05	0.902917586872587	BP
GO:0060384	innervation	6	3	0.14	2e-04	0.902917586872587	BP
GO:0030901	midbrain development	15	4	0.34	0.00026	0.902917586872587	BP
GO:0034113	heterotypic cell-cell adhesion	2	2	0.05	5e-04	0.902917586872587	BP
GO:0006555	methionine metabolic process	2	2	0.05	5e-04	0.902917586872587	BP
GO:0022604	regulation of cell morphogenesis	93	8	2.1	0.00083	0.902917586872587	BP
GO:1902667	regulation of axon guidance	20	4	0.45	0.00084	0.902917586872587	BP
GO:0046622	positive regulation of organ growth	10	3	0.23	0.00115	0.902917586872587	BP
GO:0045944	positive regulation of transcription by ...	177	11	4	0.0013	0.902917586872587	BP
GO:0006383	transcription by RNA polymerase III	3	2	0.07	0.00147	0.902917586872587	BP
GO:0021553	olfactory nerve development	3	2	0.07	0.00147	0.902917586872587	BP
GO:0003223	ventricular compact myocardium morphogen...	3	2	0.07	0.00147	0.902917586872587	BP
GO:0050770	regulation of axonogenesis	40	5	0.9	0.00169	0.902917586872587	BP
GO:0045666	positive regulation of neuron differenti...	84	7	1.9	0.00222	0.902917586872587	BP
GO:0002065	columnar/cuboidal epithelial cell differ...	85	7	1.92	0.00237	0.902917586872587	BP
GO:0097192	extrinsic apoptotic signaling pathway in...	13	3	0.29	0.00262	0.902917586872587	BP
GO:2001237	negative regulation of extrinsic apoptot...	13	3	0.29	0.00262	0.902917586872587	BP
GO:0044260	cellular macromolecule metabolic process	1010	34	22.83	0.0028	0.902917586872587	BP
GO:0021772	olfactory bulb development	4	2	0.09	0.00291	0.902917586872587	BP
GO:0010966	regulation of phosphate transport	4	2	0.09	0.00291	0.902917586872587	BP
GO:0009949	polarity specification of anterior/poste...	4	2	0.09	0.00291	0.902917586872587	BP
GO:0031579	membrane raft organization	4	2	0.09	0.00291	0.902917586872587	BP
GO:0035116	embryonic hindlimb morphogenesis	4	2	0.09	0.00291	0.902917586872587	BP
GO:0060430	lung saccule development	4	2	0.09	0.00291	0.902917586872587	BP
GO:0009612	response to mechanical stimulus	47	5	1.06	0.0035	0.902917586872587	BP
GO:0046887	positive regulation of hormone secretion	29	4	0.66	0.00355	0.902917586872587	BP
GO:0048771	tissue remodeling	29	4	0.66	0.00355	0.902917586872587	BP
GO:0048663	neuron fate commitment	29	4	0.66	0.00355	0.902917586872587	BP
GO:0007298	border follicle cell migration	30	4	0.68	0.00403	0.902917586872587	BP
GO:0007616	long-term memory	30	4	0.68	0.00403	0.902917586872587	BP
GO:0071407	cellular response to organic cyclic comp...	94	7	2.12	0.00423	0.902917586872587	BP
GO:0035988	chondrocyte proliferation	5	2	0.11	0.00478	0.902917586872587	BP
GO:0045167	asymmetric protein localization involved...	5	2	0.11	0.00478	0.902917586872587	BP
