GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0035795	negative regulation of mitochondrial mem...	3	2	0.04	0.00054	0.974003918918919	BP
GO:0035162	embryonic hemopoiesis	13	3	0.18	6e-04	0.974003918918919	BP
GO:0051881	regulation of mitochondrial membrane pot...	15	3	0.21	0.00094	0.974003918918919	BP
GO:0035455	response to interferon-alpha	4	2	0.06	0.00108	0.974003918918919	BP
GO:2000352	negative regulation of endothelial cell ...	4	2	0.06	0.00108	0.974003918918919	BP
GO:0061028	establishment of endothelial barrier	4	2	0.06	0.00108	0.974003918918919	BP
GO:0043408	regulation of MAPK cascade	98	6	1.35	0.00163	0.974003918918919	BP
GO:0010661	positive regulation of muscle cell apopt...	5	2	0.07	0.00178	0.974003918918919	BP
GO:1904396	regulation of neuromuscular junction dev...	40	4	0.55	0.00184	0.974003918918919	BP
GO:2000114	regulation of establishment of cell pola...	7	2	0.1	0.00367	0.974003918918919	BP
GO:0071695	anatomical structure maturation	83	5	1.14	0.00458	0.974003918918919	BP
GO:0034331	cell junction maintenance	8	2	0.11	0.00485	0.974003918918919	BP
GO:0097345	mitochondrial outer membrane permeabiliz...	8	2	0.11	0.00485	0.974003918918919	BP
GO:0048134	germ-line cyst formation	8	2	0.11	0.00485	0.974003918918919	BP
GO:0048872	homeostasis of number of cells	53	4	0.73	0.00521	0.974003918918919	BP
GO:1902533	positive regulation of intracellular sig...	123	6	1.7	0.00523	0.974003918918919	BP
GO:0045765	regulation of angiogenesis	27	3	0.37	0.00544	0.974003918918919	BP
GO:2000177	regulation of neural precursor cell prol...	28	3	0.39	0.00604	0.974003918918919	BP
GO:1901343	negative regulation of vasculature devel...	9	2	0.12	0.00619	0.974003918918919	BP
GO:0061462	protein localization to lysosome	9	2	0.12	0.00619	0.974003918918919	BP
GO:0010939	regulation of necrotic cell death	9	2	0.12	0.00619	0.974003918918919	BP
GO:1901888	regulation of cell junction assembly	56	4	0.77	0.00636	0.974003918918919	BP
GO:0031098	stress-activated protein kinase signalin...	58	4	0.8	0.00721	0.974003918918919	BP
GO:0031929	TOR signaling	30	3	0.41	0.00735	0.974003918918919	BP
GO:0008544	epidermis development	59	4	0.81	0.00766	0.974003918918919	BP
GO:0008333	endosome to lysosome transport	11	2	0.15	0.0093	0.974003918918919	BP
GO:0042067	establishment of ommatidial planar polar...	11	2	0.15	0.0093	0.974003918918919	BP
GO:0042246	tissue regeneration	13	2	0.18	0.01296	0.974003918918919	BP
GO:0001836	release of cytochrome c from mitochondri...	13	2	0.18	0.01296	0.974003918918919	BP
GO:1901550	regulation of endothelial cell developme...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0033600	negative regulation of mammary gland epi...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0110061	regulation of angiotensin-activated sign...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0030222	eosinophil differentiation	1	1	0.01	0.01378	0.974003918918919	BP
GO:1901536	negative regulation of DNA demethylation	1	1	0.01	0.01378	0.974003918918919	BP
GO:0007302	nurse cell nucleus anchoring	1	1	0.01	0.01378	0.974003918918919	BP
GO:0042403	thyroid hormone metabolic process	1	1	0.01	0.01378	0.974003918918919	BP
GO:1904393	regulation of skeletal muscle acetylchol...	1	1	0.01	0.01378	0.974003918918919	BP
GO:1904394	negative regulation of skeletal muscle a...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0070444	oligodendrocyte progenitor proliferation	1	1	0.01	0.01378	0.974003918918919	BP
GO:0070445	regulation of oligodendrocyte progenitor...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060211	regulation of nuclear-transcribed mRNA p...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060213	positive regulation of nuclear-transcrib...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0090557	establishment of endothelial intestinal ...	1	1	0.01	0.01378	0.974003918918919	BP
GO:1902001	fatty acid transmembrane transport	1	1	0.01	0.01378	0.974003918918919	BP
GO:2000286	receptor internalization involved in can...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060940	epithelial to mesenchymal transition inv...	1	1	0.01	0.01378	0.974003918918919	BP
GO:1903140	regulation of establishment of endotheli...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0032065	maintenance of protein location in cell ...	1	1	0.01	0.01378	0.974003918918919	BP
GO:2000977	regulation of forebrain neuron different...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060935	cardiac fibroblast cell differentiation	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060936	cardiac fibroblast cell development	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060938	epicardium-derived cardiac fibroblast ce...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0060939	epicardium-derived cardiac fibroblast ce...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0032754	positive regulation of interleukin-5 pro...	1	1	0.01	0.01378	0.974003918918919	BP
GO:1901627	negative regulation of postsynaptic memb...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0035191	nuclear axial expansion	1	1	0.01	0.01378	0.974003918918919	BP
GO:0032723	positive regulation of connective tissue...	1	1	0.01	0.01378	0.974003918918919	BP
GO:1901648	regulation of actomyosin contractile rin...	1	1	0.01	0.01378	0.974003918918919	BP
GO:0032736	positive regulation of interleukin-13 pr...	1	1	0.01	0.01378	0.974003918918919	BP
