GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0042473	outer ear morphogenesis	3	2	0.03	0.00031	1	BP
GO:0010715	regulation of extracellular matrix disas...	4	2	0.04	0.00062	1	BP
GO:0071600	otic vesicle morphogenesis	5	2	0.05	0.00102	1	BP
GO:0042474	middle ear morphogenesis	6	2	0.06	0.00152	1	BP
GO:0009996	negative regulation of cell fate specifi...	6	2	0.06	0.00152	1	BP
GO:0007280	pole cell migration	6	2	0.06	0.00152	1	BP
GO:0060571	morphogenesis of an epithelial fold	7	2	0.07	0.00212	1	BP
GO:0071697	ectodermal placode morphogenesis	7	2	0.07	0.00212	1	BP
GO:0010712	regulation of collagen metabolic process	7	2	0.07	0.00212	1	BP
GO:0007435	salivary gland morphogenesis	26	3	0.27	0.00218	1	BP
GO:0003156	regulation of animal organ formation	9	2	0.09	0.00358	1	BP
GO:2001239	regulation of extrinsic apoptotic signal...	9	2	0.09	0.00358	1	BP
GO:0007501	mesodermal cell fate specification	9	2	0.09	0.00358	1	BP
GO:1903532	positive regulation of secretion by cell	64	4	0.67	0.00367	1	BP
GO:0045739	positive regulation of DNA repair	11	2	0.12	0.00541	1	BP
GO:0051650	establishment of vesicle localization	73	4	0.76	0.00591	1	BP
GO:0007455	eye-antennal disc morphogenesis	12	2	0.13	0.00645	1	BP
GO:0042060	wound healing	77	4	0.81	0.00716	1	BP
GO:0010470	regulation of gastrulation	13	2	0.14	0.00757	1	BP
GO:0007525	somatic muscle development	13	2	0.14	0.00757	1	BP
GO:0006766	vitamin metabolic process	15	2	0.16	0.01007	1	BP
GO:0010172	embryonic body morphogenesis	15	2	0.16	0.01007	1	BP
GO:0110011	regulation of basement membrane organiza...	1	1	0.01	0.01047	1	BP
GO:0009304	tRNA transcription	1	1	0.01	0.01047	1	BP
GO:0060912	cardiac cell fate specification	1	1	0.01	0.01047	1	BP
GO:0002475	antigen processing and presentation via ...	1	1	0.01	0.01047	1	BP
GO:0032074	negative regulation of nuclease activity	1	1	0.01	0.01047	1	BP
GO:1990983	tRNA demethylation	1	1	0.01	0.01047	1	BP
GO:1903297	regulation of hypoxia-induced intrinsic ...	1	1	0.01	0.01047	1	BP
GO:1903298	negative regulation of hypoxia-induced i...	1	1	0.01	0.01047	1	BP
GO:0001744	insect visual primordium formation	1	1	0.01	0.01047	1	BP
GO:0001748	insect visual primordium development	1	1	0.01	0.01047	1	BP
GO:0060700	regulation of ribonuclease activity	1	1	0.01	0.01047	1	BP
GO:0060701	negative regulation of ribonuclease acti...	1	1	0.01	0.01047	1	BP
GO:0060702	negative regulation of endoribonuclease ...	1	1	0.01	0.01047	1	BP
GO:0042245	RNA repair	1	1	0.01	0.01047	1	BP
GO:0002101	tRNA wobble cytosine modification	1	1	0.01	0.01047	1	BP
GO:0070285	pigment cell development	1	1	0.01	0.01047	1	BP
GO:1903055	positive regulation of extracellular mat...	1	1	0.01	0.01047	1	BP
GO:0001865	NK T cell differentiation	1	1	0.01	0.01047	1	BP
GO:0051136	regulation of NK T cell differentiation	1	1	0.01	0.01047	1	BP
