GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0046928	regulation of neurotransmitter secretion	7	3	0.31	0.0023	1	BP
GO:0006520	cellular amino acid metabolic process	10	3	0.44	0.0072	1	BP
GO:0050678	regulation of epithelial cell proliferat...	12	3	0.53	0.0124	1	BP
GO:0002446	neutrophil mediated immunity	13	3	0.57	0.0157	1	BP
GO:0002283	neutrophil activation involved in immune...	13	3	0.57	0.0157	1	BP
GO:0043312	neutrophil degranulation	13	3	0.57	0.0157	1	BP
GO:0042119	neutrophil activation	13	3	0.57	0.0157	1	BP
GO:0036230	granulocyte activation	13	3	0.57	0.0157	1	BP
GO:0032233	positive regulation of actin filament bu...	5	2	0.22	0.017	1	BP
GO:0009063	cellular amino acid catabolic process	5	2	0.22	0.017	1	BP
GO:0045321	leukocyte activation	38	5	1.68	0.0187	1	BP
GO:0006887	exocytosis	26	4	1.15	0.0216	1	BP
GO:0043299	leukocyte degranulation	15	3	0.66	0.0236	1	BP
GO:0002444	myeloid leukocyte mediated immunity	15	3	0.66	0.0236	1	BP
GO:0002275	myeloid cell activation involved in immu...	15	3	0.66	0.0236	1	BP
GO:0009064	glutamine family amino acid metabolic pr...	6	2	0.26	0.0249	1	BP
GO:0050673	epithelial cell proliferation	16	3	0.71	0.0282	1	BP
GO:0001775	cell activation	42	5	1.85	0.0283	1	BP
GO:0002274	myeloid leukocyte activation	17	3	0.75	0.0333	1	BP
GO:0016054	organic acid catabolic process	7	2	0.31	0.0339	1	BP
GO:0051251	positive regulation of lymphocyte activa...	7	2	0.31	0.0339	1	BP
GO:0045444	fat cell differentiation	7	2	0.31	0.0339	1	BP
GO:0046395	carboxylic acid catabolic process	7	2	0.31	0.0339	1	BP
GO:0006790	sulfur compound metabolic process	8	2	0.35	0.044	1	BP
GO:0002696	positive regulation of leukocyte activat...	8	2	0.35	0.044	1	BP
GO:0050867	positive regulation of cell activation	8	2	0.35	0.044	1	BP
GO:0042551	neuron maturation	8	2	0.35	0.044	1	BP
GO:0006970	response to osmotic stress	8	2	0.35	0.044	1	BP
GO:0016322	neuron remodeling	8	2	0.35	0.044	1	BP
GO:0050680	negative regulation of epithelial cell p...	8	2	0.35	0.044	1	BP
GO:2001185	regulation of CD8-positive, alpha-beta T...	1	1	0.04	0.0441	1	BP
GO:0016545	male courtship behavior, veined wing vib...	1	1	0.04	0.0441	1	BP
GO:2001187	positive regulation of CD8-positive, alp...	1	1	0.04	0.0441	1	BP
GO:0009081	branched-chain amino acid metabolic proc...	1	1	0.04	0.0441	1	BP
GO:0009083	branched-chain amino acid catabolic proc...	1	1	0.04	0.0441	1	BP
GO:0009084	glutamine family amino acid biosynthetic...	1	1	0.04	0.0441	1	BP
GO:0030035	microspike assembly	1	1	0.04	0.0441	1	BP
GO:0045217	cell-cell junction maintenance	1	1	0.04	0.0441	1	BP
GO:0016057	regulation of membrane potential in phot...	1	1	0.04	0.0441	1	BP
GO:0046504	glycerol ether biosynthetic process	1	1	0.04	0.0441	1	BP
GO:0036491	regulation of translation initiation in ...	1	1	0.04	0.0441	1	BP
GO:0036492	eiF2alpha phosphorylation in response to...	1	1	0.04	0.0441	1	BP
GO:0036493	positive regulation of translation in re...	1	1	0.04	0.0441	1	BP
GO:0036494	positive regulation of translation initi...	1	1	0.04	0.0441	1	BP
GO:0051055	negative regulation of lipid biosyntheti...	1	1	0.04	0.0441	1	BP
GO:0070633	transepithelial transport	1	1	0.04	0.0441	1	BP
GO:0010891	negative regulation of sequestering of t...	1	1	0.04	0.0441	1	BP
GO:0006751	glutathione catabolic process	1	1	0.04	0.0441	1	BP
GO:0034334	adherens junction maintenance	1	1	0.04	0.0441	1	BP
GO:0046635	positive regulation of alpha-beta T cell...	1	1	0.04	0.0441	1	BP
GO:0046638	positive regulation of alpha-beta T cell...	1	1	0.04	0.0441	1	BP
GO:2001245	regulation of phosphatidylcholine biosyn...	1	1	0.04	0.0441	1	BP
GO:2001246	negative regulation of phosphatidylcholi...	1	1	0.04	0.0441	1	BP
GO:0010998	regulation of translational initiation b...	1	1	0.04	0.0441	1	BP
GO:0010889	regulation of sequestering of triglyceri...	1	1	0.04	0.0441	1	BP
GO:0030201	heparan sulfate proteoglycan metabolic p...	1	1	0.04	0.0441	1	BP
GO:0010955	negative regulation of protein processin...	1	1	0.04	0.0441	1	BP
GO:0050855	regulation of B cell receptor signaling ...	1	1	0.04	0.0441	1	BP
GO:0090204	protein localization to nuclear pore	1	1	0.04	0.0441	1	BP
GO:0031573	mitotic intra-S DNA damage checkpoint si...	1	1	0.04	0.0441	1	BP
GO:0110021	cardiac muscle myoblast proliferation	1	1	0.04	0.0441	1	BP
GO:0110022	regulation of cardiac muscle myoblast pr...	1	1	0.04	0.0441	1	BP
GO:0110024	positive regulation of cardiac muscle my...	1	1	0.04	0.0441	1	BP
GO:0035206	regulation of hemocyte proliferation	1	1	0.04	0.0441	1	BP
