GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0010460	positive regulation of heart rate	7	3	0.14	0.00024	1	BP
GO:0002118	aggressive behavior	9	3	0.18	0.00056	1	BP
GO:0015693	magnesium ion transport	3	2	0.06	0.00113	1	BP
GO:0042713	sperm ejaculation	4	2	0.08	0.00224	1	BP
GO:0035815	positive regulation of renal sodium excr...	4	2	0.08	0.00224	1	BP
GO:0009414	response to water deprivation	4	2	0.08	0.00224	1	BP
GO:0060986	endocrine hormone secretion	7	2	0.14	0.00756	1	BP
GO:0044060	regulation of endocrine process	7	2	0.14	0.00756	1	BP
GO:0001990	regulation of systemic arterial blood pr...	7	2	0.14	0.00756	1	BP
GO:0043058	regulation of backward locomotion	7	2	0.14	0.00756	1	BP
GO:0051954	positive regulation of amine transport	7	2	0.14	0.00756	1	BP
GO:0006836	neurotransmitter transport	68	5	1.35	0.00975	1	BP
GO:0005996	monosaccharide metabolic process	45	4	0.89	0.01091	1	BP
GO:0045907	positive regulation of vasoconstriction	9	2	0.18	0.01263	1	BP
GO:0051480	regulation of cytosolic calcium ion conc...	48	4	0.95	0.01365	1	BP
GO:0045777	positive regulation of blood pressure	10	2	0.2	0.0156	1	BP
GO:0031644	regulation of nervous system process	28	3	0.56	0.01673	1	BP
GO:0042732	D-xylose metabolic process	1	1	0.02	0.01985	1	BP
GO:0051596	methylglyoxal catabolic process	1	1	0.02	0.01985	1	BP
GO:0051458	corticotropin secretion	1	1	0.02	0.01985	1	BP
GO:0051459	regulation of corticotropin secretion	1	1	0.02	0.01985	1	BP
GO:1901897	regulation of relaxation of cardiac musc...	1	1	0.02	0.01985	1	BP
GO:1901899	positive regulation of relaxation of car...	1	1	0.02	0.01985	1	BP
GO:1901336	lactone biosynthetic process	1	1	0.02	0.01985	1	BP
GO:1901844	regulation of cell communication by elec...	1	1	0.02	0.01985	1	BP
GO:0042843	D-xylose catabolic process	1	1	0.02	0.01985	1	BP
GO:0007621	negative regulation of female receptivit...	1	1	0.02	0.01985	1	BP
GO:0002125	maternal aggressive behavior	1	1	0.02	0.01985	1	BP
GO:0042595	behavioral response to starvation	1	1	0.02	0.01985	1	BP
GO:0061727	methylglyoxal catabolic process to lacta...	1	1	0.02	0.01985	1	BP
GO:0110021	cardiac muscle myoblast proliferation	1	1	0.02	0.01985	1	BP
GO:0110022	regulation of cardiac muscle myoblast pr...	1	1	0.02	0.01985	1	BP
GO:0110024	positive regulation of cardiac muscle my...	1	1	0.02	0.01985	1	BP
GO:0071421	manganese ion transmembrane transport	1	1	0.02	0.01985	1	BP
GO:0060114	vestibular receptor cell differentiation	1	1	0.02	0.01985	1	BP
GO:0060118	vestibular receptor cell development	1	1	0.02	0.01985	1	BP
GO:1901077	regulation of relaxation of muscle	1	1	0.02	0.01985	1	BP
GO:1901079	positive regulation of relaxation of mus...	1	1	0.02	0.01985	1	BP
GO:0006824	cobalt ion transport	1	1	0.02	0.01985	1	BP
GO:0006828	manganese ion transport	1	1	0.02	0.01985	1	BP
GO:0001992	regulation of systemic arterial blood pr...	1	1	0.02	0.01985	1	BP
GO:0042182	ketone catabolic process	1	1	0.02	0.01985	1	BP
GO:2000622	regulation of nuclear-transcribed mRNA c...	1	1	0.02	0.01985	1	BP
GO:2000623	negative regulation of nuclear-transcrib...	1	1	0.02	0.01985	1	BP
GO:0032915	positive regulation of transforming grow...	1	1	0.02	0.01985	1	BP
GO:0019243	methylglyoxal catabolic process to D-lac...	1	1	0.02	0.01985	1	BP
GO:0006423	cysteinyl-tRNA aminoacylation	1	1	0.02	0.01985	1	BP
GO:0042631	cellular response to water deprivation	1	1	0.02	0.01985	1	BP
GO:0046380	N-acetylneuraminate biosynthetic process	1	1	0.02	0.01985	1	BP
GO:0015675	nickel cation transport	1	1	0.02	0.01985	1	BP
GO:0009438	methylglyoxal metabolic process	1	1	0.02	0.01985	1	BP
GO:0019323	pentose catabolic process	1	1	0.02	0.01985	1	BP
GO:0035444	nickel cation transmembrane transport	1	1	0.02	0.01985	1	BP
GO:0019853	L-ascorbic acid biosynthetic process	1	1	0.02	0.01985	1	BP
GO:0035637	multicellular organismal signaling	30	3	0.6	0.02018	1	BP
GO:0006937	regulation of muscle contraction	30	3	0.6	0.02018	1	BP
GO:0044282	small molecule catabolic process	55	4	1.09	0.02168	1	BP
GO:0051481	negative regulation of cytosolic calcium...	14	2	0.28	0.03001	1	BP
GO:0007204	positive regulation of cytosolic calcium...	36	3	0.71	0.03272	1	BP
GO:0008306	associative learning	37	3	0.73	0.03513	1	BP
GO:0006874	cellular calcium ion homeostasis	65	4	1.29	0.03739	1	BP
GO:0042711	maternal behavior	2	1	0.04	0.03931	1	BP
GO:0031392	regulation of prostaglandin biosynthetic...	2	1	0.04	0.03931	1	BP
GO:0031394	positive regulation of prostaglandin bio...	2	1	0.04	0.03931	1	BP
GO:0009110	vitamin biosynthetic process	2	1	0.04	0.03931	1	BP
GO:0032275	luteinizing hormone secretion	2	1	0.04	0.03931	1	BP
GO:0032277	negative regulation of gonadotropin secr...	2	1	0.04	0.03931	1	BP
GO:0042364	water-soluble vitamin biosynthetic proce...	2	1	0.04	0.03931	1	BP
GO:0035036	sperm-egg recognition	2	1	0.04	0.03931	1	BP
GO:0086064	cell communication by electrical couplin...	2	1	0.04	0.03931	1	BP
GO:1901334	lactone metabolic process	2	1	0.04	0.03931	1	BP
GO:0014057	positive regulation of acetylcholine sec...	2	1	0.04	0.03931	1	BP
GO:2001280	positive regulation of unsaturated fatty...	2	1	0.04	0.03931	1	BP
GO:0035106	operant conditioning	2	1	0.04	0.03931	1	BP
GO:2001279	regulation of unsaturated fatty acid bio...	2	1	0.04	0.03931	1	BP
GO:0070291	N-acylethanolamine metabolic process	2	1	0.04	0.03931	1	BP
GO:0007625	grooming behavior	2	1	0.04	0.03931	1	BP
GO:0002035	brain renin-angiotensin system	2	1	0.04	0.03931	1	BP
GO:0033684	regulation of luteinizing hormone secret...	2	1	0.04	0.03931	1	BP
GO:0033685	negative regulation of luteinizing hormo...	2	1	0.04	0.03931	1	BP
GO:0071462	cellular response to water stimulus	2	1	0.04	0.03931	1	BP
GO:0031573	mitotic intra-S DNA damage checkpoint si...	2	1	0.04	0.03931	1	BP
GO:0045819	positive regulation of glycogen cataboli...	2	1	0.04	0.03931	1	BP
GO:0017000	antibiotic biosynthetic process	2	1	0.04	0.03931	1	BP
GO:1902950	regulation of dendritic spine maintenanc...	2	1	0.04	0.03931	1	BP
GO:1902816	regulation of protein localization to mi...	2	1	0.04	0.03931	1	BP
GO:1902817	negative regulation of protein localizat...	2	1	0.04	0.03931	1	BP
GO:0003051	angiotensin-mediated drinking behavior	2	1	0.04	0.03931	1	BP
GO:0032847	regulation of cellular pH reduction	2	1	0.04	0.03931	1	BP
GO:0032849	positive regulation of cellular pH reduc...	2	1	0.04	0.03931	1	BP
GO:0010193	response to ozone	2	1	0.04	0.03931	1	BP
GO:0032906	transforming growth factor beta2 product...	2	1	0.04	0.03931	1	BP
GO:0032909	regulation of transforming growth factor...	2	1	0.04	0.03931	1	BP
GO:1902473	regulation of protein localization to sy...	2	1	0.04	0.03931	1	BP
GO:0070863	positive regulation of protein exit from...	2	1	0.04	0.03931	1	BP
GO:0071636	positive regulation of transforming grow...	2	1	0.04	0.03931	1	BP
GO:0010649	regulation of cell communication by elec...	2	1	0.04	0.03931	1	BP
GO:0006054	N-acetylneuraminate metabolic process	2	1	0.04	0.03931	1	BP
GO:0046349	amino sugar biosynthetic process	2	1	0.04	0.03931	1	BP
GO:0070911	global genome nucleotide-excision repair	2	1	0.04	0.03931	1	BP
GO:0007339	binding of sperm to zona pellucida	2	1	0.04	0.03931	1	BP
GO:0043084	penile erection	2	1	0.04	0.03931	1	BP
GO:1903334	positive regulation of protein folding	2	1	0.04	0.03931	1	BP
GO:2000766	negative regulation of cytoplasmic trans...	2	1	0.04	0.03931	1	BP
GO:0060746	parental behavior	2	1	0.04	0.03931	1	BP
GO:0070474	positive regulation of uterine smooth mu...	2	1	0.04	0.03931	1	BP
GO:1903830	magnesium ion transmembrane transport	2	1	0.04	0.03931	1	BP
GO:0019321	pentose metabolic process	2	1	0.04	0.03931	1	BP
GO:0051970	negative regulation of transmission of n...	2	1	0.04	0.03931	1	BP
GO:0019852	L-ascorbic acid metabolic process	2	1	0.04	0.03931	1	BP
GO:0042756	drinking behavior	2	1	0.04	0.03931	1	BP
GO:0035434	copper ion transmembrane transport	2	1	0.04	0.03931	1	BP
GO:0055074	calcium ion homeostasis	67	4	1.33	0.04116	1	BP
GO:0044281	small molecule metabolic process	282	10	5.6	0.04193	1	BP
GO:0072503	cellular divalent inorganic cation homeo...	68	4	1.35	0.04312	1	BP
GO:0006576	cellular biogenic amine metabolic proces...	19	2	0.38	0.053	1	BP
GO:0090257	regulation of muscle system process	44	3	0.87	0.05449	1	BP
GO:0072507	divalent inorganic cation homeostasis	74	4	1.47	0.05601	1	BP
GO:0042048	olfactory behavior	20	2	0.4	0.05817	1	BP
GO:0061337	cardiac conduction	20	2	0.4	0.05817	1	BP
GO:0048265	response to pain	3	1	0.06	0.05839	1	BP
GO:0048266	behavioral response to pain	3	1	0.06	0.05839	1	BP
GO:0032274	gonadotropin secretion	3	1	0.06	0.05839	1	BP
GO:0032276	regulation of gonadotropin secretion	3	1	0.06	0.05839	1	BP
GO:1905666	regulation of protein localization to en...	3	1	0.06	0.05839	1	BP
GO:1905668	positive regulation of protein localizat...	3	1	0.06	0.05839	1	BP
GO:1901317	regulation of flagellated sperm motility	3	1	0.06	0.05839	1	BP
GO:0046185	aldehyde catabolic process	3	1	0.06	0.05839	1	BP
GO:0032230	positive regulation of synaptic transmis...	3	1	0.06	0.05839	1	BP
GO:0003353	positive regulation of cilium movement	3	1	0.06	0.05839	1	BP
GO:0014055	acetylcholine secretion, neurotransmissi...	3	1	0.06	0.05839	1	BP
GO:0014056	regulation of acetylcholine secretion, n...	3	1	0.06	0.05839	1	BP
GO:0060456	positive regulation of digestive system ...	3	1	0.06	0.05839	1	BP
GO:0045723	positive regulation of fatty acid biosyn...	3	1	0.06	0.05839	1	BP
GO:0002016	regulation of blood volume by renin-angi...	3	1	0.06	0.05839	1	BP
GO:0014049	positive regulation of glutamate secreti...	3	1	0.06	0.05839	1	BP
GO:0060083	smooth muscle contraction involved in mi...	3	1	0.06	0.05839	1	BP
GO:0060073	micturition	3	1	0.06	0.05839	1	BP
GO:0042439	ethanolamine-containing compound metabol...	3	1	0.06	0.05839	1	BP
GO:0060180	female mating behavior	3	1	0.06	0.05839	1	BP
GO:2000155	positive regulation of cilium-dependent ...	3	1	0.06	0.05839	1	BP
