annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
AA_permease_2	3	6	221	2647	0.00949963194657559	0.237736356476472
AA_permease_C	3	4	221	2647	0.00215688695449909	0.237736356476472
Ank_2	4	18	221	2647	0.0570346390038841	0.237736356476472
ATP_Ca_trans_C	1	1	221	2647	0.083490744238761	0.237736356476472
Band_7	2	3	221	2647	0.0196758275647741	0.237736356476472
Beta_helix	1	1	221	2647	0.083490744238761	0.237736356476472
BK_channel_a	1	1	221	2647	0.083490744238761	0.237736356476472
CaM_bdg_C0	1	1	221	2647	0.083490744238761	0.237736356476472
CDK5_activator	1	1	221	2647	0.083490744238761	0.237736356476472
CEBP_ZZ	1	1	221	2647	0.083490744238761	0.237736356476472
CG-1	1	1	221	2647	0.083490744238761	0.237736356476472
Cor1	1	1	221	2647	0.083490744238761	0.237736356476472
CSRNP_N	1	1	221	2647	0.083490744238761	0.237736356476472
Cu2_monoox_C	1	1	221	2647	0.083490744238761	0.237736356476472
Cu2_monooxygen	1	1	221	2647	0.083490744238761	0.237736356476472
Cytochrom_B561	1	1	221	2647	0.083490744238761	0.237736356476472
DBB	1	1	221	2647	0.083490744238761	0.237736356476472
DCX	1	1	221	2647	0.083490744238761	0.237736356476472
DHHC	1	1	221	2647	0.083490744238761	0.237736356476472
DUF3583	1	1	221	2647	0.083490744238761	0.237736356476472
Dynactin	1	1	221	2647	0.083490744238761	0.237736356476472
EF-hand_5	2	6	221	2647	0.083176965149904	0.237736356476472
ELM2	2	2	221	2647	0.00694178523527112	0.237736356476472
ETS_PEA3_N	1	1	221	2647	0.083490744238761	0.237736356476472
Glyco_hydro_65m	1	1	221	2647	0.083490744238761	0.237736356476472
Hist_deacetyl	1	1	221	2647	0.083490744238761	0.237736356476472
HJURP_C	1	1	221	2647	0.083490744238761	0.237736356476472
HLH	5	13	221	2647	0.00285825033335475	0.237736356476472
HSL_N	1	1	221	2647	0.083490744238761	0.237736356476472
HTH_Tnp_Tc5	1	1	221	2647	0.083490744238761	0.237736356476472
Hydrolase_3	1	1	221	2647	0.083490744238761	0.237736356476472
Integrin_alpha2	1	1	221	2647	0.083490744238761	0.237736356476472
Mab-21	1	1	221	2647	0.083490744238761	0.237736356476472
NosD	1	1	221	2647	0.083490744238761	0.237736356476472
PPP4R2	1	1	221	2647	0.083490744238761	0.237736356476472
PurA	1	1	221	2647	0.083490744238761	0.237736356476472
RBD-FIP	1	1	221	2647	0.083490744238761	0.237736356476472
RRM_7	1	1	221	2647	0.083490744238761	0.237736356476472
Sec7	1	1	221	2647	0.083490744238761	0.237736356476472
Sec7_N	1	1	221	2647	0.083490744238761	0.237736356476472
Sel1	1	1	221	2647	0.083490744238761	0.237736356476472
SRF-TF	1	1	221	2647	0.083490744238761	0.237736356476472
SSDP	1	1	221	2647	0.083490744238761	0.237736356476472
START	1	1	221	2647	0.083490744238761	0.237736356476472
Synapsin	1	1	221	2647	0.083490744238761	0.237736356476472
Synapsin_C	1	1	221	2647	0.083490744238761	0.237736356476472
Syndecan	1	1	221	2647	0.083490744238761	0.237736356476472
TIG	1	1	221	2647	0.083490744238761	0.237736356476472
Tropomyosin	1	1	221	2647	0.083490744238761	0.237736356476472
UBA	1	1	221	2647	0.083490744238761	0.237736356476472
VCBS	1	1	221	2647	0.083490744238761	0.237736356476472
VIT_2	1	1	221	2647	0.083490744238761	0.237736356476472
VWA_3	1	1	221	2647	0.083490744238761	0.237736356476472
WAP	1	1	221	2647	0.083490744238761	0.237736356476472
Xlink	1	1	221	2647	0.083490744238761	0.237736356476472
YhhN	1	1	221	2647	0.083490744238761	0.237736356476472
zf-C2H2_6	1	1	221	2647	0.083490744238761	0.237736356476472
zf-C2HC	1	1	221	2647	0.083490744238761	0.237736356476472
zf-U11-48K	1	1	221	2647	0.083490744238761	0.237736356476472
Abhydrolase_3	1	2	221	2647	0.16003970324225	0.277182166440186
adh_short	1	2	221	2647	0.16003970324225	0.277182166440186
Aldo_ket_red	1	2	221	2647	0.16003970324225	0.277182166440186
Ank	1	2	221	2647	0.16003970324225	0.277182166440186
Anoct_dimer	1	2	221	2647	0.16003970324225	0.277182166440186
BAH	1	2	221	2647	0.16003970324225	0.277182166440186
BAR	1	2	221	2647	0.16003970324225	0.277182166440186
CAP	2	7	221	2647	0.110204076246983	0.277182166440186
CAP_GLY	1	2	221	2647	0.16003970324225	0.277182166440186
Cation_ATPase_C	1	2	221	2647	0.16003970324225	0.277182166440186
Cation_ATPase_N	1	2	221	2647	0.16003970324225	0.277182166440186
CBX7_C	1	2	221	2647	0.16003970324225	0.277182166440186
Chromo	1	2	221	2647	0.16003970324225	0.277182166440186
Cpn60_TCP1	1	2	221	2647	0.16003970324225	0.277182166440186
DDT	1	2	221	2647	0.16003970324225	0.277182166440186
DM	1	2	221	2647	0.16003970324225	0.277182166440186
DMA	1	2	221	2647	0.16003970324225	0.277182166440186
Ephrin	1	2	221	2647	0.16003970324225	0.277182166440186
Ets	1	2	221	2647	0.16003970324225	0.277182166440186
F-box	1	2	221	2647	0.16003970324225	0.277182166440186
FA_desaturase	1	2	221	2647	0.16003970324225	0.277182166440186
G-gamma	1	2	221	2647	0.16003970324225	0.277182166440186
GATA	1	2	221	2647	0.16003970324225	0.277182166440186
Glyco_tran_10_N	1	2	221	2647	0.16003970324225	0.277182166440186
Glyco_transf_10	1	2	221	2647	0.16003970324225	0.277182166440186
Ig_2	1	2	221	2647	0.16003970324225	0.277182166440186
KA1	1	2	221	2647	0.16003970324225	0.277182166440186
NHL	2	8	221	2647	0.139120013858232	0.277182166440186
PHD	2	7	221	2647	0.110204076246983	0.277182166440186
PID_2	1	2	221	2647	0.16003970324225	0.277182166440186
Pkinase_C	1	2	221	2647	0.16003970324225	0.277182166440186
PQQ_2	1	2	221	2647	0.16003970324225	0.277182166440186
SMP_LBD	1	2	221	2647	0.16003970324225	0.277182166440186
Thyroglobulin_1	1	2	221	2647	0.16003970324225	0.277182166440186
WHIM1	1	2	221	2647	0.16003970324225	0.277182166440186
WSD	1	2	221	2647	0.16003970324225	0.277182166440186
zf-C2H2	4	24	221	2647	0.134532903004244	0.277182166440186
zf-CCHC	1	2	221	2647	0.16003970324225	0.277182166440186
PDZ	3	17	221	2647	0.164157695590261	0.281413192440448
FERM_M	2	9	221	2647	0.169424379806036	0.284632958074141
Kinesin	2	9	221	2647	0.169424379806036	0.284632958074141
BTB_2	4	27	221	2647	0.183740826864765	0.305628306072084
AC_N	1	3	221	2647	0.230221641080989	0.345719442050672
Ank_5	1	3	221	2647	0.230221641080989	0.345719442050672
Anoctamin	1	3	221	2647	0.230221641080989	0.345719442050672
Ca_chan_IQ	1	3	221	2647	0.230221641080989	0.345719442050672
cNMP_binding	2	11	221	2647	0.232537481855511	0.345719442050672
Cupin_8	1	3	221	2647	0.230221641080989	0.345719442050672
DUF1736	1	3	221	2647	0.230221641080989	0.345719442050672
GPHH	1	3	221	2647	0.230221641080989	0.345719442050672
RIIa	1	3	221	2647	0.230221641080989	0.345719442050672
RRM_1	2	11	221	2647	0.232537481855511	0.345719442050672
RUN	1	3	221	2647	0.230221641080989	0.345719442050672
TPR_11	1	3	221	2647	0.230221641080989	0.345719442050672
Abhydrolase_1	1	4	221	2647	0.294563932049635	0.386615160815146
