annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
A_deaminase	1	1	675	12932	0.0521961026909998	0.149589947935659
AcetylCoA_hyd_C	1	1	675	12932	0.0521961026909998	0.149589947935659
AcetylCoA_hydro	1	1	675	12932	0.0521961026909998	0.149589947935659
AF-4	1	1	675	12932	0.0521961026909998	0.149589947935659
AF-4_C	1	1	675	12932	0.0521961026909998	0.149589947935659
AIF_C	1	1	675	12932	0.0521961026909998	0.149589947935659
ANAPC2	1	1	675	12932	0.0521961026909998	0.149589947935659
ANAPC4_WD40	5	19	675	12932	0.00240660569997027	0.149589947935659
APOBEC_N	1	1	675	12932	0.0521961026909998	0.149589947935659
Apyrase	1	1	675	12932	0.0521961026909998	0.149589947935659
Archease	1	1	675	12932	0.0521961026909998	0.149589947935659
ATP-synt_ab	2	4	675	12932	0.0152128744092387	0.149589947935659
ATP-synt_ab_N	2	4	675	12932	0.0152128744092387	0.149589947935659
ATP-synt_ab_Xtn	1	1	675	12932	0.0521961026909998	0.149589947935659
B3_4	1	1	675	12932	0.0521961026909998	0.149589947935659
B5	1	1	675	12932	0.0521961026909998	0.149589947935659
Bap31	1	1	675	12932	0.0521961026909998	0.149589947935659
Bap31_Bap29_C	1	1	675	12932	0.0521961026909998	0.149589947935659
BAR_3	2	3	675	12932	0.00787860946410029	0.149589947935659
BRO1	2	5	675	12932	0.024482822522138	0.149589947935659
BtpA	1	1	675	12932	0.0521961026909998	0.149589947935659
CCCAP	1	1	675	12932	0.0521961026909998	0.149589947935659
CDC73_C	1	1	675	12932	0.0521961026909998	0.149589947935659
CDC73_N	1	1	675	12932	0.0521961026909998	0.149589947935659
CEBP_ZZ	1	1	675	12932	0.0521961026909998	0.149589947935659
CLU	1	1	675	12932	0.0521961026909998	0.149589947935659
CLU_N	1	1	675	12932	0.0521961026909998	0.149589947935659
COX6C	2	2	675	12932	0.00272060731681489	0.149589947935659
CRAL_TRIO	2	7	675	12932	0.0479617302714721	0.149589947935659
Cupin_5	1	1	675	12932	0.0521961026909998	0.149589947935659
Cyclin_C	2	6	675	12932	0.0354669975216998	0.149589947935659
Cyclin_N	3	14	675	12932	0.033485858424706	0.149589947935659
DBP10CT	1	1	675	12932	0.0521961026909998	0.149589947935659
DNA_gyraseB	1	1	675	12932	0.0521961026909998	0.149589947935659
DNA_pol_D_N	1	1	675	12932	0.0521961026909998	0.149589947935659
DNA_repr_REX1B	1	1	675	12932	0.0521961026909998	0.149589947935659
DNA_topoisoIV	1	1	675	12932	0.0521961026909998	0.149589947935659
Dna2	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF1325	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF2340	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF2961	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF3350	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF3715	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF4419	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF4566	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF4605	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF4707	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF758	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF773	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF908	1	1	675	12932	0.0521961026909998	0.149589947935659
DUF913	1	1	675	12932	0.0521961026909998	0.149589947935659
EIF_2_alpha	1	1	675	12932	0.0521961026909998	0.149589947935659
eIF-5a	1	1	675	12932	0.0521961026909998	0.149589947935659
eIF3_p135	1	1	675	12932	0.0521961026909998	0.149589947935659
ELP6	1	1	675	12932	0.0521961026909998	0.149589947935659
ETS_PEA3_N	1	1	675	12932	0.0521961026909998	0.149589947935659
Exo84_C	1	1	675	12932	0.0521961026909998	0.149589947935659
F-box	3	10	675	12932	0.0128936734879146	0.149589947935659
F-box-like	5	34	675	12932	0.0302750170010366	0.149589947935659
FAM199X	1	1	675	12932	0.0521961026909998	0.149589947935659
Fcf2	1	1	675	12932	0.0521961026909998	0.149589947935659
Fe-ADH	1	1	675	12932	0.0521961026909998	0.149589947935659
Fer2_3	1	1	675	12932	0.0521961026909998	0.149589947935659
Fer4_17	1	1	675	12932	0.0521961026909998	0.149589947935659
Fer4_20	1	1	675	12932	0.0521961026909998	0.149589947935659
Fic	1	1	675	12932	0.0521961026909998	0.149589947935659
FIST	1	1	675	12932	0.0521961026909998	0.149589947935659
FIST_C	1	1	675	12932	0.0521961026909998	0.149589947935659
Formyl_trans_C	1	1	675	12932	0.0521961026909998	0.149589947935659
GATase_2	1	1	675	12932	0.0521961026909998	0.149589947935659
GLTSCR1	1	1	675	12932	0.0521961026909998	0.149589947935659
Glu_syn_central	1	1	675	12932	0.0521961026909998	0.149589947935659
Glu_synthase	1	1	675	12932	0.0521961026909998	0.149589947935659
Glyco_transf_49	1	1	675	12932	0.0521961026909998	0.149589947935659
Gp_dh_C	1	1	675	12932	0.0521961026909998	0.149589947935659
Gp_dh_N	1	1	675	12932	0.0521961026909998	0.149589947935659
GTP-bdg_M	1	1	675	12932	0.0521961026909998	0.149589947935659
GTP-bdg_N	1	1	675	12932	0.0521961026909998	0.149589947935659
GWT1	1	1	675	12932	0.0521961026909998	0.149589947935659
GXGXG	1	1	675	12932	0.0521961026909998	0.149589947935659
HATPase_c	2	5	675	12932	0.024482822522138	0.149589947935659
HD_3	1	1	675	12932	0.0521961026909998	0.149589947935659
Herpes_UL52	1	1	675	12932	0.0521961026909998	0.149589947935659
HNH_3	1	1	675	12932	0.0521961026909998	0.149589947935659
ILVD_EDD	1	1	675	12932	0.0521961026909998	0.149589947935659
IMPDH	1	1	675	12932	0.0521961026909998	0.149589947935659
Indigoidine_A	1	1	675	12932	0.0521961026909998	0.149589947935659
JAMP	1	1	675	12932	0.0521961026909998	0.149589947935659
LBP_BPI_CETP	1	1	675	12932	0.0521961026909998	0.149589947935659
Lung_7-TM_R	1	1	675	12932	0.0521961026909998	0.149589947935659
Metallophos_2	1	1	675	12932	0.0521961026909998	0.149589947935659
Methyltransf_4	1	1	675	12932	0.0521961026909998	0.149589947935659
Misat_Tub_SegII	1	1	675	12932	0.0521961026909998	0.149589947935659
MITF_TFEB_C_3_N	1	1	675	12932	0.0521961026909998	0.149589947935659
Mito_morph_reg	1	1	675	12932	0.0521961026909998	0.149589947935659
MKLP1_Arf_bdg	1	1	675	12932	0.0521961026909998	0.149589947935659
mRNA_cap_C	1	1	675	12932	0.0521961026909998	0.149589947935659
mRNA_cap_enzyme	1	1	675	12932	0.0521961026909998	0.149589947935659
MTABC_N	1	1	675	12932	0.0521961026909998	0.149589947935659
MTS	2	2	675	12932	0.00272060731681489	0.149589947935659
NMD3	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap_D2	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap_D3	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap_D4	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap_D5	1	1	675	12932	0.0521961026909998	0.149589947935659
Nrap_D6	1	1	675	12932	0.0521961026909998	0.149589947935659
Nucleoporin_FG2	1	1	675	12932	0.0521961026909998	0.149589947935659
NUSAP	1	1	675	12932	0.0521961026909998	0.149589947935659
P66_CC	1	1	675	12932	0.0521961026909998	0.149589947935659
PAP2	2	6	675	12932	0.0354669975216998	0.149589947935659
PD40	1	1	675	12932	0.0521961026909998	0.149589947935659
PDCD9	2	3	675	12932	0.00787860946410029	0.149589947935659
Pet100	1	1	675	12932	0.0521961026909998	0.149589947935659
PfkB	2	5	675	12932	0.024482822522138	0.149589947935659
PhetRS_B1	1	1	675	12932	0.0521961026909998	0.149589947935659
PID_2	2	3	675	12932	0.00787860946410029	0.149589947935659
Pinin_SDK_memA	1	1	675	12932	0.0521961026909998	0.149589947935659
Pinin_SDK_N	1	1	675	12932	0.0521961026909998	0.149589947935659
PKI	1	1	675	12932	0.0521961026909998	0.149589947935659
PMM	1	1	675	12932	0.0521961026909998	0.149589947935659
PP-binding	2	3	675	12932	0.00787860946410029	0.149589947935659
PP2C	3	10	675	12932	0.0128936734879146	0.149589947935659
PrmC_N	1	1	675	12932	0.0521961026909998	0.149589947935659
PRO8NT	1	1	675	12932	0.0521961026909998	0.149589947935659
PROCN	1	1	675	12932	0.0521961026909998	0.149589947935659
PROCT	1	1	675	12932	0.0521961026909998	0.149589947935659
PRP8_domainIV	1	1	675	12932	0.0521961026909998	0.149589947935659
PTPlike_phytase	1	1	675	12932	0.0521961026909998	0.149589947935659
Ras	8	75	675	12932	0.0411807503120722	0.149589947935659
RasGAP	2	7	675	12932	0.0479617302714721	0.149589947935659
RBD-FIP	1	1	675	12932	0.0521961026909998	0.149589947935659
RCC1_2	1	1	675	12932	0.0521961026909998	0.149589947935659
Rep_fac-A_3	1	1	675	12932	0.0521961026909998	0.149589947935659
Rgp1	1	1	675	12932	0.0521961026909998	0.149589947935659
RhoGAP-FF1	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_L1	2	2	675	12932	0.00272060731681489	0.149589947935659
Ribosomal_L13e	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_L18_c	2	2	675	12932	0.00272060731681489	0.149589947935659
Ribosomal_L21e	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_L34e	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_L37ae	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_L5e	2	2	675	12932	0.00272060731681489	0.149589947935659
Ribosomal_S19	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_S25	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_S27	1	1	675	12932	0.0521961026909998	0.149589947935659
Ribosomal_S6e	1	1	675	12932	0.0521961026909998	0.149589947935659
