annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
AHD	1	1	153	9121	0.0167744764828417	0.0656600936614089
Arm_vescicular	1	1	153	9121	0.0167744764828417	0.0656600936614089
ASD2	1	1	153	9121	0.0167744764828417	0.0656600936614089
Bcl-2	2	8	153	9121	0.00732531026369462	0.0656600936614089
Biopterin_H	1	1	153	9121	0.0167744764828417	0.0656600936614089
BTB_3	1	1	153	9121	0.0167744764828417	0.0656600936614089
C1_2	1	1	153	9121	0.0167744764828417	0.0656600936614089
Calponin	1	1	153	9121	0.0167744764828417	0.0656600936614089
CH	3	19	153	9121	0.00368193797842673	0.0656600936614089
DNA_ligase_A_C	1	1	153	9121	0.0167744764828417	0.0656600936614089
DNA_ligase_A_M	1	1	153	9121	0.0167744764828417	0.0656600936614089
DNA_ligase_A_N	1	1	153	9121	0.0167744764828417	0.0656600936614089
DUF11	1	1	153	9121	0.0167744764828417	0.0656600936614089
DUF1356	1	1	153	9121	0.0167744764828417	0.0656600936614089
FAM117	1	1	153	9121	0.0167744764828417	0.0656600936614089
IRF-2BP1_2	1	1	153	9121	0.0167744764828417	0.0656600936614089
Kazal_1	1	1	153	9121	0.0167744764828417	0.0656600936614089
Leg1	1	1	153	9121	0.0167744764828417	0.0656600936614089
LIG3_BRCT	1	1	153	9121	0.0167744764828417	0.0656600936614089
Maf1	1	1	153	9121	0.0167744764828417	0.0656600936614089
Med25	1	1	153	9121	0.0167744764828417	0.0656600936614089
Med25_VWA	1	1	153	9121	0.0167744764828417	0.0656600936614089
Mo25	1	1	153	9121	0.0167744764828417	0.0656600936614089
Morc6_S5	1	1	153	9121	0.0167744764828417	0.0656600936614089
Ribosomal_L5	1	1	153	9121	0.0167744764828417	0.0656600936614089
Ribosomal_L5_C	1	1	153	9121	0.0167744764828417	0.0656600936614089
SARAF	1	1	153	9121	0.0167744764828417	0.0656600936614089
TALPID3	1	1	153	9121	0.0167744764828417	0.0656600936614089
Torsin	1	1	153	9121	0.0167744764828417	0.0656600936614089
