annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Phospho_p8	2	2	82	2647	0.000948320393514413	0.071124029513581
AA_kinase	1	1	82	2647	0.0309784661881375	0.0929353985644125
Acyltransferase	1	1	82	2647	0.0309784661881375	0.0929353985644125
Alpha-amylase	1	1	82	2647	0.0309784661881375	0.0929353985644125
CBF_beta	1	1	82	2647	0.0309784661881375	0.0929353985644125
CBFD_NFYB_HMF	1	1	82	2647	0.0309784661881375	0.0929353985644125
ChaC	1	1	82	2647	0.0309784661881375	0.0929353985644125
DUF3543	1	1	82	2647	0.0309784661881375	0.0929353985644125
DUF5601	1	1	82	2647	0.0309784661881375	0.0929353985644125
Fes1	1	1	82	2647	0.0309784661881375	0.0929353985644125
Glyco_transf_43	1	1	82	2647	0.0309784661881375	0.0929353985644125
IMD	1	1	82	2647	0.0309784661881375	0.0929353985644125
Lipase_GDSL_2	1	1	82	2647	0.0309784661881375	0.0929353985644125
Methyltransf_23	1	1	82	2647	0.0309784661881375	0.0929353985644125
NERD	1	1	82	2647	0.0309784661881375	0.0929353985644125
Octopine_DH	1	1	82	2647	0.0309784661881375	0.0929353985644125
PAM2	1	1	82	2647	0.0309784661881375	0.0929353985644125
POLO_box	1	1	82	2647	0.0309784661881375	0.0929353985644125
PP2C	1	1	82	2647	0.0309784661881375	0.0929353985644125
SARAF	1	1	82	2647	0.0309784661881375	0.0929353985644125
SLC3A2_N	1	1	82	2647	0.0309784661881375	0.0929353985644125
Sod_Cu	1	1	82	2647	0.0309784661881375	0.0929353985644125
VPS9	1	1	82	2647	0.0309784661881375	0.0929353985644125
WBP-1	1	1	82	2647	0.0309784661881375	0.0929353985644125
zf-A20	1	1	82	2647	0.0309784661881375	0.0929353985644125
Aldedh	1	2	82	2647	0.0610086119827606	0.152521529956902
ATP-grasp_3	1	2	82	2647	0.0610086119827606	0.152521529956902
HSP20	1	2	82	2647	0.0610086119827606	0.152521529956902
Kelch_1	2	13	82	2647	0.0592767013917583	0.152521529956902
TPR_16	1	2	82	2647	0.0610086119827606	0.152521529956902
Atg8	1	3	82	2647	0.0901191200422745	0.173306000081297
BACK	2	15	82	2647	0.076695718245279	0.173306000081297
Ca_chan_IQ	1	3	82	2647	0.0901191200422745	0.173306000081297
GPHH	1	3	82	2647	0.0901191200422745	0.173306000081297
GRAM	1	3	82	2647	0.0901191200422745	0.173306000081297
GST_C_6	1	3	82	2647	0.0901191200422745	0.173306000081297
GST_N_4	1	3	82	2647	0.0901191200422745	0.173306000081297
zf-H2C2_2	1	3	82	2647	0.0901191200422745	0.173306000081297
Zona_pellucida	1	3	82	2647	0.0901191200422745	0.173306000081297
AA_permease_C	1	4	82	2647	0.118337816016758	0.206403167471089
BTB	2	19	82	2647	0.115458600375071	0.206403167471089
Oxysterol_BP	1	4	82	2647	0.118337816016758	0.206403167471089
TPR_8	1	4	82	2647	0.118337816016758	0.206403167471089
AA_permease_2	1	6	82	2647	0.172206940283953	0.22658807932099
Asparaginase_2	1	6	82	2647	0.172206940283953	0.22658807932099
bZIP_1	1	5	82	2647	0.145691693839923	0.22658807932099
Hormone_recep	1	5	82	2647	0.145691693839923	0.22658807932099
Lig_chan	1	6	82	2647	0.172206940283953	0.22658807932099
Lig_chan-Glu_bd	1	6	82	2647	0.172206940283953	0.22658807932099
SNF	1	6	82	2647	0.172206940283953	0.22658807932099
Tubulin	1	6	82	2647	0.172206940283953	0.22658807932099
Tubulin_C	1	6	82	2647	0.172206940283953	0.22658807932099
Usp	1	5	82	2647	0.145691693839923	0.22658807932099
WSC	1	6	82	2647	0.172206940283953	0.22658807932099
zf-B_box	1	6	82	2647	0.172206940283953	0.22658807932099
zf-C3HC4_3	1	6	82	2647	0.172206940283953	0.22658807932099
zf-C4	1	5	82	2647	0.145691693839923	0.22658807932099
CAP	1	7	82	2647	0.197908958798423	0.239405998546479
DnaJ	1	7	82	2647	0.197908958798423	0.239405998546479
Filamin	1	7	82	2647	0.197908958798423	0.239405998546479
SEA	1	7	82	2647	0.197908958798423	0.239405998546479
zf-RING_UBOX	1	7	82	2647	0.197908958798423	0.239405998546479
Ig_3	1	8	82	2647	0.222822392653927	0.260797348589115
NHL	1	8	82	2647	0.222822392653927	0.260797348589115
Pkinase	2	29	82	2647	0.226024368777233	0.260797348589115
fn3	1	15	82	2647	0.37705653986874	0.428473340759932
Ion_trans	2	44	82	2647	0.398316087834909	0.445876217725644
ANF_receptor	1	18	82	2647	0.433505641994169	0.478131222787686
MFS_1	1	19	82	2647	0.451174922084119	0.490407524004477
PH	1	20	82	2647	0.468299601075406	0.501749572580792
C2	1	23	82	2647	0.516569398934218	0.545671900282625
zf-C2H2	1	24	82	2647	0.531676605217524	0.553829797101588
EF-hand_7	1	25	82	2647	0.546317290834056	0.561284887843208
BTB_2	1	27	82	2647	0.574255607196914	0.58201581810498
7tm_1	2	181	82	2647	0.980254643367074	0.980254643367074
