annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
PALP	3	5	64	9121	3.26256438212242e-06	0.000189228734163101
Arrestin_C	2	4	64	9121	0.000288197012308905	0.00557180890463882
Arrestin_N	2	4	64	9121	0.000288197012308905	0.00557180890463882
BAF	1	1	64	9121	0.00701677447648286	0.0254358074772504
CTF_NFI	1	1	64	9121	0.00701677447648286	0.0254358074772504
DUF4550	1	1	64	9121	0.00701677447648286	0.0254358074772504
HSF_DNA-bind	1	1	64	9121	0.00701677447648286	0.0254358074772504
NfI_DNAbd_pre-N	1	1	64	9121	0.00701677447648286	0.0254358074772504
ParBc	1	1	64	9121	0.00701677447648286	0.0254358074772504
PPR_3	1	1	64	9121	0.00701677447648286	0.0254358074772504
RNA_pol	1	1	64	9121	0.00701677447648286	0.0254358074772504
RPOL_N	1	1	64	9121	0.00701677447648286	0.0254358074772504
SCHIP-1	1	1	64	9121	0.00701677447648286	0.0254358074772504
SID-1_RNA_chan	1	1	64	9121	0.00701677447648286	0.0254358074772504
TMEM214	1	1	64	9121	0.00701677447648286	0.0254358074772504
Vert_HS_TF	1	1	64	9121	0.00701677447648286	0.0254358074772504
ChaC	1	2	64	9121	0.0139850778134898	0.0386254530086861
Copine	1	2	64	9121	0.0139850778134898	0.0386254530086861
Meis_PKNOX_N	1	2	64	9121	0.0139850778134898	0.0386254530086861
VWA_2	1	2	64	9121	0.0139850778134898	0.0386254530086861
Zn_ribbon_17	1	2	64	9121	0.0139850778134898	0.0386254530086861
CBS	1	3	64	9121	0.020905239565868	0.043303710529298
DUF1736	1	3	64	9121	0.020905239565868	0.043303710529298
FGF	1	3	64	9121	0.020905239565868	0.043303710529298
Homeobox_KN	1	3	64	9121	0.020905239565868	0.043303710529298
Sec7_N	1	3	64	9121	0.020905239565868	0.043303710529298
Sulfotransfer_2	1	3	64	9121	0.020905239565868	0.043303710529298
wnt	1	3	64	9121	0.020905239565868	0.043303710529298
MyTH4	1	4	64	9121	0.0277775870837211	0.051970969382446
Sec1	1	4	64	9121	0.0277775870837211	0.051970969382446
TPR_19	1	4	64	9121	0.0277775870837211	0.051970969382446
Ammonium_transp	1	5	64	9121	0.0346024455269196	0.0557483844600371
Cation_efflux	1	5	64	9121	0.0346024455269196	0.0557483844600371
Sec7	1	5	64	9121	0.0346024455269196	0.0557483844600371
UIM	1	5	64	9121	0.0346024455269196	0.0557483844600371
VHP	1	5	64	9121	0.0346024455269196	0.0557483844600371
C2	2	48	64	9121	0.044468608470287	0.0697075484128824
FKBP_C	1	7	64	9121	0.0481109849640713	0.0715496699465676
RINGv	1	7	64	9121	0.0481109849640713	0.0715496699465676
REJ	1	8	64	9121	0.0547953054558749	0.0775153101570912
TPR_16	1	8	64	9121	0.0547953054558749	0.0775153101570912
hEGF	1	9	64	9121	0.0614334158970934	0.0828636772565446
PKD_channel	1	9	64	9121	0.0614334158970934	0.0828636772565446
Ion_trans	2	60	64	9121	0.0661697205659772	0.0872237225642427
WW	1	13	64	9121	0.0875300141239834	0.11281646264869
HECT	1	16	64	9121	0.106632455601729	0.131588987763836
TPR_12	1	16	64	9121	0.106632455601729	0.131588987763836
IQ	1	18	64	9121	0.119148149072924	0.135501816592737
LIM	1	18	64	9121	0.119148149072924	0.135501816592737
PLAT	1	18	64	9121	0.119148149072924	0.135501816592737
RhoGAP	1	18	64	9121	0.119148149072924	0.135501816592737
GPS	1	19	64	9121	0.125341109466128	0.139803545173758
BTB_2	1	34	64	9121	0.213251746251374	0.233369835520372
EGF	1	37	64	9121	0.229760018065274	0.246779278662702
EF-hand_7	1	54	64	9121	0.31706421102884	0.334358622539504
Ank_2	1	77	64	9121	0.419854170172999	0.434848961964892
WD40	1	98	64	9121	0.500314624820156	0.509092074378404
7tm_1	1	271	64	9121	0.855888434925427	0.855888434925427
