gene	motif	ATAC	RNA	comparison	reporterline	vs	cor	motif_gene	correlation	pfam	name
Nvec_NVE19743	ARCH1572	-0.00954	0.157741388376208	Elav_vs_Fox	Elav	Fox	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	-0.02853	-0.709030466377752	Elav_vs_Ncol	Elav	Ncol	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	-0.09371	-2.60396619923233	Elav_vs_neg	Elav	neg	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	0.00954	-0.157741388376208	Fox_vs_Elav	Fox	Elav	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	-0.02283	-0.866771854753959	Fox_vs_Ncol	Fox	Ncol	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	-0.08328	-2.7634295267987	Fox_vs_neg	Fox	neg	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	0.02853	0.709030466377752	Ncol_vs_Elav	Ncol	Elav	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	0.02283	0.866771854753959	Ncol_vs_Fox	Ncol	Fox	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE19743	ARCH1572	-0.03638	-1.96221479711366	Ncol_vs_neg	Ncol	neg	0.933333333333333	ARCH1572__Nvec_NVE19743	positive	""	HLH.HG1.55:like:TCF23/TCF24
Nvec_NVE23841	ARCH1404	-0.05095	0.777425303433282	Elav_vs_Fox	Elav	Fox	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	-0.10758	0.735435280974424	Elav_vs_Ncol	Elav	Ncol	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	-0.25021	-1.91201801926952	Elav_vs_neg	Elav	neg	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	0.05095	-0.777425303433282	Fox_vs_Elav	Fox	Elav	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	-0.06899	-0.0419900224588577	Fox_vs_Ncol	Fox	Ncol	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	-0.20037	-2.53486085981402	Fox_vs_neg	Fox	neg	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	0.10758	-0.735435280974424	Ncol_vs_Elav	Ncol	Elav	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	0.06899	0.0419900224588577	Ncol_vs_Fox	Ncol	Fox	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE23841	ARCH1404	-0.10245	-2.18262494350778	Ncol_vs_neg	Ncol	neg	0.416666666666667	ARCH1404__Nvec_NVE23841	no	SRY	SoxB2/Sox3
Nvec_NVE7697	ARCH1151	0.13738	0.959421322336007	Elav_vs_Fox	Elav	Fox	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	-0.4348	0.0275858893463484	Elav_vs_Ncol	Elav	Ncol	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	0.08531	-0.701593294117543	Elav_vs_neg	Elav	neg	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	-0.13738	-0.959421322336007	Fox_vs_Elav	Fox	Elav	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	-0.52856	-0.931835432989659	Fox_vs_Ncol	Fox	Ncol	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	-0.02667	-1.63531689889185	Fox_vs_neg	Fox	neg	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	0.4348	-0.0275858893463483	Ncol_vs_Elav	Ncol	Elav	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	0.52856	0.931835432989659	Ncol_vs_Fox	Ncol	Fox	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_NVE7697	ARCH1151	0.53619	-0.270152169734285	Ncol_vs_neg	Ncol	neg	0.45	ARCH1151__Nvec_NVE7697	no	""	Homeodomains.HG2.24:like:LEUTX
Nvec_v1g19278	ARCH292	-0.06801	1.39788755059421	Elav_vs_Fox	Elav	Fox	0.366666666666667	ARCH292__Nvec_v1g19278	no	KLF13/KLF14/KLF16/KLF9	Klf13
Nvec_v1g19278	ARCH292	-0.34626	-0.34847642666708	Elav_vs_Ncol	Elav	Ncol	0.366666666666667	ARCH292__Nvec_v1g19278	no	KLF13/KLF14/KLF16/KLF9	Klf13
Nvec_v1g19278	ARCH292	-0.1232	0.784813509043044	Elav_vs_neg	Elav	neg	0.366666666666667	ARCH292__Nvec_v1g19278	no	KLF13/KLF14/KLF16/KLF9	Klf13
Nvec_v1g19278	ARCH292	0.06801	-1.39788755059421	Fox_vs_Elav	Fox	Elav	0.366666666666667	ARCH292__Nvec_v1g19278	no	KLF13/KLF14/KLF16/KLF9	Klf13
Nvec_v1g19278	ARCH292	-0.30438	-1.74636397726129	Fox_vs_Ncol	Fox	Ncol	0.366666666666667	ARCH292__Nvec_v1g19278	no	KLF13/KLF14/KLF16/KLF9	Klf13
