sample	motif	gene	gene_expression_fc	motif_enrichment_fc	motif_enrichment_minuslog10_fdr	cor_qv	cor_fc	reporterline	condition	id
JGA1_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.56273628697924	-0.114042038728162	0	-0.852413289323945	-0.893925654434328	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA3_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.34826595228473	-0.110909738901315	0	-0.852413289323945	-0.893925654434328	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA5_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.75005713703764	-0.137206919782773	0	-0.852413289323945	-0.893925654434328	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA7_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.3473918082924	-0.103737210176265	0	-0.852413289323945	-0.893925654434328	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC1_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	-0.0235290453584771	0.454083173991516	5.17010472846218	-0.852413289323945	-0.893925654434328	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC3_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	0.473653573856028	0.522742327959033	9.0054973213032	-0.852413289323945	-0.893925654434328	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC5_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	0.198406785766687	0.525466259980442	9.10601922461432	-0.852413289323945	-0.893925654434328	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC7_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	-0.747936439148658	0.506122985233122	7.28637404997163	-0.852413289323945	-0.893925654434328	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD1_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.61767681694697	-0.209932867013451	0	-0.852413289323945	-0.893925654434328	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD3_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.58030907296024	-0.243921849754161	0	-0.852413289323945	-0.893925654434328	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD5_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.91077365196704	-0.16501367957618	0	-0.852413289323945	-0.893925654434328	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD7_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.8642478697816	-0.131371869761145	0	-0.852413289323945	-0.893925654434328	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA1_FoxPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-0.198517072154842	0.0985864834911358	0.359467240798913	-0.816177607087571	-0.766718202685475	Fox	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGA3_FoxPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-0.808359550365679	-0.0250163240128606	0.0305833014083949	-0.816177607087571	-0.766718202685475	Fox	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGA5_FoxPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-1.3842539621118	0.108306517330918	0.385689679485563	-0.816177607087571	-0.766718202685475	Fox	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGA7_FoxPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-1.34999467040416	0.165857260593206	0.708099560871522	-0.816177607087571	-0.766718202685475	Fox	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGC1_NcolPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-5.5286252191906	0.244931661417803	1.43633905612005	-0.816177607087571	-0.766718202685475	Ncol	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGC3_NcolPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-4.45701161328482	0.232161055357008	1.68716695374921	-0.816177607087571	-0.766718202685475	Ncol	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGC5_NcolPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-6.46070240075865	0.295667939122914	2.87692407292065	-0.816177607087571	-0.766718202685475	Ncol	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGC7_NcolPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	-2.89457329116883	0.170562097742508	0.725011408949744	-0.816177607087571	-0.766718202685475	Ncol	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGD1_ElavPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	2.08086981463664	0.0138215033846003	0.0544554972660699	-0.816177607087571	-0.766718202685475	Elav	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGD3_ElavPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	1.01904334643861	0.0979673617390253	0.350140495339815	-0.816177607087571	-0.766718202685475	Elav	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGD5_ElavPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	1.57683225455336	0.129642027962756	0.652496785910272	-0.816177607087571	-0.766718202685475	Elav	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGD7_ElavPos	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	Nvec_vc1.1_XM_032374864.2	1.88995262750746	0.140769355302499	0.669864545202895	-0.816177607087571	-0.766718202685475	Elav	positive	ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2 | Nvec_vc1.1_XM_032374864.2
JGA1_FoxPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	0.903389845134866	-0.0305935741506117	0.0111978095746195	-0.76348422300924	-0.802850970424673	Fox	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGA3_FoxPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-1.55022441016349	0.144305466121998	0.462738215067286	-0.76348422300924	-0.802850970424673	Fox	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGA5_FoxPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-3.17396576570468	0.115555454558684	0.438361712556905	-0.76348422300924	-0.802850970424673	Fox	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGA7_FoxPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-0.0534060581441726	-0.0164870739665685	0.0280390115128062	-0.76348422300924	-0.802850970424673	Fox	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGC1_NcolPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-3.17396576570468	0.171807786127795	0.783808192795952	-0.76348422300924	-0.802850970424673	Ncol	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGC3_NcolPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-2.62220338206177	0.0767890086077783	0.314358394841931	-0.76348422300924	-0.802850970424673	Ncol	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGC5_NcolPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-3.17396576570468	0.045866047991721	0.202987749427297	-0.76348422300924	-0.802850970424673	Ncol	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGC7_NcolPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	-2.40094944128425	0.0871271248747183	0.300693623587045	-0.76348422300924	-0.802850970424673	Ncol	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGD1_ElavPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	4.09541902080937	0.0213470131280393	0.0793357843385593	-0.76348422300924	-0.802850970424673	Elav	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGD3_ElavPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	3.30511589290813	-0.0243967793210854	0	-0.76348422300924	-0.802850970424673	Elav	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGD5_ElavPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	3.7099232034007	-0.0811592325948835	0	-0.76348422300924	-0.802850970424673	Elav	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGD7_ElavPos	ARCH2396_zf_C4_Nuclear_receptors_NR2C2	Nvec_vc1.1_XM_001636587.3	3.16790437361837	-0.065725004230273	0	-0.76348422300924	-0.802850970424673	Elav	positive	ARCH2396_zf_C4_Nuclear_receptors_NR2C2 | Nvec_vc1.1_XM_001636587.3
JGA1_FoxPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-0.355059043245688	-0.128716331549313	0	-0.740600527686162	-0.374034673732777	Fox	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGA3_FoxPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-1.30217147789239	-0.444787492893108	0	-0.740600527686162	-0.374034673732777	Fox	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGA5_FoxPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-1.20640251411844	-0.442185577427452	0	-0.740600527686162	-0.374034673732777	Fox	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGA7_FoxPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-1.66943790477795	-0.423228385165895	0	-0.740600527686162	-0.374034673732777	Fox	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGC1_NcolPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-4.5276054819205	0.0168381255191817	0.0871222519838967	-0.740600527686162	-0.374034673732777	Ncol	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGC3_NcolPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-2.82286180888524	0.0119011312490538	0.0869893531138858	-0.740600527686162	-0.374034673732777	Ncol	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGC5_NcolPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-5.52340960258055	0.0146250632704606	0.0991850030981647	-0.740600527686162	-0.374034673732777	Ncol	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGC7_NcolPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	-1.48216011556964	-0.00589616205734469	0.0713867517153361	-0.740600527686162	-0.374034673732777	Ncol	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGD1_ElavPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	5.08802428717812	-0.115285541952462	0	-0.740600527686162	-0.374034673732777	Elav	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGD3_ElavPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	3.62515662147244	-0.240176680076869	0	-0.740600527686162	-0.374034673732777	Elav	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGD5_ElavPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	3.7784037352325	-0.271522102200567	0	-0.740600527686162	-0.374034673732777	Elav	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGD7_ElavPos	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB	Nvec_vc1.1_XM_032383641.2	3.65577774394722	-0.370976581689614	0	-0.740600527686162	-0.374034673732777	Elav	positive	ARCH464_zf_C4_Nuclear_receptors_RORA_Eip75B_RORC_RORB | Nvec_vc1.1_XM_032383641.2
JGA1_FoxPos	ARCH640_SP1_SP3_SP4_Sp4	Nvec_vc1.1_XM_032384447.2	0.508669028564217	-0.112119210360383	0	-0.621179634877597	-0.575546801300436	Fox	positive	ARCH640_SP1_SP3_SP4_Sp4 | Nvec_vc1.1_XM_032384447.2
JGA3_FoxPos	ARCH640_SP1_SP3_SP4_Sp4	Nvec_vc1.1_XM_032384447.2	-0.16549564117715	-0.016623550387904	0.0387743884255629	-0.621179634877597	-0.575546801300436	Fox	positive	ARCH640_SP1_SP3_SP4_Sp4 | Nvec_vc1.1_XM_032384447.2
