PeakID (cmd=annotatePeaks.pl Ncol_pos_R3.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R3.mLb.clN_peak_13217	NC_064045.1	7648388	7650555	+	8677	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-180	Nvec_NVE18637	Nvec_NVE18637	Nvec_NVE18637						NA
Ncol_pos_R3.mLb.clN_peak_10400	NC_064042.1	8327172	8327546	+	8185	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-126	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Ncol_pos_R3.mLb.clN_peak_12376	NC_064044.1	8450295	8451209	+	6388	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-64	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Ncol_pos_R3.mLb.clN_peak_11235	NC_064043.1	6228366	6229443	+	4839	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-87	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Ncol_pos_R3.mLb.clN_peak_6055	NC_064038.1	8116449	8117183	+	4776	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-69	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Ncol_pos_R3.mLb.clN_peak_13409	NC_064045.1	11036104	11037007	+	4648	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-195	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Ncol_pos_R3.mLb.clN_peak_4209	NC_064036.1	17654002	17654894	+	4633	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	38	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Ncol_pos_R3.mLb.clN_peak_6411	NC_064038.1	13813383	13814081	+	4562	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	-30	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Ncol_pos_R3.mLb.clN_peak_6946	NC_064039.1	5144981	5146098	+	4460	NA	promoter-TSS (Nvec_vc1.1_LOC5521407)	-promoter-TSS (Nvec_vc1.1_LOC5521407)	111	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_XM_001641142			LOC5521517			NA
Ncol_pos_R3.mLb.clN_peak_13378	NC_064045.1	10373052	10373787	+	4442	NA	promoter-TSS (Nvec_vc1.1_LOC5498592)	-promoter-TSS (Nvec_vc1.1_LOC5498592)	93	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Ncol_pos_R3.mLb.clN_peak_14136	NC_064046.1	6457883	6458902	+	4351	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-43	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Ncol_pos_R3.mLb.clN_peak_6211	NC_064038.1	10262493	10263188	+	4350	NA	promoter-TSS (Nvec_vc1.1_LOC5505624)	-promoter-TSS (Nvec_vc1.1_LOC5505624)	-75	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_XM_001626339			LOC5505624			NA
