TF_ID	TF_Name	Species_Name	Status	Gene_ID	Family	Motif_ID
T010824_2.00	TFAP2A	Homo_sapiens	D	ENSG00000137203	AP-2	M02762_2.00,M02763_2.00,M02764_2.00,M02765_2.00,M02766_2.00,M02767_2.00,M04054_2.00,M04055_2.00,M07784_2.00,M08703_2.00,M09755_2.00,M09756_2.00,M09757_2.00,M09758_2.00,M09759_2.00,M09760_2.00
T010820_2.00	TFAP2B	Homo_sapiens	D	ENSG00000008196	AP-2	M02753_2.00,M02754_2.00,M02755_2.00,M04046_2.00,M04047_2.00,M08701_2.00,M09750_2.00
T010822_2.00	TFAP2C	Homo_sapiens	D	ENSG00000087510	AP-2	M02756_2.00,M02757_2.00,M02758_2.00,M02759_2.00,M02760_2.00,M02761_2.00,M04048_2.00,M04049_2.00,M07783_2.00,M08702_2.00,M09451_2.00,M09751_2.00,M09752_2.00,M09753_2.00,M09754_2.00
T010823_2.00	TFAP2E	Homo_sapiens	D	ENSG00000116819	AP-2	M04050_2.00,M04051_2.00,M04052_2.00,M04053_2.00
T014542_2.00	ARID3A	Homo_sapiens	D	ENSG00000116017	ARID/BRIGHT	M09766_2.00
T014544_2.00	ARID5B	Homo_sapiens	D	ENSG00000150347	ARID/BRIGHT	M08707_2.00,M09767_2.00
T017389_2.00	HMGA1	Homo_sapiens	D	ENSG00000137309	AT hook	M09769_2.00,M09770_2.00
T017390_2.00	HMGA2	Homo_sapiens	D	ENSG00000149948	AT hook	M09771_2.00
T025994_2.00	ZBED1	Homo_sapiens	D	ENSG00000214717	BED ZF	M02771_2.00,M04056_2.00,M04057_2.00,M09776_2.00
T034259_2.00	AHR	Homo_sapiens	D	ENSG00000106546	bHLH	M08716_2.00,M09816_2.00,M09817_2.00,M09818_2.00,M09819_2.00
T034294_2.00	ARNT	Homo_sapiens	D	ENSG00000143437	bHLH	M08732_2.00,M09459_2.00,M09863_2.00,M09864_2.00,M09865_2.00,M09866_2.00
T034316_2.00	ARNT2	Homo_sapiens	D	ENSG00000172379	bHLH	M04170_2.00
T034285_2.00	ARNTL	Homo_sapiens	D	ENSG00000133794	bHLH	M02787_2.00,M04124_2.00,M04125_2.00,M08725_2.00,M09841_2.00
T034291_2.00	ASCL1	Homo_sapiens	D	ENSG00000139352	bHLH	M04135_2.00,M04136_2.00,M08055_2.00,M08730_2.00,M09855_2.00,M09856_2.00,M09857_2.00
T034332_2.00	ASCL2	Homo_sapiens	D	ENSG00000183734	bHLH	M04207_2.00,M04208_2.00,M04209_2.00,M04210_2.00,M04211_2.00
T034315_2.00	ATOH1	Homo_sapiens	D	ENSG00000172238	bHLH	M04166_2.00,M04167_2.00,M04168_2.00,M04169_2.00,M08738_2.00,M09877_2.00
T034327_2.00	ATOH7	Homo_sapiens	D	ENSG00000179774	bHLH	M04193_2.00,M04194_2.00
T034328_2.00	BHLHA15	Homo_sapiens	D	ENSG00000180535	bHLH	M02803_2.00,M04195_2.00,M04196_2.00,M04197_2.00,M04198_2.00,M08739_2.00
T034329_2.00	BHLHE22	Homo_sapiens	D	ENSG00000180828	bHLH	M02804_2.00,M04199_2.00,M04200_2.00
T034280_2.00	BHLHE23	Homo_sapiens	D	ENSG00000125533	bHLH	M02784_2.00,M04108_2.00,M04109_2.00,M04110_2.00,M04111_2.00
T034286_2.00	BHLHE40	Homo_sapiens	D	ENSG00000134107	bHLH	M02788_2.00,M04126_2.00,M04127_2.00,M07798_2.00,M08726_2.00,M09456_2.00,M09842_2.00,M09843_2.00,M09844_2.00,M09845_2.00
T034275_2.00	BHLHE41	Homo_sapiens	D	ENSG00000123095	bHLH	M02782_2.00,M02783_2.00,M04106_2.00,M04107_2.00,M09833_2.00,M09834_2.00
T034288_2.00	CLOCK	Homo_sapiens	D	ENSG00000134852	bHLH	M02789_2.00,M04129_2.00,M04130_2.00,M08728_2.00,M09849_2.00
T034267_2.00	EPAS1	Homo_sapiens	D	ENSG00000116016	bHLH	M08719_2.00,M09455_2.00,M09826_2.00,M09827_2.00
T034296_2.00	FERD3L	Homo_sapiens	D	ENSG00000146618	bHLH	M04140_2.00,M04141_2.00,M04142_2.00,M04143_2.00
T034331_2.00	FIGLA	Homo_sapiens	D	ENSG00000183733	bHLH	M02805_2.00,M04205_2.00,M04206_2.00
T034305_2.00	HAND2	Homo_sapiens	D	ENSG00000164107	bHLH	M04150_2.00,M04151_2.00
T034266_2.00	HES1	Homo_sapiens	D	ENSG00000114315	bHLH	M04090_2.00,M04091_2.00,M09822_2.00,M09823_2.00,M09824_2.00,M09825_2.00
T034248_2.00	HES2	Homo_sapiens	D	ENSG00000069812	bHLH	M04060_2.00,M04061_2.00
T034341_2.00	HES5	Homo_sapiens	D	ENSG00000197921	bHLH	M02809_2.00,M02810_2.00,M04216_2.00,M04217_2.00,M04218_2.00
T034295_2.00	HES6	Homo_sapiens	D	ENSG00000144485	bHLH	M04139_2.00
T034326_2.00	HES7	Homo_sapiens	D	ENSG00000179111	bHLH	M02802_2.00,M04191_2.00,M04192_2.00
T034307_2.00	HEY1	Homo_sapiens	D	ENSG00000164683	bHLH	M02793_2.00,M04152_2.00,M04153_2.00,M04154_2.00,M04155_2.00
T034289_2.00	HEY2	Homo_sapiens	D	ENSG00000135547	bHLH	M02790_2.00,M02791_2.00,M04131_2.00,M04132_2.00,M04133_2.00,M04134_2.00
T034254_2.00	HIF1A	Homo_sapiens	D	ENSG00000100644	bHLH	M08049_2.00,M08713_2.00,M09454_2.00,M09807_2.00,M09808_2.00,M09809_2.00,M09810_2.00,M09811_2.00
T034256_2.00	LYL1	Homo_sapiens	D	ENSG00000104903	bHLH	M08714_2.00
T034282_2.00	MAX	Homo_sapiens	D	ENSG00000125952	bHLH	M00938_2.00,M01497_2.00,M01498_2.00,M02785_2.00,M02786_2.00,M04112_2.00,M04113_2.00,M04114_2.00,M04115_2.00,M05832_2.00,M07791_2.00,M07792_2.00,M07793_2.00,M07794_2.00,M07795_2.00,M07796_2.00,M07797_2.00,M08723_2.00,M09835_2.00,M09836_2.00,M09837_2.00
T034309_2.00	MESP1	Homo_sapiens	D	ENSG00000166823	bHLH	M02794_2.00
T034338_2.00	MESP2	Homo_sapiens	D	ENSG00000188095	bHLH	M04212_2.00,M04213_2.00
T034335_2.00	MITF	Homo_sapiens	D	ENSG00000187098	bHLH	M08058_2.00,M08740_2.00,M09880_2.00,M09881_2.00
T034260_2.00	MLX	Homo_sapiens	D	ENSG00000108788	bHLH	M02779_2.00,M04080_2.00,M04081_2.00,M04082_2.00,M04083_2.00
T034243_2.00	MLXIPL	Homo_sapiens	D	ENSG00000009950	bHLH	M02772_2.00,M09788_2.00,M09789_2.00
T034249_2.00	MNT	Homo_sapiens	D	ENSG00000070444	bHLH	M02774_2.00
T034325_2.00	MSC	Homo_sapiens	D	ENSG00000178860	bHLH	M02801_2.00,M04183_2.00,M04184_2.00,M04185_2.00,M04186_2.00,M04187_2.00,M04188_2.00,M04189_2.00,M04190_2.00
T034298_2.00	MSGN1	Homo_sapiens	D	ENSG00000151379	bHLH	M04144_2.00,M04145_2.00
T034270_2.00	MXI1	Homo_sapiens	D	ENSG00000119950	bHLH	M07790_2.00,M08051_2.00,M08181_2.00,M08182_2.00,M08720_2.00,M09828_2.00
T034290_2.00	MYC	Homo_sapiens	D	ENSG00000136997	bHLH	M07799_2.00,M07800_2.00,M07801_2.00,M07802_2.00,M07803_2.00,M07804_2.00,M08054_2.00,M08729_2.00,M09457_2.00,M09850_2.00,M09851_2.00,M09852_2.00,M09853_2.00,M09854_2.00
T034287_2.00	MYCN	Homo_sapiens	D	ENSG00000134323	bHLH	M04128_2.00,M08053_2.00,M08727_2.00,M09846_2.00,M09847_2.00,M09848_2.00
T034262_2.00	MYF5	Homo_sapiens	D	ENSG00000111049	bHLH	M09821_2.00
T034261_2.00	MYF6	Homo_sapiens	D	ENSG00000111046	bHLH	M02780_2.00,M04084_2.00,M04085_2.00,M04086_2.00,M04087_2.00,M05831_2.00,M08717_2.00,M09820_2.00
T034283_2.00	MYOD1	Homo_sapiens	D	ENSG00000129152	bHLH	M04116_2.00,M04117_2.00,M04118_2.00,M04119_2.00,M04120_2.00,M04121_2.00,M04122_2.00,M04123_2.00,M08724_2.00,M09838_2.00,M09839_2.00,M09840_2.00
T034272_2.00	MYOG	Homo_sapiens	D	ENSG00000122180	bHLH	M04098_2.00,M04099_2.00,M04100_2.00,M04101_2.00,M04102_2.00,M04103_2.00,M04104_2.00,M04105_2.00,M08721_2.00,M09829_2.00,M09830_2.00
T034302_2.00	NEUROD1	Homo_sapiens	D	ENSG00000162992	bHLH	M04148_2.00,M04149_2.00,M08057_2.00,M08735_2.00,M09873_2.00,M09874_2.00
T034313_2.00	NEUROD2	Homo_sapiens	D	ENSG00000171532	bHLH	M02795_2.00,M04160_2.00,M04161_2.00,M08737_2.00
T034330_2.00	NEUROG1	Homo_sapiens	D	ENSG00000181965	bHLH	M04201_2.00,M04202_2.00,M04203_2.00,M04204_2.00
T034324_2.00	NEUROG2	Homo_sapiens	D	ENSG00000178403	bHLH	M02799_2.00,M02800_2.00,M04179_2.00,M04180_2.00,M04181_2.00,M04182_2.00,M09879_2.00
T034314_2.00	NHLH1	Homo_sapiens	D	ENSG00000171786	bHLH	M02796_2.00,M02797_2.00,M04162_2.00,M04163_2.00,M04164_2.00,M04165_2.00,M09875_2.00,M09876_2.00
T034323_2.00	NHLH2	Homo_sapiens	D	ENSG00000177551	bHLH	M04177_2.00,M04178_2.00,M09878_2.00
T034312_2.00	NPAS2	Homo_sapiens	D	ENSG00000170485	bHLH	M04158_2.00,M04159_2.00
T034333_2.00	OLIG1	Homo_sapiens	D	ENSG00000184221	bHLH	M02806_2.00
T034344_2.00	OLIG2	Homo_sapiens	D	ENSG00000205927	bHLH	M02812_2.00,M02813_2.00,M04223_2.00,M04224_2.00,M04225_2.00,M04226_2.00,M08742_2.00
T034322_2.00	OLIG3	Homo_sapiens	D	ENSG00000177468	bHLH	M02798_2.00,M04171_2.00,M04172_2.00,M04173_2.00,M04174_2.00,M04175_2.00,M04176_2.00
T034310_2.00	PTF1A	Homo_sapiens	D	ENSG00000168267	bHLH	M04156_2.00,M04157_2.00,M08736_2.00
T034271_2.00	SOHLH2	Homo_sapiens	D	ENSG00000120669	bHLH	M01113_2.00,M04096_2.00,M04097_2.00
T034251_2.00	SREBF1	Homo_sapiens	D	ENSG00000072310	bHLH	M04062_2.00,M04063_2.00,M04064_2.00,M04065_2.00,M08048_2.00,M08711_2.00,M09796_2.00,M09797_2.00,M09798_2.00,M09799_2.00,M09800_2.00,M09801_2.00
T034342_2.00	SREBF2	Homo_sapiens	D	ENSG00000198911	bHLH	M02811_2.00,M03591_2.00,M04219_2.00,M04220_2.00,M04221_2.00,M04222_2.00,M08059_2.00,M08741_2.00,M09462_2.00,M09882_2.00,M09883_2.00
T034301_2.00	TAL1	Homo_sapiens	D	ENSG00000162367	bHLH	M08734_2.00,M09870_2.00,M09871_2.00,M09872_2.00
T034292_2.00	TCF12	Homo_sapiens	D	ENSG00000140262	bHLH	M04137_2.00,M04138_2.00,M07805_2.00,M07806_2.00,M08731_2.00,M09458_2.00,M09858_2.00,M09859_2.00,M09860_2.00,M09861_2.00,M09862_2.00
T034269_2.00	TCF21	Homo_sapiens	D	ENSG00000118526	bHLH	M04092_2.00,M04093_2.00,M04094_2.00,M04095_2.00
T034250_2.00	TCF3	Homo_sapiens	D	ENSG00000071564	bHLH	M02775_2.00,M08710_2.00,M09791_2.00,M09792_2.00,M09793_2.00,M09794_2.00,M09795_2.00
T034340_2.00	TCF4	Homo_sapiens	D	ENSG00000196628	bHLH	M02728_2.00,M02807_2.00,M02808_2.00,M04214_2.00,M04215_2.00,M09461_2.00
T034255_2.00	TCFL5	Homo_sapiens	D	ENSG00000101190	bHLH	M04074_2.00,M04075_2.00
T034253_2.00	TFAP4	Homo_sapiens	D	ENSG00000090447	bHLH	M02776_2.00,M02777_2.00,M04066_2.00,M04067_2.00,M04068_2.00,M04069_2.00,M04070_2.00,M04071_2.00,M04072_2.00,M04073_2.00,M08712_2.00,M09453_2.00,M09802_2.00,M09803_2.00,M09804_2.00,M09805_2.00,M09806_2.00
T034247_2.00	TFE3	Homo_sapiens	D	ENSG00000068323	bHLH	M02773_2.00,M04058_2.00,M04059_2.00,M08709_2.00,M09790_2.00
T034264_2.00	TFEB	Homo_sapiens	D	ENSG00000112561	bHLH	M02727_2.00,M02781_2.00,M04088_2.00,M04089_2.00,M08718_2.00
