PeakID (cmd=annotatePeaks.pl Fox_neg_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_neg_R2.mLb.clN_peak_13214	NC_064045.1	7648369	7650523	+	9969	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-155	Nvec_NVE21932	Nvec_NVE21932	Nvec_NVE21932						NA
Fox_neg_R2.mLb.clN_peak_12901	NC_064045.1	2243480	2244621	+	6784	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	336	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Fox_neg_R2.mLb.clN_peak_1372	NC_064034.1	22161205	22163108	+	5431	NA	Intergenic	Intergenic	1887	Nvec_v1g223461	Nvec_v1g223461	Nvec_v1g223461						NA
Fox_neg_R2.mLb.clN_peak_13213	NC_064045.1	7646132	7647145	+	4903	NA	promoter-TSS (Nvec_v1g133209)	-promoter-TSS (Nvec_v1g133209)	43	Nvec_v1g133209	Nvec_v1g133209	Nvec_v1g133209						NA
Fox_neg_R2.mLb.clN_peak_4222	NC_064036.1	20792757	20793826	+	4823	NA	Intergenic	Intergenic	-22286	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_XM_048724930			LOC116611810			NA
Fox_neg_R2.mLb.clN_peak_10336	NC_064042.1	8327181	8327537	+	2503	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-126	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Fox_neg_R2.mLb.clN_peak_3697	NC_064036.1	12910523	12911492	+	2467	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-291	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Fox_neg_R2.mLb.clN_peak_265	NC_064034.1	4429741	4430974	+	2382	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	129	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Fox_neg_R2.mLb.clN_peak_7761	NC_064040.1	1525401	1525634	+	2344	NA	intron (Nvec_vc1.1_LOC5511968, intron 12 of 12)	-intron (Nvec_vc1.1_LOC5511968, intron 12 of 12)	14464	Nvec_vc1.1_LOC5511968	Nvec_vc1.1_LOC5511968	Nvec_vc1.1_XM_048730358			LOC5511968			NA
Fox_neg_R2.mLb.clN_peak_11709	NC_064043.1	13313587	13314378	+	2344	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	67	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Fox_neg_R2.mLb.clN_peak_13155	NC_064045.1	6551777	6552663	+	2148	NA	promoter-TSS (Nvec_vc1.1_LOC5510098)	-promoter-TSS (Nvec_vc1.1_LOC5510098)	-160	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_XM_001630548			LOC5510098			NA
Fox_neg_R2.mLb.clN_peak_12349	NC_064044.1	8450336	8451211	+	2068	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-85	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Fox_neg_R2.mLb.clN_peak_11752	NC_064043.1	13730763	13731580	+	1896	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	10	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_XM_001627407			LOC5506747			NA
Fox_neg_R2.mLb.clN_peak_11895	NC_064043.1	15592532	15593448	+	1837	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	2	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Fox_neg_R2.mLb.clN_peak_6917	NC_064039.1	5144872	5145918	+	1833	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-33	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_XM_001641142			LOC5521517			NA
Fox_neg_R2.mLb.clN_peak_11651	NC_064043.1	12561223	12562293	+	1831	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-134	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Fox_neg_R2.mLb.clN_peak_15525	NC_064048.1	3494889	3495414	+	1805	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-21	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Fox_neg_R2.mLb.clN_peak_14072	NC_064046.1	6457906	6458902	+	1771	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-55	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Fox_neg_R2.mLb.clN_peak_12768	NC_064044.1	15748826	15749914	+	1764	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-119	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Fox_neg_R2.mLb.clN_peak_8806	NC_064040.1	17864550	17865223	+	1747	NA	Intergenic	Intergenic	-24511	Nvec_v1g149131	Nvec_v1g149131	Nvec_v1g149131						NA
Fox_neg_R2.mLb.clN_peak_10325	NC_064042.1	8059617	8060704	+	1716	NA	promoter-TSS (Nvec_vc1.1_LOC125572185)	-promoter-TSS (Nvec_vc1.1_LOC125572185)	-945	Nvec_vc1.1_LOC125572185	Nvec_vc1.1_LOC125572185	Nvec_vc1.1_XM_048732272			LOC125572185			NA
Fox_neg_R2.mLb.clN_peak_9524	NC_064041.1	12519713	12520642	+	1714	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-217	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Fox_neg_R2.mLb.clN_peak_8805	NC_064040.1	17861374	17861917	+	1705	NA	Intergenic	Intergenic	-21270	Nvec_v1g149131	Nvec_v1g149131	Nvec_v1g149131						NA
Fox_neg_R2.mLb.clN_peak_5247	NC_064037.1	15385430	15386228	+	1655	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-118	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Fox_neg_R2.mLb.clN_peak_6212	NC_064038.1	12419106	12420512	+	1647	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-613	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Fox_neg_R2.mLb.clN_peak_4156	NC_064036.1	19615487	19616454	+	1644	NA	promoter-TSS (Nvec_vc1.1_LOC5508990)	-promoter-TSS (Nvec_vc1.1_LOC5508990)	-23	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_XM_001629485			LOC5508990			NA
Fox_neg_R2.mLb.clN_peak_14231	NC_064046.1	9299089	9299732	+	1641	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	-43	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_XM_001638492			LOC5518590			NA
Fox_neg_R2.mLb.clN_peak_2832	NC_064035.1	21992099	21994693	+	1638	NA	Intergenic	Intergenic	-26216	Nvec_NVE20420	Nvec_NVE20420	Nvec_NVE20420						NA
Fox_neg_R2.mLb.clN_peak_13045	NC_064045.1	4675483	4676235	+	1635	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-43	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_XM_001630078			LOC5509637			NA
Fox_neg_R2.mLb.clN_peak_6539	NC_064039.1	145393	147014	+	1628	NA	exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	515	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_XM_032380824			LOC5511474			NA
Fox_neg_R2.mLb.clN_peak_7591	NC_064039.1	15248161	15249216	+	1613	NA	promoter-TSS (Nvec_vc1.1_LOC5501420)	-promoter-TSS (Nvec_vc1.1_LOC5501420)	-385	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_XM_048728987			LOC5501420			NA
Fox_neg_R2.mLb.clN_peak_13408	NC_064045.1	11036105	11037005	+	1595	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-195	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Fox_neg_R2.mLb.clN_peak_9790	NC_064041.1	16369269	16369730	+	1585	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	40	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_XM_032376688			LOC5507944			NA
Fox_neg_R2.mLb.clN_peak_13784	NC_064046.1	1587960	1588627	+	1583	NA	TTS (Nvec_vc1.1_LOC116613006)	-TTS (Nvec_vc1.1_LOC116613006)	6348	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_XM_032373560			LOC116613006			NA
Fox_neg_R2.mLb.clN_peak_2924	NC_064036.1	1586652	1587746	+	1571	NA	promoter-TSS (Nvec_vc1.1_LOC5517045)	-promoter-TSS (Nvec_vc1.1_LOC5517045)	-34	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_XM_032386923			LOC5517045			NA
Fox_neg_R2.mLb.clN_peak_1405	NC_064035.1	1249945	1250649	+	1564	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	199	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_XM_001629629			LOC5509139			NA
Fox_neg_R2.mLb.clN_peak_8765	NC_064040.1	16921123	16921797	+	1555	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-292	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Fox_neg_R2.mLb.clN_peak_2807	NC_064035.1	21660056	21660754	+	1554	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	132	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Fox_neg_R2.mLb.clN_peak_969	NC_064034.1	16285130	16286209	+	1552	NA	promoter-TSS (Nvec_vc1.1_LOC5511120)	-promoter-TSS (Nvec_vc1.1_LOC5511120)	-274	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_XM_001631478			LOC5511120			NA
Fox_neg_R2.mLb.clN_peak_4039	NC_064036.1	17654009	17654904	+	1544	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	46	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
