ID_JGI_Vienna	ID_Vienna	ID_JGI	ID_DToL
Nvec_v1g225533	NVE25627	v1g225533	Nvec_vc1.1_XM_032362659.2
Nvec_v1g172459	NVE9137	v1g172459	Nvec_vc1.1_XM_048720044.1
Nvec_v1g246369	NVE9138	v1g246369	Nvec_vc1.1_XM_048720051.1
Nvec_v1g246369	NVE9139	v1g246369	Nvec_vc1.1_XM_048720051.1
Nvec_NVE9140	NVE9140		Nvec_NVE9140
Nvec_NVE9141	NVE9141		Nvec_NVE9141
Nvec_NVE9142	NVE9142		Nvec_NVE9142
Nvec_v1g12115	NVE9143	v1g12115	Nvec_vc1.1_XM_032374498.2
Nvec_v1g124803	NVE9144	v1g124803	Nvec_vc1.1_XM_001626778.3
Nvec_v1g124805	NVE9145	v1g124805	Nvec_vc1.1_XM_001626793.3
Nvec_v1g124883	NVE9146	v1g124883	Nvec_vc1.1_XM_032374496.2
Nvec_v1g124869	NVE9147	v1g124869	Nvec_vc1.1_XM_048719405.1
Nvec_v1g124800	NVE9148	v1g124800	Nvec_vc1.1_XM_032374471.2
Nvec_v1g172482	NVE9149	v1g172482	Nvec_vc1.1_XM_048719406.1
Nvec_v1g191692	NVE9150	v1g191692	Nvec_vc1.1_XM_001626781.3
Nvec_NVE9151	NVE9151		Nvec_NVE9151
Nvec_v1g214952	NVE9152	v1g214952	Nvec_vc1.1_XM_048720307.1
Nvec_v1g214953	NVE9153	v1g214953	Nvec_v1g214953
Nvec_v1g124889	NVE9154	v1g124889	Nvec_vc1.1_XM_001626783.3
Nvec_v1g124848	NVE9155	v1g124848	Nvec_vc1.1_XM_048719753.1
Nvec_NVE9156	NVE9156		Nvec_vc1.1_XM_032374488.2
Nvec_v1g124861	NVE9157	v1g124861	Nvec_vc1.1_XM_048719751.1
Nvec_v1g124861	NVE9158	v1g124861	Nvec_vc1.1_XM_048719751.1
Nvec_v1g172491	NVE9159	v1g172491	Nvec_vc1.1_XM_001626785.3
Nvec_NVE9160	NVE9160		Nvec_vc1.1_XM_032374494.2
Nvec_v1g214960	NVE9161	v1g214960	Nvec_vc1.1_XM_032374473.2
Nvec_v1g124792	NVE9162	v1g124792	Nvec_v1g124792
Nvec_v1g172495	NVE9163	v1g172495	Nvec_vc1.1_XM_048720332.1
Nvec_v1g172497	NVE9164	v1g172497	Nvec_vc1.1_XM_001626788.3
Nvec_NVE9165	NVE9165		Nvec_NVE9165
Nvec_v1g246382	NVE9166	v1g246382	Nvec_vc1.1_XM_001626802.3
Nvec_v1g124892	NVE9167	v1g124892	Nvec_vc1.1_XM_048720334.1
Nvec_NVE9168	NVE9168		Nvec_vc1.1_XM_048720334.1
Nvec_v1g124786	NVE9169	v1g124786	Nvec_vc1.1_XM_048720335.1
Nvec_v1g124860	NVE9170	v1g124860	Nvec_vc1.1_XM_048720334.1
Nvec_v1g13456	NVE9171	v1g13456	Nvec_v1g13456
Nvec_v1g124888	NVE9172	v1g124888	Nvec_vc1.1_XM_048720338.1
Nvec_NVE25628	NVE25628		Nvec_vc1.1_XM_001627604.3
Nvec_v1g225852	NVE3240	v1g225852	Nvec_vc1.1_XM_001631997.3
Nvec_v1g224702	NVE20251	v1g224702	Nvec_vc1.1_XM_032362879.2
Nvec_NVE24770	NVE24770		Nvec_NVE24770
Nvec_NVE20250	NVE20250		Nvec_vc1.1_XM_048726763.1
Nvec_v1g225210	NVE23515	v1g225210	Nvec_vc1.1_XM_032363600.2
Nvec_NVE23516	NVE23516		Nvec_vc1.1_XM_032365106.2
Nvec_NVE5859	NVE5859		Nvec_vc1.1_XM_048728115.1
Nvec_NVE18433	NVE18433		Nvec_vc1.1_XM_048731263.1
Nvec_NVE6298	NVE6298		Nvec_NVE6298
Nvec_NVE9746	NVE9746		Nvec_vc1.1_XM_048733074.1
Nvec_v1g148111	NVE9747	v1g148111	Nvec_vc1.1_XM_048733078.1
Nvec_NVE9748	NVE9748		Nvec_vc1.1_XM_048733073.1
Nvec_NVE7560	NVE7560		Nvec_NVE7560
Nvec_v1g214007	NVE7561	v1g214007	Nvec_v1g214007
Nvec_v1g14428	NVE7562	v1g14428	Nvec_v1g14428
