target_gene	sample	gene	name	pfam	expression_tpm	expression_lfc	target_name	target_pfam	target_expression_tpm	target_expression_lfc	motif	motif_score	footprint_score	expression_correlation	target_TF	regulation
Nvec_vc1.1_XM_032364830.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Thioredoxin domain-containing	Thioredoxin_7/	14435.25	3.0863082906749	ARCH1151	9.60356	20.7197	0.927600703181764	FALSE	repressed
Nvec_vc1.1_XM_032386959.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Fibrillin-2	EGF_CA/EGF_CA/	1759.5	3.5075978027637	ARCH1151	7.97776	17.60802	0.961788298757117	FALSE	activated
Nvec_vc1.1_XM_032373797.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	7603.75	3.98432069438057	ARCH1151	7.89535	17.15648	0.922059659613726	FALSE	activated
Nvec_vc1.1_XM_001630742.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ANF_receptor:like:GRM1/GRM2/GR	ANF_receptor/NCD3G/	4577.75	4.72403032747172	ARCH1151	8.90555	15.91394	0.950962063420135	FALSE	activated
Nvec_vc1.1_XM_032378291.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Neuropathy target esterase	cNMP_binding/cNMP_binding/cNMP	4089.25	2.30552729899216	ARCH1151	8.62779	15.0137	0.970994888294578	FALSE	activated
Nvec_vc1.1_XM_048720925.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	HCG1983504	Tubulin/	14237	3.18497347106747	ARCH1151	8.55362	14.77726	0.863109091010314	FALSE	activated
Nvec_vc1.1_XM_032380374.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	NvSoxA	SRY	9385	3.88919469286297	ARCH1151	12.61123	14.641	0.939116885708935	TRUE	activated
Nvec_vc1.1_XM_032381834.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	1193.75	2.50723280548856	ARCH1151	8.31667	14.02678	0.926668082824613	FALSE	activated
Nvec_vc1.1_XM_001628369.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	Profilin/	3310.75	5.43552235683773	ARCH1151	8.41671	13.87068	0.975586313857017	FALSE	activated
Nvec_vc1.1_XM_001637260.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	PID:PID1	PID.HG1.10:PID1	4904	3.15362864143903	ARCH1151	10.60376	13.62343	0.855806604213368	FALSE	activated
