Gene_ID	Family_ID	Cutoff	TF_Status	TF_ID	Motif_ID	ID_JGI_Vienna	PFAM	name	ID_DToL	Percentage_overlap/Blast_ID	Source
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M00115_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01655_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01656_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01658_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01659_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01660_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01662_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01664_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01665_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01666_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M01667_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M02651_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_048722594.1	F028_2.00	0.422230966271411	I	T015299_2.00	M03590_2.00	Nvec_v1g42971	ARID_BRIGHT.HG3.0:ARID2	ARID_BRIGHT:ARID2	Nvec_vc1.1_XM_048722594.1	100	Itvl_overlap
Nvec_vc1.1_XM_032366646.2	F028_2.00	0.422230966271411	I	T015300_2.00	M00116_2.00	Nvec_v1g81183	ARID_BRIGHT.HG1.1:ARID5A/ARID5B	ARID_BRIGHT:ARID5A/ARID5B	Nvec_vc1.1_XM_032366646.2	100	Itvl_overlap
Nvec_vc1.1_XM_032366646.2	F028_2.00	0.422230966271411	I	T015300_2.00	M01657_2.00	Nvec_v1g81183	ARID_BRIGHT.HG1.1:ARID5A/ARID5B	ARID_BRIGHT:ARID5A/ARID5B	Nvec_vc1.1_XM_032366646.2	100	Itvl_overlap
Nvec_vc1.1_XM_032366646.2	F028_2.00	0.422230966271411	I	T015300_2.00	M01661_2.00	Nvec_v1g81183	ARID_BRIGHT.HG1.1:ARID5A/ARID5B	ARID_BRIGHT:ARID5A/ARID5B	Nvec_vc1.1_XM_032366646.2	100	Itvl_overlap
Nvec_vc1.1_XM_032366646.2	F028_2.00	0.422230966271411	I	T015300_2.00	M01663_2.00	Nvec_v1g81183	ARID_BRIGHT.HG1.1:ARID5A/ARID5B	ARID_BRIGHT:ARID5A/ARID5B	Nvec_vc1.1_XM_032366646.2	100	Itvl_overlap
Nvec_vc1.1_XM_032366646.2	F028_2.00	0.422230966271411	I	T015300_2.00	M01668_2.00	Nvec_v1g81183	ARID_BRIGHT.HG1.1:ARID5A/ARID5B	ARID_BRIGHT:ARID5A/ARID5B	Nvec_vc1.1_XM_032366646.2	100	Itvl_overlap
Nvec_vc1.1_XM_032379775.2	F082_2.00	0.837833807768996	I	T041808_2.00	M03595_2.00	Nvec_v1g112080	HLH.HG3.0:TFAP4	HLH:TFAP4	Nvec_vc1.1_XM_032379775.2	99	Itvl_overlap
Nvec_vc1.1_XM_032372025.2	F082_2.00	0.837833807768996	I	T041813_2.00	M01751_2.00	Nvec_v1g132249	HLH.HG4.2:ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NPAS2	HLH:ARNT/ARNT2/ARNTL/ARNTL2	Nvec_vc1.1_XM_032372025.2	100	Itvl_overlap
Nvec_vc1.1_XM_032372025.2	F082_2.00	0.837833807768996	I	T041813_2.00	M02787_2.00	Nvec_v1g132249	HLH.HG4.2:ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NPAS2	HLH:ARNT/ARNT2/ARNTL/ARNTL2	Nvec_vc1.1_XM_032372025.2	100	Itvl_overlap
Nvec_vc1.1_XM_032372025.2	F082_2.00	0.837833807768996	I	T041813_2.00	M04124_2.00	Nvec_v1g132249	HLH.HG4.2:ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NPAS2	HLH:ARNT/ARNT2/ARNTL/ARNTL2	Nvec_vc1.1_XM_032372025.2	100	Itvl_overlap
Nvec_vc1.1_XM_032372025.2	F082_2.00	0.837833807768996	I	T041813_2.00	M04125_2.00	Nvec_v1g132249	HLH.HG4.2:ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NPAS2	HLH:ARNT/ARNT2/ARNTL/ARNTL2	Nvec_vc1.1_XM_032372025.2	100	Itvl_overlap
Nvec_vc1.1_XM_032384433.2	F082_2.00	0.837833807768996	I	T041846_2.00	M01718_2.00	Nvec_v1g234699	HLH.HG1.22:TWIST1/TWIST2	HLH:TWIST1/TWIST2	Nvec_vc1.1_XM_032384433.2	100	Itvl_overlap
Nvec_vc1.1_XM_032384433.2	F082_2.00	0.837833807768996	I	T041846_2.00	M03605_2.00	Nvec_v1g234699	HLH.HG1.22:TWIST1/TWIST2	HLH:TWIST1/TWIST2	Nvec_vc1.1_XM_032384433.2	100	Itvl_overlap
Nvec_vc1.1_XM_032384433.2	F082_2.00	0.837833807768996	I	T041846_2.00	M03606_2.00	Nvec_v1g234699	HLH.HG1.22:TWIST1/TWIST2	HLH:TWIST1/TWIST2	Nvec_vc1.1_XM_032384433.2	100	Itvl_overlap
Nvec_vc1.1_XM_048721183.1	F082_2.00	0.837833807768996	I	T041870_2.00	M00121_2.00	Nvec_v1g80696	HLH.HG2.21:MAX	HLH:MAX	Nvec_vc1.1_XM_048721183.1	97	Itvl_overlap
Nvec_vc1.1_XM_048721183.1	F082_2.00	0.837833807768996	I	T041870_2.00	M00122_2.00	Nvec_v1g80696	HLH.HG2.21:MAX	HLH:MAX	Nvec_vc1.1_XM_048721183.1	97	Itvl_overlap
Nvec_vc1.1_XM_048721183.1	F082_2.00	0.837833807768996	I	T041870_2.00	M00938_2.00	Nvec_v1g80696	HLH.HG2.21:MAX	HLH:MAX	Nvec_vc1.1_XM_048721183.1	97	Itvl_overlap
