PeakID (cmd=annotatePeaks.pl Elav_pos_R3.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elav_pos_R3.mLb.clN_peak_166	NC_064034.1	3164173	3166309	+	60817	NA	exon (Nvec_vc1.1_LOC5506254, exon 1 of 1)	-exon (Nvec_vc1.1_LOC5506254, exon 1 of 1)	1231	Nvec_vc1.1_LOC5506254	Nvec_vc1.1_LOC5506254	Nvec_vc1.1_XM_048724864			LOC5506254			NA
Elav_pos_R3.mLb.clN_peak_13824	NC_064045.1	7648384	7650766	+	10891	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-284	Nvec_NVE18637	Nvec_NVE18637	Nvec_NVE18637						NA
Elav_pos_R3.mLb.clN_peak_4025	NC_064036.1	12910342	12911549	+	5146	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-229	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Elav_pos_R3.mLb.clN_peak_12945	NC_064044.1	8450177	8451216	+	5100	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-8	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Elav_pos_R3.mLb.clN_peak_12340	NC_064043.1	13313582	13314462	+	4912	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	27	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Elav_pos_R3.mLb.clN_peak_10822	NC_064042.1	8327209	8327569	+	4904	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-96	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Elav_pos_R3.mLb.clN_peak_1038	NC_064034.1	15259305	15260308	+	4813	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-89	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_XM_032374705			LOC5506311			NA
Elav_pos_R3.mLb.clN_peak_5635	NC_064037.1	15385267	15386242	+	4645	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-43	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Elav_pos_R3.mLb.clN_peak_3025	NC_064035.1	21659711	21660784	+	4635	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	-26	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Elav_pos_R3.mLb.clN_peak_12525	NC_064043.1	15592569	15593448	+	4619	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-16	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Elav_pos_R3.mLb.clN_peak_13747	NC_064045.1	6551736	6552787	+	4398	NA	promoter-TSS (Nvec_vc1.1_LOC5510098)	-promoter-TSS (Nvec_vc1.1_LOC5510098)	-201	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_XM_001630548			LOC5510098			NA
Elav_pos_R3.mLb.clN_peak_4364	NC_064036.1	17653820	17654898	+	4393	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-51	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Elav_pos_R3.mLb.clN_peak_1553	NC_064035.1	1249951	1250838	+	4316	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	102	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_XM_001629629			LOC5509139			NA
