target_gene	target_pfam	target_name	tf	target_tpm	tf_gene	tf_pfam	tf_name	motif	tf_tpm	cor	reporterline	lines
Nvec_NVE12877	""	""	FALSE	411.17351722271	Nvec_vc1.1_XM_032366733.2	""	Homeodomains.HG3.6:like:ANTP_CDX1/ANTP_CDX2/ANTP_CDX4/ANTP_EVX1/ANTP_EVX2/ANTP_GBX1/ANTP_GBX2/ANTP_GSX1/ANTP_GSX2/ANTP_HOXA1/ANTP_HOXA2/ANTP_HOXA3/ANTP_HOXA4/ANTP_HOXA5/ANTP_HOXA6/ANTP_HOXA7/ANTP_HOXA9/ANTP_HOXA10/ANTP_HOXA11/ANTP_HOXA13/ANTP_HOXB1/ANTP_HOXB2/ANTP_HOXB3/ANTP_HOXB4/ANTP_HOXB5/ANTP_HOXB6/ANTP_HOXB7/ANTP_HOXB8/ANTP_HOXB9/ANTP_HOXB13/ANTP_HOXC4/ANTP_HOXC5/ANTP_HOXC6/ANTP_HOXC8/ANTP_HOXC9/ANTP_HOXC10/ANTP_HOXC12/ANTP_HOXC13/ANTP_HOXD1/ANTP_HOXD3/ANTP_HOXD4/ANTP_HOXD8/ANTP_HOXD9/ANTP_HOXD10/ANTP_HOXD11/ANTP_HOXD12/ANTP_HOXD13/ANTP_MEOX1/ANTP_MEOX2/ANTP_MNX1/ANTP_MSX1/ANTP_MSX2/ANTP_PDX1:likeclu:0/2/7/8/9/10/11/12/15/18/20/23/24/25/26/27/28/29/31	ARCH1157_Homeodomains_Hoxa2_Hoxb4	411.17351722271	0.96223160876436	Fox	Fox
Nvec_NVE14977	""	""	FALSE	3.13236301084996	Nvec_vc1.1_XM_032365297.2	PRDM6	zf-C2H2.HG5.17:PRDM6	ARCH1706_zf_C2H2_CG12605	10.9107192842528	0.964491838774767	Fox	Fox+Elav+Ncol
Nvec_NVE16374	""	""	FALSE	33.2995002516702	Nvec_vc1.1_XM_032366733.2	""	Homeodomains.HG3.6:like:ANTP_CDX1/ANTP_CDX2/ANTP_CDX4/ANTP_EVX1/ANTP_EVX2/ANTP_GBX1/ANTP_GBX2/ANTP_GSX1/ANTP_GSX2/ANTP_HOXA1/ANTP_HOXA2/ANTP_HOXA3/ANTP_HOXA4/ANTP_HOXA5/ANTP_HOXA6/ANTP_HOXA7/ANTP_HOXA9/ANTP_HOXA10/ANTP_HOXA11/ANTP_HOXA13/ANTP_HOXB1/ANTP_HOXB2/ANTP_HOXB3/ANTP_HOXB4/ANTP_HOXB5/ANTP_HOXB6/ANTP_HOXB7/ANTP_HOXB8/ANTP_HOXB9/ANTP_HOXB13/ANTP_HOXC4/ANTP_HOXC5/ANTP_HOXC6/ANTP_HOXC8/ANTP_HOXC9/ANTP_HOXC10/ANTP_HOXC12/ANTP_HOXC13/ANTP_HOXD1/ANTP_HOXD3/ANTP_HOXD4/ANTP_HOXD8/ANTP_HOXD9/ANTP_HOXD10/ANTP_HOXD11/ANTP_HOXD12/ANTP_HOXD13/ANTP_MEOX1/ANTP_MEOX2/ANTP_MNX1/ANTP_MSX1/ANTP_MSX2/ANTP_PDX1:likeclu:0/2/7/8/9/10/11/12/15/18/20/23/24/25/26/27/28/29/31	ARCH1157_Homeodomains_Hoxa2_Hoxb4	411.17351722271	0.994578035579231	Fox	Fox
Nvec_NVE16530	""	""	FALSE	9.20453688862813	Nvec_vc1.1_XM_032367288.2	GATA2/GATA3	GATA.HG1.8:GATA1/GATA2/GATA3	ARCH7_GATA2_GATA3_Gata4	55.978439170084	0.949486916223388	Fox	Fox+Elav+Ncol
Nvec_NVE17384	""	""	FALSE	22.574083690206	Nvec_vc1.1_XM_032382395.2	TALE_TGIF1/TALE_TGIF2	Homeodomains.HG8.3:TALE_TGIF1/TALE_TGIF2/TALE_TGIF2LX/TALE_TGIF2LY	ARCH462_TALE_TGIF1_TALE_TGIF2_achi	302.849582942325	0.933792024683617	Fox	Fox+Ncol
Nvec_NVE17617	""	""	FALSE	8.1202074004085	Nvec_vc1.1_XM_032363859.2	FOXP1/FOXP2/FOXP3/FOXP4	Forkhead.HG4.0:FOXP1/FOXP2/FOXP3/FOXP4	ARCH1479_FOXP1_FOXP2_FOXP3_FOXP4_zf_C2H2_FoxP_Aef1	8.60698513714195	0.802013345037445	Fox	Fox+Elav
Nvec_NVE18637	""	""	FALSE	411.17351722271	Nvec_vc1.1_XM_032366627.2	islike:EGR1/EGR2/EGR3	zf-C2H2.HG4.5:EGR1/EGR2/EGR3/EGR4	ARCH643_islike_EGR1_EGR2_EGR3_Egr3	411.17351722271	0.838093135083584	Fox	Fox+Elav+Ncol
Nvec_NVE20592	""	""	FALSE	183.821587862329	Nvec_vc1.1_XM_032366733.2	""	Homeodomains.HG3.6:like:ANTP_CDX1/ANTP_CDX2/ANTP_CDX4/ANTP_EVX1/ANTP_EVX2/ANTP_GBX1/ANTP_GBX2/ANTP_GSX1/ANTP_GSX2/ANTP_HOXA1/ANTP_HOXA2/ANTP_HOXA3/ANTP_HOXA4/ANTP_HOXA5/ANTP_HOXA6/ANTP_HOXA7/ANTP_HOXA9/ANTP_HOXA10/ANTP_HOXA11/ANTP_HOXA13/ANTP_HOXB1/ANTP_HOXB2/ANTP_HOXB3/ANTP_HOXB4/ANTP_HOXB5/ANTP_HOXB6/ANTP_HOXB7/ANTP_HOXB8/ANTP_HOXB9/ANTP_HOXB13/ANTP_HOXC4/ANTP_HOXC5/ANTP_HOXC6/ANTP_HOXC8/ANTP_HOXC9/ANTP_HOXC10/ANTP_HOXC12/ANTP_HOXC13/ANTP_HOXD1/ANTP_HOXD3/ANTP_HOXD4/ANTP_HOXD8/ANTP_HOXD9/ANTP_HOXD10/ANTP_HOXD11/ANTP_HOXD12/ANTP_HOXD13/ANTP_MEOX1/ANTP_MEOX2/ANTP_MNX1/ANTP_MSX1/ANTP_MSX2/ANTP_PDX1:likeclu:0/2/7/8/9/10/11/12/15/18/20/23/24/25/26/27/28/29/31	ARCH1157_Homeodomains_Hoxa2_Hoxb4	411.17351722271	0.983858348597793	Fox	Fox
Nvec_NVE20592	""	""	FALSE	183.821587862329	Nvec_vc1.1_XM_032375228.2	islike:RFX4/RFX6	RFX.HG1.0:RFX4/RFX6/RFX8	ARCH1154_RFX_RFX2	60.20773113635	0.977979933729906	Fox	Fox
Nvec_NVE20592	""	""	FALSE	183.821587862329	Nvec_vc1.1_XM_032380334.2	islike:RFX6	RFX.HG1.0:RFX4/RFX6/RFX8	ARCH467_islike_RFX6_Rfx	30.2055229768142	0.922232879260715	Fox	Fox
