gene	og	pfam
Nvec_v1g188910	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	AFF1/AFF2/AFF3/AFF4
Nvec_vc1.1_XM_048733866.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	AFF1/AFF2/AFF3/AFF4
Nvec_vc1.1_XM_001633894.3	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E
Nvec_v1g31519	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E
Nvec_vc1.1_XM_048731339.1	AP-2.HG1.3:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	
Nvec_v1g239891	ARID_BRIGHT.HG1.0:JARID2	JARID2
Nvec_vc1.1_XM_001638492.3	ARID_BRIGHT.HG1.0:JARID2	JARID2
Nvec_NVE8979	ARID_BRIGHT.HG1.1:KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Nvec_vc1.1_XM_048726662.1	ARID_BRIGHT.HG1.1:KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Nvec_v1g114579	ARID_BRIGHT.HG1.2:ARID4A/ARID4B	ARID4A/ARID4B
Nvec_vc1.1_XM_001630131.3	ARID_BRIGHT.HG1.2:ARID4A/ARID4B	ARID4A/ARID4B
Nvec_v1g42971	ARID_BRIGHT.HG1.3:ARID2	ARID2
Nvec_vc1.1_XM_048722594.1	ARID_BRIGHT.HG1.3:ARID2	ARID2
Nvec_NVE22947	ARID_BRIGHT.HG1.4:like:ARID5A/ARID5B	
Nvec_NVE18085	ARID_BRIGHT.HG1.4:like:ARID5A/ARID5B	
Nvec_vc1.1_XM_048724161.1	ARID_BRIGHT.HG1.4:like:ARID5A/ARID5B	
Nvec_vc1.1_XM_048724160.1	ARID_BRIGHT.HG1.4:like:ARID5A/ARID5B	
Nvec_v1g81183	ARID_BRIGHT.HG1.5:ARID5A/ARID5B	ARID5A/ARID5B
Nvec_vc1.1_XM_032366646.2	ARID_BRIGHT.HG1.5:ARID5A/ARID5B	ARID5A/ARID5B
Nvec_v1g139771	ARID_BRIGHT.HG1.7:like:ARID1A/ARID1B/ARID3A/ARID3B/ARID3C	
Nvec_vc1.1_XM_032369810.2	ARID_BRIGHT.HG1.7:like:ARID1A/ARID1B/ARID3A/ARID3B/ARID3C	
Nvec_v1g91926	ARID_BRIGHT.HG1.9:ARID3A/ARID3B/ARID3C	ARID3A/ARID3B/ARID3C
Nvec_vc1.1_XM_032362135.2	ARID_BRIGHT.HG1.9:ARID3A/ARID3B/ARID3C	ARID3A/ARID3B/ARID3C
Nvec_v1g90177	AT_hook.HG1.0:HMGA2	HMGA2
Nvec_NVE15035	Brinker.HG1.1:POGK	POGK
Nvec_vc1.1_XM_001638266.3	bZIP.HG1.0:CREBL2	CREBL2
Nvec_v1g39436	bZIP.HG1.0:CREBL2	CREBL2
Nvec_vc1.1_XM_032373624.2	bZIP.HG1.2:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3	BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3
Nvec_v1g127893	bZIP.HG1.2:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3	BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3
Nvec_vc1.1_v1g241767	bZIP.HG1.3:like:JUN/JUNB/JUND	
Nvec_v1g241767	bZIP.HG1.3:like:JUN/JUNB/JUND	
Nvec_v1g9381	bZIP.HG1.4:ATF2/ATF7/ATF7-NPFF/CREB5	ATF2/ATF7/ATF7-NPFF/CREB5
Nvec_vc1.1_XM_032383907.2	bZIP.HG1.4:ATF2/ATF7/ATF7-NPFF/CREB5	ATF2/ATF7/ATF7-NPFF/CREB5
Nvec_v1g34679	bZIP.HG1.4:ATF2/ATF7/ATF7-NPFF/CREB5	ATF2/ATF7/ATF7-NPFF/CREB5
Nvec_v1g126097	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_vc1.1_XM_032374029.2	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_vc1.1_XM_001640853.3	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_v1g238589	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_v1g95962	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_v1g89862	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_vc1.1_XM_032385896.2	bZIP.HG1.6:JUN/JUNB/JUND	JUN/JUNB/JUND
Nvec_NVE13315	bZIP.HG1.8:ATF4/ATF5	ATF4/ATF5
Nvec_vc1.1_XM_032372114.2	bZIP.HG1.8:ATF4/ATF5	ATF4/ATF5
Nvec_vc1.1_XM_048730161.1	bZIP.HG1.9:like:ATF3/ATF4/ATF5/FOS/FOSB/FOSL1/FOSL2/JDP2	
Nvec_v1g233229	bZIP.HG1.9:like:ATF3/ATF4/ATF5/FOS/FOSB/FOSL1/FOSL2/JDP2	
Nvec_vc1.1_XM_032378649.2	bZIP.HG1.10:like:ATF3/FOS/FOSB/FOSL1/FOSL2/JDP2	
Nvec_v1g244559	bZIP.HG1.10:like:ATF3/FOS/FOSB/FOSL1/FOSL2/JDP2	
Nvec_vc1.1_XM_001623467.3	bZIP.HG1.12:CREBZF	CREBZF
Nvec_v1g248021	bZIP.HG1.12:CREBZF	CREBZF
Nvec_vc1.1_XM_048723046.1	bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	
Nvec_NVE15554	bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	
Nvec_vc1.1_XM_032378881.2	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	CREB3L1/CREB3L2
Nvec_v1g243817	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	CREB3/CREB3L3/CREB3L4
Nvec_vc1.1_XM_001631543.3	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	CREB3/CREB3L3/CREB3L4
