ID_Vienna	seqnames	position_of_POU_mark	start	end	JGI_ID	target_gene
NVE51	scaffold_1	gene_body	604958	622626	79255	Nvec_v1g196131
NVE51	scaffold_1	gene_body	604958	622626	79255	Nvec_vc1.1_XM_032367447.2
NVE90	scaffold_1	gene_body	1016536	1030073	No data	Nvec_vc1.1_XM_048725415.1
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_001642037.3
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_032367430.2
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_001642037.3
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_001642037.3
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_032367430.2
NVE154	scaffold_1	gene_body	1778206	1817374	78932	Nvec_vc1.1_XM_001642037.3
NVE206	scaffold_1	gene_body	2545857	2599385	79239	Nvec_vc1.1_XM_048725972.1
NVE206	scaffold_1	gene_body	2545857	2599385	79239	Nvec_vc1.1_XM_048725998.1
NVE206	scaffold_1	gene_body	2545857	2599385	79239	Nvec_vc1.1_XM_048725998.1
NVE206	scaffold_1	gene_body	2545857	2599385	79239	Nvec_vc1.1_XM_048725998.1
NVE218	scaffold_1	gene_body	2754918	2770885	237806	Nvec_vc1.1_XM_032367683.2
NVE222	scaffold_1	gene_body	2789346	2798396	79092	Nvec_vc1.1_XM_001641933.3
NVE231	scaffold_1	gene_body	2863456	2876259	78997	Nvec_vc1.1_XM_048726248.1
NVE252	scaffold_1	gene_body	3119079	3128493	237832	Nvec_vc1.1_XM_032367729.2
NVE8045	scaffold_2	gene_body	549777	582195	79680	Nvec_vc1.1_XM_048733526.1
NVE8045	scaffold_2	gene_body	549777	582195	79680	Nvec_vc1.1_XM_048733526.1
NVE8086	scaffold_2	gene_body	1044818	1058522	157977	Nvec_vc1.1_XM_048733429.1
NVE8172	scaffold_2	gene_body	1975860	1996508	79673	Nvec_vc1.1_XM_032367198.2
NVE8192	scaffold_2	gene_body	2139078	2149780	177334	Nvec_vc1.1_XM_001641691.3
NVE8194	scaffold_2	gene_body	2152319	2162147	79617	Nvec_vc1.1_XM_032367105.2
NVE8200	scaffold_2	gene_body	2244962	2248246	No data	Nvec_NVE8200
NVE8199	scaffold_2	gene_body	2240126	2259026	196609	Nvec_vc1.1_XM_032367288.2
NVE8214	scaffold_2	gene_body	2375483	2376487	No data	Nvec_NVE8214
NVE8230	scaffold_2	gene_body	2476373	2485655	177378	Nvec_vc1.1_XM_001641705.3
NVE8232	scaffold_2	gene_body	2496943	2501847	196642	Nvec_vc1.1_XM_032367285.2
NVE12839	scaffold_3	gene_body	204851	218789	80839	Nvec_vc1.1_XM_048719407.1
NVE12841	scaffold_3	gene_body	228588	252880	158170	Nvec_vc1.1_XM_048723124.1
NVE12843	scaffold_3	gene_body	257287	279340	158178	Nvec_vc1.1_XM_032367035.2
NVE12925	scaffold_3	gene_body	1170473	1185434	73471	Nvec_vc1.1_XM_032366881.2
NVE12938	scaffold_3	gene_body	1431664	1477828	196807	Nvec_vc1.1_XM_032366842.2
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12992	scaffold_3	gene_body	2065192	2168578	80686	Nvec_vc1.1_XM_048723307.1
NVE12994	scaffold_3	gene_body	2184882	2205264	177626	Nvec_vc1.1_XM_032366883.2
NVE12994	scaffold_3	gene_body	2184882	2205264	177626	Nvec_vc1.1_XM_032366883.2
NVE13039	scaffold_3	gene_body	2706264	2718055	177691	Nvec_vc1.1_XM_048724257.1
NVE13045	scaffold_3	gene_body	2808585	2819253	No data	Nvec_vc1.1_XM_001638914.3
NVE13045	scaffold_3	gene_body	2808585	2819253	No data	Nvec_vc1.1_XM_048724649.1
NVE16286	scaffold_4	gene_body	41999	67765	238136	Nvec_vc1.1_XM_048728555.1
NVE16303	scaffold_4	gene_body	275207	281063	81344	Nvec_vc1.1_XM_001641129.3
NVE16410	scaffold_4	gene_body	1365940	1375514	227987	Nvec_vc1.1_XM_001641166.3
NVE16410	scaffold_4	gene_body	1365940	1375514	227987	Nvec_v1g177835
NVE16422	scaffold_4	gene_body	1444738	1461736	158601	Nvec_vc1.1_XM_001641306.3
NVE16481	scaffold_4	gene_body	2078671	2106655	81294	Nvec_vc1.1_XM_032366610.2
NVE16500	scaffold_4	gene_body	2316390	2351914	No data	Nvec_vc1.1_XM_048720712.1
NVE16507	scaffold_4	gene_body	2410851	2467039	238279	Nvec_vc1.1_XM_048720896.1
NVE18890	scaffold_5	gene_body	179971	210858	238305	Nvec_vc1.1_XM_032366504.2
NVE18898	scaffold_5	gene_body	288774	353386	82427	Nvec_vc1.1_XM_048721111.1
NVE18972	scaffold_5	gene_body	985352	994846	238353	Nvec_vc1.1_XM_001640909.3
NVE18972	scaffold_5	gene_body	985352	994846	238353	Nvec_vc1.1_XM_001640910.3
NVE18975	scaffold_5	gene_body	1016752	1084980	82227	Nvec_vc1.1_XM_048723285.1
NVE18975	scaffold_5	gene_body	1016752	1084980	82227	Nvec_vc1.1_XM_048723285.1
NVE18975	scaffold_5	gene_body	1016752	1084980	82227	Nvec_vc1.1_XM_048723285.1
NVE19112	scaffold_5	gene_body	2283997	2305934	82036	Nvec_vc1.1_XM_032366513.2
NVE19142	scaffold_5	gene_body	2570488	2600109	65584	Nvec_vc1.1_XM_048720400.1
NVE19142	scaffold_5	gene_body	2570488	2600109	65584	Nvec_vc1.1_XM_048720400.1
NVE20912	scaffold_6	gene_body	302309	319633	159012	Nvec_vc1.1_XM_048728790.1
NVE20959	scaffold_6	gene_body	790115	839618	159083	Nvec_vc1.1_XM_048728566.1
NVE21016	scaffold_6	gene_body	1451007	1459461	178404	Nvec_vc1.1_XM_001640731.3
NVE21059	scaffold_6	gene_body	1881037	1904781	30364	Nvec_vc1.1_XM_048728863.1
NVE21077	scaffold_6	gene_body	2161813	2174327	82493	Nvec_vc1.1_XM_032367678.2
NVE22452	scaffold_7	gene_body	1090018	1098302	No data	Nvec_vc1.1_XM_048730790.1
NVE22465	scaffold_7	gene_body	1240079	1246757	83199	Nvec_vc1.1_XM_001640616.3
