gene	target_gene	network	name	pfam	expression_tpm	expression_lfc	target_name	target_pfam	target_expression_tpm	target_expression_lfc	motif	motif_score	footprint_score	expression_correlation	target_TF
Nvec_vc1.1_XM_048731064.1	Nvec_vc1.1_XM_032363992.2	Ncol	zf-C2H2.HG87.0:NA	""	8827.75	4.44145457953505	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH1003	9.64993	18.1378	0.969653802411605	TRUE
Nvec_vc1.1_XM_032380374.2	Nvec_vc1.1_XM_032363992.2	Ncol	NvSoxA	SRY	9385	3.88919469286297	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH1435	8.05339	6.17571	0.939116885708935	TRUE
Nvec_vc1.1_XM_001640743.3	Nvec_vc1.1_XM_032363992.2	Ncol	HLH.HG1.29:MYC/MYCL/MYCN	""	11031	3.50337472399929	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH560	11.19953	3.96612	0.849845833455503	TRUE
Nvec_vc1.1_XM_048726174.1	Nvec_vc1.1_XM_032363992.2	Elav+Ncol	zf-C2H2.HG6.2:MYT1/MYT1L/ST18	MYT1/MYT1L/ST18	1961.5	3.16408161047269	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH1003	9.64993	7.11829	0.277612775848831	TRUE
Nvec_vc1.1_XM_032373497.2	Nvec_vc1.1_XM_032363992.2	Elav+Ncol	Homeodomains.HG1.63:like:MEOX1	""	1911.25	3.15569276486798	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH1056	8.31785	6.20592	-0.0650911919523243	TRUE
Nvec_vc1.1_XM_032387167.2	Nvec_vc1.1_XM_032363992.2	Ncol	FoxA/D	""	3529.75	2.94243996539119	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH671	5.4433	4.87843	0.96571785892769	TRUE
Nvec_vc1.1_XM_032381270.2	Nvec_vc1.1_XM_032363992.2	Elav	zf-C2H2.HG7.4:SCRT1/SCRT2	SCRT1/SCRT2	3746.25	2.889841765222	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ARCH1003	9.64993	7.11829	-0.297430413853492	TRUE
Nvec_vc1.1_XM_032363992.2	Nvec_vc1.1_XM_032373099.2	Elav+Ncol	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Homeodomains.HG4.10:POU3F1/POU	POU3F1/POU3F2/POU3F3/POU3F4	4611.5	0.290968320132409	ARCH1151	8.24216	34.69182	0.301789836297327	TRUE
Nvec_vc1.1_XM_032363992.2	Nvec_NVE21171	Elav+Ncol	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	7433	0.404490953342676	ARCH1151	10.72035	25.3052	0.429317025748211	FALSE
Nvec_vc1.1_XM_032363992.2	Nvec_NVE3975	Elav+Ncol	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	1338	0.320628430722272	ARCH1151	7.24419	23.80807	0.270633610506896	FALSE
