PeakID (cmd=annotatePeaks.pl Fox_pos_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_pos_R2.mLb.clN_peak_307	NC_064034.1	4429663	4430991	+	7532	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	99	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Fox_pos_R2.mLb.clN_peak_5872	NC_064037.1	15385330	15386242	+	7027	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-75	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Fox_pos_R2.mLb.clN_peak_12765	NC_064043.1	13313587	13314423	+	6994	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	44	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Fox_pos_R2.mLb.clN_peak_14366	NC_064045.1	7648402	7650504	+	6758	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-162	Nvec_NVE18637	Nvec_NVE18637	Nvec_NVE18637						NA
Fox_pos_R2.mLb.clN_peak_11192	NC_064042.1	8327180	8327537	+	6727	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-127	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Fox_pos_R2.mLb.clN_peak_12811	NC_064043.1	13730760	13731581	+	6672	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	9	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_XM_001627407			LOC5506747			NA
Fox_pos_R2.mLb.clN_peak_13416	NC_064044.1	8450327	8451211	+	6507	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-81	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Fox_pos_R2.mLb.clN_peak_3163	NC_064035.1	21659893	21660593	+	5821	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	-30	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Fox_pos_R2.mLb.clN_peak_1078	NC_064034.1	15259473	15260293	+	5772	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-166	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_XM_032374705			LOC5506311			NA
Fox_pos_R2.mLb.clN_peak_14294	NC_064045.1	6551637	6552662	+	5710	NA	promoter-TSS (Nvec_vc1.1_LOC5510098)	-promoter-TSS (Nvec_vc1.1_LOC5510098)	-89	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_XM_001630548			LOC5510098			NA
